[0.00-6.40] 說明會,我們很榮幸邀請到龍城店的呂谷欽董事長以及IR Rita來到看核證券
[6.40-10.50] 以各位投資經紀人分享公司的經營時機以及未來展望
[1443.38-1445.12] 所以我們也是都自己開它
[1445.12-1445.52] 為了這樣
[1445.52-1446.66] 但是國外這也是趨勢
[1446.66-1448.76] 因為我們要跟大家PK
[1448.76-1450.60] 我們不deliver這種東西也不行
[1450.60-1452.06] 所以我們現在這種也蠻多
[1452.06-1453.00] 這種案子在進行
[1453.00-1454.24] 不是只有台灣
[1454.24-1455.66] 甚至國外也都是
[1455.66-1458.14] 像美國也蠻多的大概是這樣子
[1458.14-1458.60] 對
[1458.60-1459.98] 所以我是覺得這種
[1459.98-1461.34] 單價低的應用的
[1461.34-1462.34] 比較general purpose的
[1462.34-1463.60] 應該會量會大
[1463.60-1464.44] 一定會大
[1464.44-1465.28] 但是它就是
[1465.48-1467.38] 它是一個高金不勝打
[1467.38-1468.92] 就是我還是比較強調說
[1468.92-1470.62] 我們要比較去開發
[1470.62-1471.48] 比較高毛利的
[1471.48-1474.32] 要不然很難有好的EPS
[1474.32-1476.46] 做很多的沒辦法做錢
[1476.46-1477.46] 大概是這樣子
[1487.46-1488.44] 李總你好
[1488.44-1489.50] 我想請問一下
[1489.50-1491.30] 就是說你剛好提到
[1491.30-1493.20] 目前我們說過這個
[1493.20-1495.48] 瑞士的系統上的這個紀律論
[1495.48-1496.88] 是8個%
[1496.88-1499.36] 那我們未來會想要就是主導經營
[1499.36-1500.66] 把它拉到10個%
[1500.66-1503.02] 那這個跟過去
[1503.02-1505.56] 沒有我們應該占它超過5成
[1505.56-1506.86] 對
[1506.86-1509.32] 但是之前我的理解是說
[1509.32-1512.94] 我們會以他們專業經營的方式
[1512.94-1515.14] 我們不會主導經營
[1515.14-1518.04] 然後也是因為這樣子
[1518.04-1519.04] 不會有震動期
[1519.04-1520.54] 那這個主要
[1520.54-1522.88] 這其中的這個差異跟這個出入
[1522.88-1525.48] 各位請您跟我們解釋一下
[1525.48-1527.48] 特別再說
[1527.48-1529.48] 因為我不是很了解你的問題
[1529.48-1531.48] 就是說現在他們的那個
[1531.48-1533.48] 盡力率大概是8個%
[1533.48-1534.48] 對
[1534.48-1535.48] 那我們未來如果主導經營的話
[1535.48-1538.50] 會希望把它拉到10個%
[1538.50-1539.50] 對
[1539.50-1540.50] 應該是這樣講說
[1540.50-1541.50] 我們在談這家公司
[1541.50-1542.50] 為什麼它會賣
[1542.50-1543.50] 因為我跟他們
[1543.50-1544.50] 他爸爸很熟
[1544.50-1546.50] 其實他應該說他是二代的
[1546.50-1548.50] 他高中他就來台灣
[1548.50-1549.50] 我就認識他
[1549.50-1550.50] 因為他爸爸介紹
[1550.50-1551.50] 他說他兒子來
[1551.50-1552.50] 我們就認識了
[1552.50-1554.50] 我們認識30幾年了
[1554.50-1554.88] 但是他爸爸是二代的
[1554.88-1555.48] 他父母是二代的
[1555.48-1556.48] 他也本來我以為
[1556.48-1557.48] 他是純粹要賣公司
[1557.48-1558.48] 結果他不是
[1558.48-1559.48] 他是說
[1559.48-1560.48] 他只要有人back up就好
[1560.48-1562.48] 他不是要賣公司
[1562.48-1563.48] 他剛好好
[1563.48-1564.48] 我就說談一個價格
[1564.48-1565.48] 就大家同意嘛
[1565.48-1566.48] 就是好我再back up
[1566.48-1567.48] 就大概是這樣
[1567.48-1568.48] 那他是為什麼說
[1568.48-1571.48] 他會想要說要賣的原因是
[1571.48-1572.48] 因為在瑞士
[1572.48-1574.48] 因為瑞士有很多大的公司
[1574.48-1575.48] 像萊卡
[1575.48-1576.48] 之前也是我們的客人
[1576.48-1577.48] 最後就沒有再跟他做
[1577.48-1580.48] 但萊卡是非常非常棒的一個客戶
[1580.48-1582.48] 他專門做那個專業的
[1582.48-1584.48] 車距的公司
[1584.48-1585.48] 所以他覺得說
[1585.48-1586.48] 我們來參與經營
[1586.48-1587.48] 或back up他
[1587.48-1590.48] 他可以跟更多的這一些大的
[1590.48-1592.48] 瑞士的大的製造商
[1592.48-1593.48] 就是說Machining的公司
[1593.48-1595.48] 或Solution的公司
[1595.48-1597.48] 可以提供更好的support
[1597.48-1599.48] 那本來我們公司的CTO
[1599.48-1600.48] 他就是瑞士的
[1600.48-1601.48] 所以他就可以
[1601.48-1603.48] 所以我現在就派他回去
[1603.48-1605.48] 瑞士專門support他
[1605.48-1607.48] 去談比較大的OEM的case
[1607.48-1608.48] 所以這個是我們覺得說
[1608.48-1611.48] 未來我們可以在這個領域裡面
[1611.48-1612.48] 跟很多大客人接觸
[1612.48-1614.48] 那我們用台灣的成本
[1614.48-1618.48] 就會讓我們能夠做到生意的機率更大
[1618.48-1619.48] 因為現在的情況
[1619.48-1620.48] 我賺他35%
[1620.48-1622.48] 他就賺40%
[1622.48-1623.48] 這就做不到啦
[1623.48-1625.48] 是他能夠做這個已經算很厲害
[1625.48-1627.48] 但是現在全世界沒有這種
[1627.48-1629.48] 八九十%的生意啊
[1629.48-1630.48] 不可能
[1630.48-1631.48] 所以這個就是說
[1631.48-1632.48] 要縮短這個供應面
[1632.48-1635.48] 才能夠增加更多的contribution
[1635.48-1636.48] 所以我是認為說
[1636.48-1638.48] 但是我們如果增加更多的OEM
[1638.48-1639.48] 因為他不用增加人
[1639.48-1642.48] 因為所有的人的增加全部都在台灣
[1642.48-1643.48] 這裡有研發支出嘛
[1643.48-1645.48] 所以他的費用相對會下降
[1645.48-1647.48] 那他就有很多案子就會
[1647.48-1648.48] 他的營收也會增加
[1648.48-1649.48] 所以我是認為
[1649.48-1652.48] 如果假以時日給我們管一年之後
[1652.48-1654.48] 因為他們兩個是很聰明的人
[1654.48-1655.48] 一個是獨特
[1655.48-1657.48] 他們公司的IT都是他們兩個建制的
[1657.48-1658.48] 所以智能學校應該就厲害了
[1658.48-1660.48] 所以基本上他當成我們的銀工
[1660.48-1661.48] 我記得也不錯
[1661.48-1662.48] 對啊
[1662.48-1663.48] 他是我們所有的channel裡面
[1663.48-1665.48] 就是全球的channel裡面
[1665.48-1667.48] 表現最好的公司
[1667.48-1668.48] 其他都很難
[1668.48-1669.48] 都沒有他們公司好
[1669.48-1670.48] 大概是這樣子
[1670.48-1671.48] 對
[1671.48-1672.48] 好
[1673.48-1703.48] 
[1703.48-1705.48] 所以他就想來跟我合資在這家公司
[1705.48-1707.48] 那我給他們的方式就是
[1707.48-1709.48] 我要把一些新的IT帶到他們國家
[1709.48-1711.48] 就是比如說AI或Nobatic
[1711.48-1714.48] 或是這種台灣的這些製造能力
[1714.48-1715.48] 帶到他們這個國家去
[1715.48-1717.48] 或Smart City這種concept
[1717.48-1718.48] 所以他們是這樣
[1718.48-1720.48] 所以基本上他現在
[1720.48-1721.48] 他為什麼會投資就是因為
[1721.48-1724.48] 他可以看到至少幾十億美金的生意
[1724.48-1726.48] 他覺得他可以透過這家公司
[1726.48-1727.48] 但是這是講的是很美好
[1727.48-1729.48] 但是我覺得我還是看到
[1729.48-1731.48] 真正有生意在做
[1731.48-1732.48] 所以他會
[1732.48-1733.48] 他等於說基本上
[1733.48-1735.48] 他覺得他可以賺了回來這些錢
[1735.48-1737.48] 所以他投資的錢
[1737.48-1739.48] 所以他一定是沒有問題的
[1739.48-1740.48] 大概是這樣子
[1740.48-1741.48] 所以這個當然是
[1741.48-1742.48] 也有軍用的
[1742.48-1743.48] 也有Smart City
[1743.48-1744.48] 幾乎都很全面的
[1744.48-1745.48] 就是等於說
[1745.48-1747.48] 他這是一個以開發國家
[1747.48-1750.48] 我們跟他的國家的方的做的意思
[1750.48-1757.48] 對
[1757.48-1759.48] 公司剛剛有提到說
[1759.48-1761.48] G-Share我們這邊有一個開放的platform
[1761.48-1762.48] 然後我想說
[1762.48-1763.48] 問一下說
[1763.48-1766.48] 他這個platform我們有所謂的合作夥伴嗎
[1766.48-1771.48] 或是這platform我們所經營的商業
[1771.48-1773.48] 或是獲利模式是怎麼樣
[1773.48-1774.48] 謝謝
[1774.48-1778.48] 因為這種基本上我們也是用AI的Depending
[1778.48-1780.48] 就是以我們講
[1780.48-1783.48] 如果是在Window就是用OpenLino
[1783.48-1786.48] 如果你是在Linux的
[1786.48-1787.48] 他就P-Touch
[1787.48-1789.48] 就是類似這種Plan在開發
[1789.48-1791.48] 基本上我們就是做他的一個腦
[1791.48-1792.48] 他的生成
[1792.48-1793.48] 做好之後存在裡面
[1793.48-1795.48] 那我們現在配合的當然
[1795.48-1797.48] 還是以NVIDIA為主
[1797.48-1799.48] 少部分用那個QuarkComp
[1799.48-1801.48] 那NVIDIA要求很嚴格
[1801.48-1802.48] 所以我不能夠講太多
[1802.48-1803.48] 跟他有關係的
[1803.48-1806.48] 所以我們是有幾個案子在進行就對了
[1806.48-1808.48] 一起合作就大概是這樣
[1808.48-1810.48] 這個平台基本上就是說
[1810.48-1812.48] 他不見得就是
[1812.48-1813.48] 我講的Robotic
[1813.48-1815.48] 他就可能是Drone
[1815.48-1816.48] 他可能也是會動的車子
[1816.48-1817.48] 那也可能是無人船
[1817.48-1819.48] 大概是這樣的應用
[1822.48-1829.44] 那它就是會發電
[1829.48-1851.44] 就是用它的高熟的
[1851.44-1851.48] 它就是它的個人機器
[1851.48-1853.48] 因為哈利威是這樣子
[1853.48-1855.48] 他有一點反貿,但是也還好
[1855.48-1859.48] 但是哈利威現在這家公司要分拆成三家
[1859.48-1861.48] 所以我們現在有遇到一個delay
[1861.48-1863.48] 就是說,因為哈利威受到
[1863.48-1865.48] 因為美中貿易戰爭嘛
[1865.48-1867.48] 這是比較新的信息
[1867.48-1869.48] 可能大家還沒有知道
[1869.48-1871.48] 因為哈利威他做很多倉儲物流
[1871.48-1873.48] 他是一個部門
[1873.48-1877.48] 差不多他講差不多是一百多億台幣
[1877.48-1879.48] 那另外他有control center
[1879.48-1881.48] 他做那種航太用的或軍用的
[1881.48-1883.48] 所以這個占他幾乎八成
[1883.48-1887.48] 那他因為他最近會分拆成三家公司
[1887.48-1891.48] 那他就是要把物流的公司獨立出來
[1891.48-1893.48] 那當然在以後就是物流獨立出來
[1893.48-1895.48] 就是跟我們Wemade合作為主
[1895.48-1897.48] 基本上也沒有什麼其他的partner
[1897.48-1899.48] supply chain,大概是這樣
[1899.48-1901.48] 所以他我覺得會增加
[1901.48-1903.48] 只是說我們現在營收的增加
[1903.48-1905.48] 就是說我們現在因為等五月份
[1905.48-1907.48] 我們並新的進來
[1907.48-1909.48] 我們這個也有改變了
[1909.48-1911.48] 所以現在沒有辦法給大家太多新的
[1911.48-1913.48] 你講的是沒錯了
[1913.48-1915.48] 對啊大概是這樣
[1915.48-1917.48] 但是我覺得物流倉儲還是會維持
[1917.48-1919.48] 因為隨著我們的營收增加
[1919.48-1921.48] 是蠻大的
[1921.48-1923.48] 所以物流倉儲基本上
[1923.48-1925.48] 他還是有一定的比例
[1925.48-1927.48] 應該不會差太遠
[1927.48-1929.48] 因為他即使不動
[1929.48-1931.48] 他下半年也會動
[1931.48-1933.48] 反正他現在平常的生意也不錯
[1933.48-1935.48] 因為我們現在有好幾個案子他都在upgrade
[1935.48-1937.48] 因為美國基本上他的基礎建設
[1937.48-1939.48] 他說他最近好像數字比較不好看
[1939.48-1941.48] 我覺得他的消費的
[1941.48-1943.48] 應該說business people的消費
[1943.48-1945.48] 投資的那種
[1945.48-1947.48] 那種預期的心態
[1947.48-1949.48] 現在比較有規則不會像去年
[1949.48-1951.48] 就是等選舉稍微慢一點
[1951.48-1953.48] 現在基本上都一直開案子出來
[1953.48-1955.48] 所以比較具體
[1955.48-1957.48] 所以我覺得這些案子都還在
[1957.48-1959.48] 而且都還在每天都在現在進行
[1959.48-1961.48] 是的拍賴也蠻多的
[1961.48-1963.48] 大概是這樣
[1963.48-1965.48] 那如果以前兩個月來講
[1965.48-1967.48] 就是代工跟原本的產品線
[1967.48-1969.48] 的出貨比例大概會是多
[1969.48-1971.48] 大概已經明智了
[1971.48-1973.48] 代工
[1973.48-1975.48] 我覺得跟之前差不了多少
[1975.48-1977.48] 我們沒有很大的變化
[1977.48-1979.48] 所以我們前兩個月已經收集
[1979.48-1981.48] 這個部分還沒有
[1981.48-1983.48] 還沒有真正顯現
[1983.48-1985.48] 因為如果顯現出來你會jump很多
[1985.48-1987.48] 對對對
[1993.48-1995.48] 我們今年來看好了
[1995.48-1997.48] 那如果
[1997.48-1999.48] 扣除掉瑞士這個兵價
[1999.48-2001.48] 應該是我們今年這些
[2001.48-2003.48] 原本的本業的
[2003.48-2005.48] 成長幅度大概是多少
[2005.48-2007.48] 應該是
[2007.48-2009.48] 我可以這樣講我們的數據
[2009.48-2011.48] 上半年都還有兩位數字的成長
[2011.48-2013.48] 大概是這樣
[2013.48-2015.48] 所以就是說我不能講太多
[2015.48-2017.48] 講太多的話就給麻煩了
[2017.48-2019.48] 反正一定是兩位數以上的成長
[2019.48-2021.48] 就扣除這個賓購都還有
[2021.48-2023.48] 大概是這樣
[2029.48-2033.48] 就德國的角度來說
[2033.48-2035.48] 車檢這個平板
[2035.48-2037.48] 可能它以後成長性也沒有那麼高
[2037.48-2039.48] 像我們
[2039.48-2041.48] 有參股日本的HBC
[2041.48-2043.48] Syscon
[2043.48-2045.48] 這間公司它其實在日本的市場
[2045.48-2047.48] 目前還沒有
[2047.48-2049.48] 看到明顯的效果
[2049.48-2051.48] 以後它的目標客戶群會是哪一類呢
[2051.48-2053.48] 會有日本的車廠嗎
[2053.48-2055.48] 這個就是
[2055.48-2057.48] 我們參股日本因為它是高速運算公司
[2057.48-2059.48] 它叫H High Performance Compact
[2059.48-2061.48] 所以基本上它的客戶
[2061.48-2063.48] 就是說它就是上次我講過
[2063.48-2065.48] 它就是專門做那個
[2065.48-2067.48] 它是Supermicro的最大的代理商
[2067.48-2069.48] 所以它是專門算那些
[2069.48-2071.48] 日本那些化學公司
[2071.48-2073.48] 或是藥材
[2073.48-2075.48] 的recipe的為主的
[2075.48-2077.48] 就是它講超級電腦
[2077.48-2079.48] 類似這樣台灣講這樣講
[2079.48-2081.48] 但是他們叫High Performance Compact
[2081.48-2083.48] 另外一個部分就是支架
[2083.48-2085.48] 像它也蠻多支架的
[2085.48-2087.48] 所以我們現在積極的在做這個all in的平台
[2087.48-2089.48] 就是要賣給塞到它的
[2089.48-2091.48] 所以這個出來都會增加我們蠻多的business
[2091.48-2093.48] 跟它之間的互動大概是這樣
[2093.48-2095.48] 但是我們未來應該會在
[2095.48-2097.48] 跟我們的有
[2097.48-2099.48] 有Gina partner的公司會在
[2099.48-2101.48] 增加它這家公司的持股
[2101.48-2103.48] 我們希望說我們有超過
[2103.48-2105.48] 我們這個group的人
[2105.48-2107.48] 有超過這家公司至少
[2107.48-2109.48] 有majority超三四成以上
[2109.48-2111.48] 因為今年六月
[2111.48-2113.48] 我就是他們的董事會的董事嘛
[2113.48-2115.48] 大概是這樣
[2115.48-2117.48] 我們希望透過它在日本
[2117.48-2119.48] 可以有超過這個規模
[2119.48-2121.48] ế以前的方式
[2121.48-2124.48] 其實lair視圖オン…
[2124.48-2126.48] 有個��設芯片
[2126.48-2128.48] 那一組啦
[2128.48-2129.48] 啪伊
[2129.48-2131.20] 原來是一部偏古動畫
[2131.20-2133.48] 所以說它是個 Virtual View
[2133.48-2134.48] 還有一個主題
[2134.48-2135.48] 換 Hueiss
[2135.48-2140.48] 你們看
[2140.48-2142.48] Kiryu
[2142.52-2143.48] 变Arthur
[2143.48-2146.48] 三た
[2146.48-2150.48] 可以跟我們說明一下競爭格局嗎?
[2150.48-2154.48] 你剛剛有提到說開那個熟年部分,或者是神劍
[2154.48-2156.48] 競爭的什麼樣?
[2156.48-2158.48] 競爭格局
[2158.48-2160.48] 因為我覺得現在
[2160.48-2162.48] 因為我們比如說
[2162.48-2164.48] 我們一般講強固的computer
[2164.48-2166.48] 一般都是,理論上是講notebook
[2166.48-2168.48] 只有講notebook,只是我們公司在講強固的
[2168.48-2170.48] 強固computer
[2170.48-2172.48] 我們基本上不是notebook,我們是notebook還有平板
[2172.48-2174.48] 還有PC啊,我們全部都叫
[2174.48-2176.48] 陳耀的也算是強固
[2176.48-2178.48] 大家都講強固嘛,Rocky
[2178.48-2180.48] 但是我們已經做了很多年,就是我們很早就在談
[2180.48-2182.48] 這個強固的computer,所以我們比較全面化
[2182.48-2184.48] 那我們指,我剛才講的就是說
[2184.48-2186.48] Panasonic有可能是第一名
[2186.48-2188.48] 就是我們講的說,這一個就用Rocky的notebook
[2188.48-2190.48] 為主的
[2190.48-2192.48] 這個就全球有幾個play
[2192.48-2194.48] 你如果去看VDC report
[2194.48-2196.48] 你就會看到,第一名是Panasonic
[2196.48-2198.48] 第二名是神機
[2198.48-2200.48] 第三名就是Dair
[2200.48-2202.48] 第四就是我們講的Metal Defense
[2202.48-2204.48] AB的,就是在加工
[2204.48-2206.48] 再來就是Radar
[2206.48-2208.48] Radar已經被賣了嘛,就被那家買了
[2208.48-2210.48] 那我們也算是其中一個
[2210.48-2212.48] 還有輪飛都算是,這個就是大家
[2212.48-2214.48] 我看偶爾大家會寫
[2214.48-2216.48] 當然不會寫我們啦,因為基本上
[2216.48-2218.48] 我們比較diversify
[2218.48-2220.48] 我們的portfolio蠻多的
[2220.48-2222.48] 所以我們比較沒有,但是我們現在
[2222.48-2224.48] 在這一個領域,我們的產品現在很齊
[2224.48-2226.48] 所以我們是
[2226.48-2228.48] 很有機會會跟大家
[2228.48-2230.48] 以後會有比較多競爭啦,只是說我們希望是
[2230.48-2232.48] 良性的競爭
[2232.48-2234.48] 大概是這樣子,但是我們也有我們的
[2234.48-2236.48] 我們現在在GCS這個產品線
[2236.48-2238.48] 我們在這個領域
[2238.48-2240.48] 算是比較主導的角色嘛
[2240.48-2242.48] 那我們在平板應該也算是比較主導的
[2242.48-2244.48] 因為我們平板應該是
[2244.48-2246.48] 全球第二大嘛
[2246.48-2248.48] 以數量來講的話,大概是這樣
[2248.48-2250.48] 所以最大就是Zibor
[2250.48-2252.48] 所以我們在這個領域有一些
[2252.48-2254.48] 有一些
[2254.48-2256.48] 那個基本上的策略的思考
[2256.48-2258.48] 跟邏輯,所以我們剛才為什麼講
[2258.48-2260.48] 說我們要再去併一家
[2260.48-2262.48] 那我們,當然一定不是輪飛
[2262.48-2264.48] 不是台灣高地公司
[2264.48-2266.48] 一定是國外公司,因為我們一定要併客人
[2266.48-2268.48] 才有辦法做到生意
[2268.48-2270.48] 或是他只是In-Custom也算是
[2270.48-2272.48] 大概是我們這種
[2272.48-2274.48] 這種思考跟邏輯啦,大概是這樣子
[2274.48-2276.48] 那這是未來的我們一個
[2276.48-2278.48] 策略,我們希望說在這個領域裡面
[2278.48-2280.48] 我們至少是前兩名
[2280.48-2282.48] 大概是這樣
[2282.48-2286.48] 好,謝謝
[2286.48-2288.48] 今年醫療的成長
[2288.48-2290.48] 是不是想問一下
[2290.48-2292.48] 那邊的雙口
[2292.48-2294.48] 我們跟這個醫療的客人
[2294.48-2296.48] M公司基本上都還OK
[2296.48-2298.48] 因為我們的產品都持續在出
[2298.48-2300.48] 而且訂單也都有在增加
[2300.48-2302.48] 那我們也有一個S的客人
[2302.48-2304.48] 新的,也是醫療的也不錯
[2304.48-2306.48] 這個也會增加,但是醫療的成長
[2306.48-2308.48] 畢竟在我們剛才講的
[2308.48-2310.48] 那麼多的Portfolio裡面
[2310.48-2312.48] 他基本上比較
[2312.48-2314.48] 因為醫療的IT就是比較成熟
[2314.48-2316.48] 你說叫他有突破性的
[2316.48-2318.48] 他成長就是重,也是這樣
[2318.48-2320.48] 所以他會成長20、30
[2320.48-2322.48] 他不可能成長40、50
[2322.48-2324.48] 那我們現在在思考的可能都成長40、50以上
[2324.48-2326.48] 所以比較不太會
[2326.48-2328.48] 但是他也是有成長,大概是這樣子
[2332.48-2334.48] 那S客戶的單是
[2334.48-2336.48] 今年就會開始
[2336.48-2338.48] 應該是下半年,第四季吧
[2338.48-2340.48] 對
[2342.48-2344.48] 好,我們現在要問一下
[2344.48-2346.48] 我們現在要問一下
[2346.48-2348.48] 想問一下
[2348.48-2350.48] 其他地區,就是捷克、澳洲、印度、波蘭
[2350.48-2352.48] 這些的病毒
[2352.48-2354.48] 大概跟之前想法有沒有變
[2354.48-2356.48] 因為我們韓國和瑞士都已經做了
[2356.48-2358.48] 因為我們韓國和瑞士都已經做了
[2358.48-2360.48] 那剩下的其他地區呢
[2360.48-2362.48] 應該這樣講說
[2362.48-2364.48] 因為我們也要像研華一樣
[2364.48-2366.48] 因為像研華有29個辦公室
[2366.48-2368.48] 那我們現在有7、8個嘛
[2368.48-2370.48] 理論上我們要短期內變15個
[2370.48-2372.48] 所以我們現在印度已經成立了
[2372.48-2374.48] 就是說已經在進行了
[2374.48-2376.48] 就是說他現在都直接回台灣了
[2376.48-2378.48] 所以我要跑一趟印度去開個戶,就這樣子而已
[2378.48-2380.48] 那澳洲的話
[2380.48-2382.48] 澳洲的話也會做,但是可能會
[2382.48-2384.48] 在我們排行現在比較慢
[2384.48-2386.48] 因為畢竟還是生意為主嘛
[2386.48-2388.48] 所以像歐洲當然我們現在是主力嘛
[2388.48-2390.48] 那美國因為川普的因素
[2390.48-2392.48] 就很多變數嘛
[2392.48-2394.48] 美國基本上我們的play大概都還不錯
[2394.48-2396.48] 因為我們在亞太南大有很大的
[2396.48-2398.48] Warehouse跟基地
[2398.48-2400.48] 還有我們有很多Planet維修的公司
[2400.48-2402.48] 跟我們配合
[2402.48-2404.48] 然後在美國製造也是沒有什麼太大的困難
[2404.48-2406.48] 因為我們之前好幾年就配Plan好了
[2406.48-2408.48] 那像歐洲
[2408.48-2410.48] 我們希望說歐洲
[2410.48-2412.48] 在烏克蘭戰爭慢慢結束
[2412.48-2414.48] 在歐洲會起來會比較
[2414.48-2416.48] 我們會有比較多的Play
[2416.48-2418.48] 就少de-emphasize美國這種
[2418.48-2420.48] 那個關稅的問題嘛
[2420.48-2422.48] 這個就是可能要想一下
[2422.48-2424.48] 但是東南亞也會思考
[2424.48-2426.48] 只是東南亞像泰國也會
[2426.48-2428.48] 也有機會,只是我們未來就是
[2428.48-2430.48] 當然韓國也蠻多
[2430.48-2432.48] 韓國我們現在比較專注在造船業
[2432.48-2434.48] 在韓國我們的跟漢華的合作
[2434.48-2436.48] 當然現在初期而已
[2436.48-2438.48] 就會比較大
[2438.48-2440.48] 如果這個IT的solution
[2440.48-2442.48] 跟他合作的更好ODM為主
[2442.48-2444.48] 的話我覺得會有很大的進展
[2444.48-2446.48] 在韓國的business
[2446.48-2448.48] 日人我覺得我們就透過這個
[2448.48-2450.48] 還不錯大概是這樣
[2450.48-2452.48] 其他的那些東歐的小國家
[2452.48-2454.48] 像波蘭有機會
[2454.48-2456.48] 因為我們本來就有維修點在那裡
[2456.48-2458.48] 只是說他能夠增加生意的有限
[2458.48-2460.48] 他沒有想像中那麼大
[2460.48-2462.48] 還是主要國家為主了大概是這樣
[2462.48-2464.48] 所以這些地區現在目前都是
[2464.48-2466.48] 成立之後不是維修
[2466.48-2468.48] 還是跟也是要買當地的商品
[2468.48-2470.48] 就是如果有人願意賣
[2470.48-2472.48] 我就買,如果不行就自己成立
[2472.48-2474.48] 基本上我覺得以台灣現在
[2474.48-2476.48] 這個IPC產業
[2476.48-2478.48] 像我們基本上已經走出去了
[2478.48-2480.48] 而且我們資金能夠
[2480.48-2482.48] 而且我們在歐洲有很大的partner
[2482.48-2484.48] 他是一個國家的
[2484.48-2486.48] 他都可以跟我們一起在合作
[2486.48-2488.48] 所以我基本上我們在資源上
[2488.48-2490.48] 應該沒有太大的問題
[2490.48-2492.48] 就看客戶有沒有朋友
[2492.48-2494.48] 我們可以做很多的生意
[2494.48-2496.48] 大概是這樣
[2500.48-2502.48] 公司的產能都不清晰
[2502.48-2504.48] 因為剛剛有提到像美國
[2504.48-2506.48] 合作沒辦法可以進入生產
[2506.48-2508.48] 那現在公司都在
[2508.48-2510.48] 台灣歐洲每個都在產業
[2510.48-2512.48] 我們現在都是
[2512.48-2514.48] 我們現在越南有產
[2514.48-2516.48] 有一個390 line
[2516.48-2518.48] 我們也希望在泰國
[2518.48-2520.48] 因為我去看了
[2520.48-2522.48] 我們有一個製造公司在泰國
[2522.48-2524.48] 那金額不大一兩億而已
[2524.48-2526.48] 所以我們是希望說泰國
[2526.48-2528.48] 但這個是跟我的pilot是很
[2528.48-2530.48] 就是說我如果併了那家大的
[2530.48-2532.48] 那我去買了泰國這個工廠才有1億
[2532.48-2534.48] 要不然就比得太大1億
[2534.48-2536.48] 以現在我們的scale
[2536.48-2538.48] 因為我們在台灣就可以
[2538.48-2540.48] 我的投資就差不多
[2540.48-2542.48] 之前就是資
[2542.48-2544.48] 因為我們現在搬的大
[2544.48-2546.48] 本來我們的投資就61
[2546.48-2548.48] 現在才30幾億而已
[2548.48-2550.48] 還差得遠所以基本上沒有太大的問題只是因為客戶要求說像美國客戶說
[2550.48-2552.48] 一定要台灣大陸加1
[2552.48-2554.48] 那就沒辦法
[2554.48-2556.48] 那就配合他們
[2556.48-2558.48] 大概是這樣
[2564.48-2566.48] 因為我們瑞士
[2566.48-2568.48] 大概是買7倍的稅前基金
[2568.48-2570.48] 之後我們談併購案
[2570.48-2572.48] 會不會也是
[2572.48-2574.48] 以上的標準去看這個價格
[2574.48-2576.48] 但是不要買太貴的價格
[2576.48-2578.48] 當然啦
[2578.48-2580.48] 但是我
[2580.48-2582.48] 不能夠這樣
[2582.48-2584.48] 因為這個就是很尷尬
[2584.48-2586.48] 我跟他講我買多少
[2586.48-2588.48] 所以大家都知道他就知道
[2588.48-2590.48] 所以他就覺得不爽
[2590.48-2592.48] 為什麼要公告我買多少
[2592.48-2594.48] 不知道誰好會算
[2594.48-2596.48] 竟然算到在國外的雜誌都跑出來
[2596.48-2598.48] 媒體都跑出來
[2598.48-2600.48] 但這是我們在談的一個過程
[2600.48-2602.48] 其實我們應該這樣講說
[2602.48-2604.48] 我買的還更低
[2604.48-2606.48] 因為我的另外那個partner出的更多
[2606.48-2608.48] 所以我比他再更低
[2608.48-2610.48] 怎麼講
[2610.48-2612.48] 這次對也不對
[2612.48-2614.48] 還是要看未來性
[2614.48-2616.48] 你看他過去或怎麼樣
[2616.48-2618.48] 所以這個都是要漫長的你勾選的過程
[2618.48-2620.48] 如果你就問
[2620.48-2622.48] 我就問劉董
[2622.48-2624.48] 他第一次就罵我
[2624.48-2626.48] 你怎麼那麼笨用ebit來去談
[2626.48-2628.48] 我就說只能用這個談
[2628.48-2630.48] 誰會這麼笨用ebit來去跟他談
[2630.48-2632.48] 因為看他未來
[2632.48-2634.48] 那我說也不是這樣
[2634.48-2636.48] 你想要跟他談人家跟你談
[2636.48-2638.48] 所以談判有很多種方式啦
[2638.48-2640.48] 沒有人了你
[2640.48-2642.48] 所以這個談的說話有很多
[2642.48-2644.48] 重點還是你跟他之間的互動
[2644.48-2646.48] 你覺得他未來價值
[2646.48-2648.48] 七就是一個基本的
[2648.48-2650.48] 你可能買了就safety
[2650.48-2652.48] 因為本來我也可以百分之百on
[2652.48-2654.48] 但是最後我覺得說
[2654.48-2656.48] 我百分之百on我的risk還是太高了
[2656.48-2658.48] 所以我就找了一個partner來
[2658.48-2660.48] 但是我找了這個partner來
[2660.48-2662.48] 他又可以幫我產生business
[2662.48-2664.48] 那我覺得這樣最好
[2664.48-2666.48] 所以多少倍還是要看談的過程
[2666.48-2668.48] 這個沒有一定的絕對的
[2668.48-2670.48] 對大概是這樣
[2670.48-2672.48] 德國子公司TL
[2672.48-2674.48] 去年大概虧損多
[2674.48-2676.48] 今年大概會有好轉嗎
[2676.48-2678.48] 因為我們要轉成國防了
[2678.48-2680.48] 所以現在進入佳境
[2680.48-2682.48] 大概是這樣
[2682.48-2684.48] 國防上原本的
