[0.00-4.28] 现在武汉建大工业股份有限公司的发言会正式开始
[1626.56-1627.06] 那
[1627.32-1629.38] 今天稍晚的时候应该是这个
[1629.62-1631.42] 法税会结束的时候我们2025年
[1631.68-1633.22] 5月份的营收
[1633.52-1634.28] 的公告
[1634.54-1636.34] 那也就请各位再
[1636.58-1637.36] 注意一下
[1640.68-1645.30] 那这个就是刚刚有提到的我们2025年Q1的
[1645.54-1646.82] 营业额的表现
[1647.08-1650.16] 其实老实讲在过去三年度
[1650.66-1656.82] Q1相比来讲的话今年的Q1表现是相当的亮眼营业额的表现是相当的亮眼
[1659.38-1660.90] 那这个就是
[1661.16-1662.44] 另年度Q1的
[1662.70-1663.98] 营业收入的比较
[1669.10-1670.88] 毛利率的部分
[1673.20-1674.72] 2024年的毛利率啊
[1675.24-1676.00] 就是利润率啊
[1676.26-1678.56] 就是来到了一个算是高点
[1678.82-1682.16] 主要是主要是在就是原材料
[1682.40-1687.02] 在2024年2023年到2024年的时候是一个比较低档的状况
[1687.28-1688.56] 可以看到我们的
[1689.58-1692.14] 毛利率啊在2022年的时候到了一个
[1692.44-1694.74] 低谷但是在2023年
[1695.00-1700.12] Q2之后啊就是有一个抖声到了2023年的Q4来到了一个最高点
[1700.64-1702.16] 2024年呢
[1702.42-1703.44] 虽然每一季有
[1703.70-1704.98] 有降但基本上是
[1705.24-1706.78] 缓缓缓缓的下降
[1707.04-1710.88] 就是从23.93到2024年Q4的20%但是
[1711.12-1714.72] 总体而言2024年的毛利率
[1714.96-1716.00] 表现是
[1716.50-1717.02] 不错的
[1717.28-1718.56] 算是一个历年的高点
[1719.32-1721.36] 2025年的Q1
[1721.62-1722.40] 毛利率有下降
[1722.70-1723.98] 主要原因还是
[1724.48-1728.08] 成本在过去的一年之中一直往上攀
[1728.32-1729.86] 到了2024年的
[1730.12-1731.14] 12月
[1731.40-1732.68] 和2025年1月
[1732.94-1734.48] 来到一个高点
[1734.72-1739.60] 所以说在2025年Q1的时候呢其实有使用到我们高点的
[1740.10-1741.12] 材料
[1741.38-1742.66] 材料的价格
[1742.92-1745.22] 所以造成2025年Q1的
[1745.48-1747.78] 毛利率啊就是呈现一个比较
[1749.06-1750.86] 稍微下降的一个状态
[1751.36-1751.88] 那
[1751.88-1753.92] 接下来的那个预期的话那就
[1754.44-1756.74] 请稍等一下我会有一个
[1757.26-1759.30] 原材料的价格的分析喔
[1761.36-1763.14] 那这个的话呢是我们
[1763.40-1765.70] 合并年毛利率的一个变动
[1765.96-1769.54] 那可以看到2024年的确就是是从2021年来
[1770.06-1771.60] 2021年以来
[1771.84-1773.38] 毛利率最高的
[1773.64-1778.24] 时间就是22.04%的话是从2021年的
[1778.50-1781.58] 20.49%以来是最高点
[1781.88-1782.40] 好
[1782.90-1787.26] 那目前我们原材料的走势喔
[1787.52-1792.12] 可以看到刚刚有讲我们在2024年的12月份
[1792.64-1793.92] 来到了一个高点
[1794.42-1798.78] 2025年的Q1还有在稍稍的上来
[1799.04-1800.06] 但是当
[1800.56-1805.44] 川普政府美国的关税政策一出来之后呢价格就开始抖降
[1805.68-1810.80] 所以接下来我们可以看见是说那个原材料价格呢会是一个比较
[1811.06-1811.84] 比较区块的
[1812.14-1813.42] 下降的一个趋势
[1813.92-1815.46] 这样子的话其实有利于我们
[1815.72-1816.74] 获利的表现喔
[1817.76-1819.82] 合成交也是同样的状况
[1820.08-1823.40] 在去年底的时候来到了一个高点之后呢
[1823.66-1825.44] 今年初就开始一路的往下降
[1825.70-1826.72] 尤其在
[1826.98-1828.78] 3到4月份近期
[1829.28-1831.84] 下降的趋势更为明显喔
[1832.10-1835.18] 代表说就是目前市场上可能
[1835.68-1838.24] 供需呢可能就是供
[1838.50-1840.30] 供的部分还是稍微多一点然后
[1840.56-1841.06] 关税政策可能还是
[1842.14-1844.18] 还是有影响到整个市场价格的表现
[1845.20-1849.30] 那以上的部分就是我们
[1849.56-1853.66] 近期的这些财报的表现那也是供各位参考
[1855.20-1861.34] 接下来我们就再简单说明一下我们的土地开发案深圳厂的土地开发案
[1861.60-1862.88] 目前的状况喔
[1864.16-1864.66] 好
[1865.18-1865.94] 呃
[1866.72-1867.48] 好
[1867.74-1868.24] 好
[1868.50-1869.02] 好
[1869.28-1869.78] 好
[1870.04-1870.56] 好
[1870.80-1871.32] 好
[1871.88-1874.96] 我们的深圳厂的土地开发案呢
[1875.20-1875.98] 到
[1876.48-1877.76] 这个月截止呢
[1878.02-1879.56] 目前来讲
[1880.32-1886.22] 工业我们是我们的那个整个开发案分成两个部分一个是宿舍的部分
[1886.98-1890.32] 那一个是所谓的办公室厂房的部分
[1890.56-1892.88] 那办公室厂房部分总共有四栋
[1893.12-1894.40] 宿舍部分总共有两栋
[1894.92-1899.28] 到现在为止工业厂房的进度呢基本上都已经盖到
[1899.52-1900.04] 怎么讲
[1900.30-1901.84] 高度的部分楼层的部分
[1902.14-1902.90] 是已经
[1903.16-1903.68] 完工了
[1903.92-1905.98] 那目前都是在进行整个
[1907.00-1910.08] 比如说外墙的作业还有内部施工的部分
[1910.58-1912.12] 那宿舍的部分呢
[1912.38-1914.16] 也几乎已经激进于
[1914.42-1915.96] 整体的那个
[1916.22-1918.26] 楼层的结构快要完工
[1918.52-1920.82] 那我们目前估计
[1921.08-1923.38] 整个开发案都还在
[1924.92-1929.02] 当初预估的时间之内目前是还蛮确定的我们可以在
[1929.28-1929.78] 呃
[1930.04-1931.84] 当初公告预估的
[1932.14-1935.72] 2026年年底之前可以进行完工
[1935.98-1937.76] 验收以及回签的动作
[1940.32-1945.44] 那也是跟各位稍微展示一下目前工业厂房的部分这个
[1945.70-1949.54] 左上角的部分的是我们工业厂房目前
[1950.32-1952.88] 所谓的玻璃帷幕外墙施工的状况
[1953.12-1958.24] 那我们首层就是大厅的施工目前也已经开始在进行了
[1958.50-1959.52] 那有一些
[1959.78-1961.58] 楼层的那个施工的状况
[1962.14-1964.18] 也是已经也已经好了
[1964.44-1965.98] 那宿舍主体呢
[1966.24-1966.74] 呃
[1967.26-1967.76] 在
[1968.02-1971.10] 应该目前来讲应该主体的结构也都已经封顶了
[1971.36-1974.16] 那外层也都开始已经在施工的状况了
[1975.70-1976.48] 那我们
[1976.98-1979.80] 呃等到这些
[1980.32-1983.64] 外墙的施工啊内部的施工都完工之后
[1983.90-1989.52] 那我们会进行一个验收正回验收的工作之后我们就可以回签那我们就会开始进行后续的
[1989.78-1991.32] 呃无论是出
[1991.88-1993.92] 出售啊出租啊相关的
[1994.44-1995.72] 呃商业的
[1996.24-1999.56] 行为好那我们接下来就会陆续在开始进行
[2002.12-2006.22] 那二期的话呢我们目前也积极的
[2006.48-2010.82] 我们的合作开发商号有在洽谈之中
[2011.34-2017.48] 但是就是这个速度的话可能就不会如一起这么的快那我们现在但是我们还是在积极的
[2017.74-2019.28] 处理之中那毕竟我们已经
[2019.52-2021.84] 停工了好那我们也是希望这个
[2022.14-2022.64] 二期的
[2022.90-2024.18] 开发案能够
[2024.44-2025.72] 尽快的开始
[2027.52-2032.12] 那以上呢就是我们今天
[2032.38-2037.50] 简单的针对我们近期的营运做一个介绍
[2038.52-2039.54] 那那个
[2039.80-2041.34] 中国信托
