[0.16-6.60] 各位投资先进,重福科技股份有限公司线上法人说明会正式开始。
[1927.46-1930.10] 说明一下
[1930.26-1932.72] 我们完全没有一个
[1932.72-1934.28] table
[1934.28-1936.30] 我得给你们全部的
[1936.30-1938.42] 提供到群众部位
[1938.42-1939.92] 现在就是多项
[1939.92-1941.70] 其中的看众能为
[1941.70-1942.78] 支持投资
[1942.78-1944.46] 然后我们也在
[1944.46-1947.88] 建设一种
[1947.88-1950.18] 三这个 RAID 种
[1950.18-1953.50] 制造人
[1953.50-1955.12] 包括 hundred 广个小泰 poorer
[1955.12-1956.04] 问 здоров儿
[1956.04-1957.12] 我们已经超过千万的
[1957.12-1958.30] 投资先进的提问
[1958.30-1961.18] 我想这一次第一季的提问相当踊跃
[1961.18-1963.50] 那也都有切中
[1963.50-1965.58] 政府整个营运上的一些要点
[1965.58-1967.64] 那不知道我们的回复
[1967.64-1969.86] 是不是有让各位满意
[1969.86-1973.14] 那因为这个法说的时间有限
[1973.14-1975.74] 那我们欢迎各位投资先进
[1975.74-1977.54] 在任何一个时间
[1977.54-1979.64] 都可以跟我们来做
[1979.64-1982.44] 私下联系做一些提问
[1987.12-2017.10] 谢谢大家
