[0.00-17.32] 歡迎大家今天來參加今年2025年Q1的法說
[1551.76-1553.76] 帶回去這個東西
[1553.76-1555.76] 也是眾說紛紜啦大家如果是
[1555.76-1557.76] 看過一些報道
[1557.76-1559.76] 報告的話你們應該是會看過
[1559.76-1561.76] 就是說美國
[1561.76-1563.76] 大概從二次大戰以後
[1563.76-1565.76] 到今天大概八十年的時間
[1565.76-1567.76] 他這個manufacturing
[1567.76-1569.76] 他的GTB
[1569.76-1571.76] 的這個percentage
[1571.76-1573.76] 大概是
[1573.76-1575.76] 從30%
[1575.76-1577.76] 一路降到現在大概是10%
[1577.76-1579.76] 但是這個是從
[1579.76-1581.76] 一個nominal GDP的
[1581.76-1583.76] 角度來看
[1583.76-1585.76] 那你如果從這個就業人口的話
[1585.76-1587.76] 也差不多也差不多從
[1587.76-1589.76] 當年差不多20幾%30%
[1589.76-1591.76] 從事這種manufacturing
[1591.76-1593.76] 的人口呢
[1593.76-1595.76] 現在是大概是10%
[1595.76-1597.76] 所以你如果是
[1597.76-1599.76] 你如果是所謂一個policy maker
[1599.76-1601.76] 或是這種 opinion leader的話
[1601.76-1603.76] 他們有可能就說
[1603.76-1605.76] 那這個到底還要往
[1605.76-1607.76] 什麼地方降
[1607.76-1609.76] 是不是有必要把另外
[1609.76-1611.76] 把一些manufacturing帶回美國
[1611.76-1613.76] 但是你也有另外一派
[1613.76-1615.76] 他說你要看看
[1615.76-1617.76] 你談的是所謂的
[1617.76-1619.76] nominal GDP
[1619.76-1621.76] 你如果把這個
[1621.76-1623.76] pricing的issue排除以後
[1623.76-1625.76] 就是所謂的real GDP
[1625.76-1627.76] 那你如果看
[1627.76-1629.76] real GDP的話
[1629.76-1631.76] 大概這80年來
[1631.76-1633.76] 這很長的時間喔
[1633.76-1635.76] 在美國這個
[1635.76-1637.76] GDP的這個
[1637.76-1639.76] real GDP的這個percentage
[1639.76-1641.76] manufacturing大概就是一直是在
[1641.76-1643.76] 差不多到11%到13%
[1643.76-1645.76] 中間
[1645.76-1647.76] 就是在很
[1647.76-1649.76] 很tide的區間裡頭啦
[1649.76-1651.76] 所以另外一派講法是
[1651.76-1653.76] 事實上我們並沒有
[1653.76-1655.76] 真的減少我們的manufacturing
[1655.76-1657.76] 只是說說我們的這個
[1657.76-1659.76] manufacturing的efficiency是提高了
[1659.76-1661.76] 因為我們有很多的automation
[1661.76-1663.76] 所以
[1663.76-1665.76] 它內部也是有非常多的聲音
[1665.76-1667.76] 那看起來
[1667.76-1669.76] 這個一定就是要讓它
[1669.76-1671.76] 有一點時間
[1671.76-1673.76] 要有一點時間去play out
[1673.76-1675.76] 當然有人說
[1675.76-1677.76] 已經快一個月了
[1677.76-1679.76] 看起來什麼事一事無成
[1679.76-1681.76] 不過這個我從我們自己的經驗
[1681.76-1683.76] 來看就是說你做一個deal
[1683.76-1685.76] 一個月是坦白
[1685.76-1687.76] 坦白講是做不成的
[1687.76-1689.76] 有時候我們可能召開一個會議
[1689.76-1691.76] 都要兩三個禮拜的時間
[1691.76-1693.76] 才能召開一個會議
[1693.76-1695.76] 所以我覺得這個
[1695.76-1697.76] 可能要到early summer
[1697.76-1699.76] 可能就是
[1699.76-1701.76] maybe 6月底
[1701.76-1703.76] 7月初的時候
[1703.76-1705.76] 會有比較清楚
[1705.76-1707.76] 比較好的feasibility
[1707.76-1709.76] 那你如果說在這個時間點
[1709.76-1711.76] 就要去
[1711.76-1713.76] 做很大的動作
[1713.76-1715.76] 你才是哪一邊
[1715.76-1717.76] 會成形
[1717.76-1719.76] 但你很可能
[1719.76-1721.76] 你最少有50%的這個chance
[1721.76-1723.76] 將來是錯的
[1723.76-1725.76] 所以我覺得在這個時間點
[1725.76-1727.76] 就是Donald Trump
[1727.76-1729.76] 他既然是所謂的
[1729.76-1731.76] 非常transational
[1731.76-1733.76] 我們只好就是跟著
[1733.76-1735.76] 就是比較需要就是
[1735.76-1737.76] 當下做一些反應
[1737.76-1739.76] 做一些這種該做的動作
[1739.76-1741.76] 但是長期的事情
[1741.76-1743.76] 實際上有提到
[1743.76-1745.76] 我們目前是不會去做調整的
[1745.76-1747.76] 要再等幾個月
[1747.76-1749.76] 看看最後
[1749.76-1751.76] 最後他這個關稅的情況
[1751.76-1753.76] 會有什麼新的規則產生
[1757.76-1759.76] 我是東森財經的可君
[1759.76-1761.76] 我想補充詢問一下
[1761.76-1763.76] 因為剛剛有說到說可能就是在長期
[1763.76-1765.76] 不會做一些改變
[1765.76-1767.76] 但是現在川普關稅占下面
[1767.76-1769.76] 就是很多企業他有在做美國以外的
[1769.76-1771.76] 我們有看到台達其實在美國那邊
[1771.76-1773.76] 佈局很早就有了
[1773.76-1775.76] 會不會有未來有plan B
[1775.76-1777.76] 想問一下董事長怎麼看
[1777.76-1779.76] 你說在美國嗎
[1779.76-1781.76] 在美國以外
[1781.76-1783.76] 美國以外我們現在
[1783.76-1785.76] 在中國大陸
[1785.76-1787.76] 大概還有50%的這個
[1787.76-1789.76] 產能台灣
[1789.76-1791.76] 然後很大一塊在
[1791.76-1793.76] 泰國我們還在持續
[1793.76-1795.76] 擴張還在持續
[1795.76-1797.76] 這個擴產
[1797.76-1799.76] 很多的工廠都在蓋子中
[1799.76-1801.76] 然後印度
[1801.76-1803.76] 然後比較小一點的
[1803.76-1805.76] 在歐美的像斯洛伐克
[1805.76-1807.76] 美國這邊
[1807.76-1809.76] 我們還是算是比較小規模的
[1809.76-1811.76] 還有一個更小一點的是
[1811.76-1813.76] 在巴西
[1813.76-1815.76] 我們其實這樣的營運據點
[1815.76-1817.76] 在內部討論是已經足夠了
[1817.76-1819.76] 除非有特殊的需求
[1819.76-1821.76] 所以看這個
[1821.76-1823.76] 關稅當然是
[1823.76-1825.76] 一個很大的衝擊
[1825.76-1827.76] 可是如果真的平心而論
[1827.76-1829.76] 我們來看一下
[1829.76-1831.76] 這個成本
[1831.76-1833.76] 即使在泰國
[1833.76-1835.76] 加30%
[1835.76-1837.76] 40%
[1837.76-1839.76] 他還是在比美國製造
[1839.76-1841.76] 要便宜
[1841.76-1843.76] 所以實際上那個成本
[1843.76-1845.76] 最後客戶
[1845.76-1847.76] 大部分的客戶還是要看成本的
[1847.76-1849.76] 當然如果他要做這些
[1849.76-1851.76] 公共建設或者要做政府的
[1851.76-1853.76] 生意被要求的
[1853.76-1855.76] 有補貼或者被要求的
[1855.76-1857.76] 他必須當地生產
[1857.76-1859.76] 那當然這個是
[1859.76-1861.76] 一種
[1861.76-1863.76] 可是大部分的還是最後看
[1863.76-1865.76] Total的這個Cost
[1865.76-1867.76] 所以我們還是要應對
[1867.76-1869.76] 客戶的需求去提供
[1869.76-1871.76] 有競爭力的這個
[1871.76-1873.76] 產品線
[1873.76-1875.76] 所以
[1875.76-1877.76] 為什麼講中長期的
[1877.76-1879.76] 我們並不會改變
[1879.76-1881.76] 因為你真正去
[1881.76-1883.76] 去算這個東西
[1883.76-1885.76] 他不make sense
[1885.76-1887.76] 會到美國這邊大部分投資
[1887.76-1889.76] 那我們也沒有打算
[1889.76-1891.76] 再有新的製造區域
[1891.76-1893.76] 去擴張
[1903.76-1905.76] 觀眾朋友好
[1905.76-1907.76] 我是JB Morgan-Elbert
[1907.76-1909.76] 先謝謝你們在剛剛的Presentation
[1909.76-1911.76] 非常有幫助
[1911.76-1913.76] 第一個問題還是關稅
[1913.76-1915.76] 據我所知我們有一些產品是從台灣直接
[1915.76-1917.76] 出到美國
[1917.76-1919.76] 那我想知道實務上在報關是由
[1919.76-1921.76] 台達去負責嗎
[1921.76-1923.76] 那這部分我們是先幫客戶先墊錢
[1923.76-1925.76] 那之後再跟客戶去要回關稅的費用嗎
[1925.76-1927.76] 如果是的話
[1927.76-1929.76] 那是不是代表說第一季第二季的毛利率
[1929.76-1931.76] 可能稍微被壓抑住
[1931.76-1933.76] 那之後的話第三第四季
[1933.76-1935.76] 之後的毛利率會因為這個
[1935.76-1937.76] 回衝有所幫助
[1937.76-1939.76] 所以就是我剛剛
[1939.76-1941.76] 當下關稅他
[1941.76-1943.76] 在產生的時候
[1943.76-1945.76] 我們要做一些什麼樣的動作
[1945.76-1947.76] 那事實上這個我們都已經在做了
[1947.76-1949.76] 我們是不是請
[1949.76-1951.76] 我們的財務長把這些
[1951.76-1953.76] 我們現在因應的動作
[1953.76-1955.76] 跟大家報告一下
[1957.76-1959.76] 就是我們第二季
[1959.76-1961.76] 假設是從台灣送到美國
[1961.76-1963.76] 那關稅是我們自付
[1963.76-1965.76] 但是這個我們
[1965.76-1967.76] 美國組裝之後還是會
[1967.76-1969.76] 賣給客戶
[1969.76-1971.76] 那會轉嫁在銷售裡面
[1971.76-1973.76] 所以
[1973.76-1975.76] 會用應該
[1975.76-1977.76] 關稅應該是產生在會用
[1977.76-1979.76] 那
[1979.76-1981.76] 轉嫁的部分會
[1981.76-1983.76] 反映在銷售跟毛利
[1985.76-1987.76] 這個我講一下
[1987.76-1989.76] 這個是前提是
[1989.76-1991.76] 我們在台灣做這些零組件
[1991.76-1993.76] 運到美國工廠去做
[1993.76-1995.76] Final Assembly
[1995.76-1997.76] 如果是直接出給客戶的
[1997.76-1999.76] 大部分我們是FOB
[1999.76-2001.76] 像現在以台達整體的來說
[2001.76-2003.76] 大部分的Term都是FOB
[2003.76-2005.76] 所以這個關稅是客戶付的
[2005.76-2007.76] 那如果是DDP的
[2007.76-2009.76] 就是我們先付關稅
[2009.76-2011.76] 那我們EED在合約上面
[2011.76-2013.76] 會跟客戶定好
[2013.76-2015.76] 我們付完關稅後面
[2015.76-2017.76] 跟他charge
[2017.76-2019.76] 大部分的客戶在這邊合約上面
[2019.76-2021.76] 都是這樣寫的
[2021.76-2023.76] 有的不是這樣寫的
[2023.76-2025.76] 他是說DDP
[2025.76-2027.76] 然後他的關稅是加在
[2027.76-2029.76] 這個產品的
[2029.76-2031.76] 售價上面的
[2031.76-2033.76] 這個的話就是我們
[2033.76-2035.76] 在前面一個月的時間
[2035.76-2037.76] 花很多的時間跟客戶談
[2037.76-2039.76] 這個要怎麼分攤
[2039.76-2041.76] 那我們當然
[2041.76-2043.76] 如果這個毛利不好
[2043.76-2045.76] 或者這個產品的
[2045.76-2047.76] 淨利不夠的話
[2047.76-2049.76] 我們都會要求客戶
[2049.76-2051.76] 要付這個關稅
[2051.76-2053.76] 否則我們後面就沒有辦法供應了
[2055.76-2057.76] 了解非常清楚
[2057.76-2059.76] 所以我可以說關稅的部分
[2059.76-2061.76] 基本上台達是不需要
[2061.76-2063.76] 因為這個看到毛利率下降
[2063.76-2065.76] 就不會有這個部分的壓力
[2065.76-2067.76] 影響不大
[2067.76-2069.76] 我們還是有自由的品牌
[2069.76-2071.76] 那你就要在終端去漲價
[2071.76-2073.76] 還有就是
[2073.76-2075.76] 客戶之間還是有一些negotiation
[2075.76-2077.76] 了解謝謝
[2077.76-2079.76] 然後第二個問題是早上這個
[2079.76-2081.76] Bicor他的
[2081.76-2083.76] 業績展望並不是很好
[2083.76-2085.76] 他有提到說他DC DC的業務
[2085.76-2087.76] 其實有一部分掉到另外一個競爭對手
[2087.76-2089.76] 那當然市場上就
[2089.76-2091.76] Bicor
[2091.76-2093.76] 對對對
[2093.76-2095.76] 就是DC DC的那部分
[2095.76-2097.76] 所以我想知道說
[2097.76-2099.76] 在過去這三個月
[2099.76-2101.76] 因為我們也有
[2101.76-2103.76] 在做IP的重新設計
[2103.76-2105.76] 那這部分目前進展怎麼樣
[2105.76-2107.76] 那是否有因為
[2107.76-2109.76] 重新IP設計之後
[2109.76-2111.76] 有拿到更多的訂單
[2111.76-2113.76] 那先前我們在DC DC這邊
[2113.76-2115.76] 業務的展望是掉雙位數
[2115.76-2117.76] 今年是年增
[2117.76-2119.76] 年掉雙位數
[2119.76-2121.76] 那這部分是不是有一些變化
[2121.76-2123.76] 謝謝
[2123.76-2125.76] 說Bicor
[2125.76-2127.76] 他自己業績是怎麼樣
[2127.76-2129.76] 我們不太
[2129.76-2131.76] 沒有辦法真的去做comment
[2131.76-2133.76] 在上一季的時候
[2133.76-2135.76] 有跟大家提到比較多
[2135.76-2137.76] 就是Bicor這邊
[2137.76-2139.76] 跟還蠻多公司的
[2139.76-2141.76] 他的一個
[2141.76-2143.76] 一個lead occasion的情況
[2143.76-2145.76] 也跟大家報告過就是說
[2145.76-2147.76] 這個ITC的
[2147.76-2149.76] final decision
[2149.76-2151.76] 出來然後他現在有所謂這個
[2151.76-2153.76] limited exclusion
[2153.76-2155.76] order 有部分
[2155.76-2157.76] 所謂禁運
[2157.76-2159.76] 那這些我在上次
[2159.76-2161.76] 也跟大家報告過就是說
[2161.76-2163.76] 我們已經去做了一些redesign
[2163.76-2165.76] 也跟客戶們
[2165.76-2167.76] 在看就是說他這些
[2167.76-2169.76] 新的design要怎麼樣導入他們的
[2169.76-2171.76] 產品裡面
[2171.76-2173.76] 這個
[2173.76-2175.76] 當然就是說
[2175.76-2177.76] 這整個power architecture
[2177.76-2179.76] 也一直都在做調整
[2179.76-2181.76] 所以你
[2181.76-2183.76] 這個DC to DC呢
[2183.76-2185.76] 他的產品線一直在
[2185.76-2187.76] 改變他的產品的周期
[2187.76-2189.76] 比較快的
[2191.76-2193.76] 我們當然我們沒有真的
[2193.76-2195.76] 把他break out出來就是說每個產品線
[2195.76-2197.76] 是怎麼樣但是就是說
[2197.76-2199.76] 你若是和整體
[2199.76-2201.76] 在這個AI data center
[2201.76-2203.76] 上面的power呢
[2203.76-2205.76] 我們的成長還是相當可觀
[2205.76-2207.76] 然後再加上這個cooling
[2207.76-2209.76] 這一部分所以
[2209.76-2211.76] 大家如果在
[2211.76-2213.76] power electronic那個sector
[2213.76-2215.76] 還有這個
[2215.76-2217.76] structure etc.大家都可以看到
[2217.76-2219.76] 有比較大的成長
[2219.76-2221.76] 然後這個 profitability的
[2221.76-2223.76] 增加也是相當可觀就是了
[2223.76-2225.76] 這個就是power supply
[2225.76-2227.76] 包括這個H to DC
[2227.76-2229.76] 包括DC to DC
[2229.76-2231.76] 然後這個cooling那邊
[2231.76-2233.76] 還包括整個這種
[2233.76-2235.76] 新的side card的血本這個都
[2235.76-2237.76] 從去年第四季
[2237.76-2239.76] 就開始增加蠻多了
[2239.76-2241.76] 今年第一季也是
[2241.76-2243.76] 就成長更多了
[2243.76-2245.76] 所以那Vicor
[2245.76-2247.76] 他自己為什麼會
[2247.76-2249.76] 業績比較不好我
[2249.76-2251.76] 沒有辦法做comment抱歉
[2251.76-2253.76] 謝謝
[2263.76-2265.76] 還有其他要提問的嗎
[2265.76-2267.76] 陳同豪副總好
[2267.76-2269.76] 然後這邊台北時報提問
[2269.76-2271.76] 就是去年
[2271.76-2273.76] 比較那個在看財報的時候
[2273.76-2275.76] 看到比較大是資產那邊有說
[2275.76-2277.76] 為了要一些調整
[2277.76-2279.76] 所以認列26.9億元
[2279.76-2281.76] 那想問就是這一季的
[2281.76-2283.76] 資產狀況如何
[2283.76-2285.76] 這是第一點
[2285.76-2287.76] 然後另外一個是上一季法術的時候
[2287.76-2289.76] 有提到說1月3日
[2289.76-2291.76] 我們會有一個
[2291.76-2293.76] 這個資產的提問
[2293.76-2295.76] 上一季法術的時候有提到說
[2295.76-2297.76] 1月散熱產品佔
[2297.76-2299.76] 營收比重6%
[2299.76-2301.76] 然後想請教目前散熱產品
[2301.76-2303.76] 比重大概是怎麼樣
[2303.76-2305.76] 第三點是外界有在傳說
[2305.76-2307.76] GB300的伺服器
[2307.76-2309.76] 有考慮要把BBU shelf
[2309.76-2311.76] 或是power shelf
[2311.76-2313.76] 當參考設計
[2313.76-2315.76] 那這個部分有什麼新進展嗎
[2315.76-2317.76] 以上
[2317.76-2319.76] 一個是有關這個
[2319.76-2321.76] 認列那一部分
[2321.76-2323.76] 那請裁務長說一些說明
[2325.76-2327.76] 我們這些投資的
[2327.76-2329.76] 資產評估
[2329.76-2331.76] 基本上是一年做一次
[2331.76-2333.76] 那去年
[2333.76-2335.76] Q4才做所以
[2335.76-2337.76] 現在我們不會做
[2337.76-2339.76] 我們會在Q3到Q4
[2339.76-2341.76] 會去評估每一家公司的
[2341.76-2343.76] 狀況
[2343.76-2345.76] 再來看是不是要做認列
[2347.76-2349.76] 第二個疑問是關於
[2349.76-2351.76] 這個散熱的產品
[2351.76-2353.76] 佔比重是不是
[2355.76-2357.76] 這個我們
[2357.76-2359.76] 第幾6%
[2359.76-2361.76] 還是一樣
[2367.76-2369.76] 從6%會
[2369.76-2371.76] 下一季會變成幾個
[2371.76-2373.76] %
[2373.76-2375.76] 第二季
[2375.76-2377.76] 真的不太容易去估
[2377.76-2379.76] 我覺得
[2379.76-2381.76] 我覺得這個真的是跟
[2381.76-2383.76] 這個terrorist情況是有很大的相關
[2383.76-2385.76] 當然我們本來就是
[2385.76-2387.76] 不做裁測
[2387.76-2389.76] 但你如果看美國的
[2389.76-2391.76] 上市公司的話
[2391.76-2393.76] 他們基本上都做裁測
[2393.76-2395.76] 最近大概很多公司都出來講
[2395.76-2397.76] 他也不做裁測了
[2397.76-2399.76] 昨天應該是GM也出來說他不做裁測
[2399.76-2401.76] 因為不知道
[2403.76-2405.76] 我只能講就是說
[2405.76-2407.76] 如果說
[2407.76-2409.76] 這些
[2409.76-2411.76] hyperscaler他們的
[2411.76-2413.76] capac
[2413.76-2415.76] 維持不變的話
[2415.76-2417.76] 我們原先在budget上面
[2417.76-2419.76] 提的看到的這些
[2419.76-2421.76] AI data center這種成長
[2421.76-2423.76] 應該是可以達到
[2423.76-2425.76] 第三點
[2425.76-2427.76] 提的好像是GB300
[2427.76-2429.76] 他的這個power architecture
[2429.76-2431.76] 會不會影響到一些
[2431.76-2433.76] 這個產品
[2433.76-2435.76] 影線上面的
[2435.76-2437.76] 更換或者是有些東西
[2437.76-2439.76] 他可能就不需要了
[2439.76-2441.76] 這個東西
[2441.76-2443.76] 我剛剛有提到就是說
[2443.76-2445.76] 一直在改
[2447.76-2449.76] 我之前應該有稍微提過
[2449.76-2451.76] 一些關於所謂這種
[2451.76-2453.76] vertical power這種做法
[2453.76-2455.76] 這個都是
[2455.76-2457.76] 都是在討論當中
[2457.76-2459.76] 也有一些
[2459.76-2461.76] 產品在設計當中
[2461.76-2463.76] 但這個最後會變成怎麼樣呢
[2463.76-2465.76] 今天實際上是
[2465.76-2467.76] 不太容易看得出來
[2467.76-2469.76] 當然就是說
[2469.76-2471.76] 他這個power的需求
[2471.76-2473.76] 如果是一路這樣下去的話
[2475.76-2477.76] 真的有部分的產品可能是
[2477.76-2479.76] 需要所謂這種immersion cooling
[2479.76-2481.76] 就真的是要浸泡在
[2481.76-2483.76] 這種冷卻液裡頭
[2483.76-2485.76] 在那個時候的話
[2485.76-2487.76] 如果是這個樣子
[2487.76-2489.76] 他那個power architecture
[2489.76-2491.76] 還要再做一些修改
[2491.76-2493.76] 如果是真的這種情況
[2493.76-2495.76] 目前看起來
[2495.76-2497.76] 所謂的這種vertical power
[2497.76-2499.76] 可能會比較
[2499.76-2501.76] 有機會
[2501.76-2503.76] 那當然就是說
[2503.76-2505.76] 你直接在這個board上面
[2505.76-2507.76] 有這麼多的power devices
[2509.76-2511.76] 到底有哪一部分
[2511.76-2513.76] 是直接是比較屬於
[2513.76-2515.76] 這種semi-conductor的公司的
[2515.76-2517.76] 哪一部分會是比較像
[2517.76-2519.76] 我們傳統這種power spot的形式呢
[2519.76-2521.76] 這個還要再接著看
[2521.76-2523.76] 最後產品的design是怎麼樣
[2523.76-2525.76] 今天不太容易說得清楚
[2525.76-2527.76] 沒有辦法
[2527.76-2529.76] 再確定
[2535.76-2537.76] 管理Jayson
[2537.76-2539.76] 我這邊是KGY的Terry
[2539.76-2541.76] 那想請教一下
[2541.76-2543.76] 第一個問題是
[2543.76-2545.76] 剛剛在講
[2545.76-2547.76] 一開始簡報的時候提到這個EV的部分
[2547.76-2549.76] 第一季還是虧損的狀態
[2549.76-2551.76] 那想請問一下
[2551.76-2553.76] 接下來幾季當然對於汽車產業
[2553.76-2555.76] 還是有非常多的雜音存在
[2555.76-2557.76] 那想知道我們在接下來幾季
[2557.76-2559.76] 我們現在怎麼看汽車這邊的狀況
[2559.76-2561.76] 然後這是第一個問題
[2561.76-2563.76] 第二個問題是有關於
[2563.76-2565.76] 就是這個我們第一季的費用
[2565.76-2567.76] 只有20%
[2567.76-2569.76] 是相對來說過去幾季是比較
[2569.76-2571.76] 低的水準
[2571.76-2573.76] 那想知道雖然說可能接下來幾季
[2573.76-2575.76] 包括關稅可能有一部分是在費用上
[2575.76-2577.76] 但比如說
[2577.76-2579.76] 營收base如果在往上的情況之下
[2579.76-2581.76] 接下來20%是可以當成我們的
[2581.76-2583.76] 就是benchmark
[2583.76-2585.76] 還是還會有什麼樣的變化
[2585.76-2587.76] 然後最後的問題是
[2587.76-2589.76] 這個稅的部分
[2589.76-2591.76] 連續兩季的稅率都有比過去20%
[2591.76-2593.76] 再往上
[2593.76-2595.76] 那接下來我們應該怎麼看稅率的部分
[2595.76-2597.76] 以上三個問題謝謝
[2599.76-2601.76] 這裡頭有兩個問題
[2601.76-2603.76] 可能是請財務長來回答
[2603.76-2605.76] 我想兩個問題
[2605.76-2607.76] 一個是稅率吧
[2607.76-2609.76] 另外一個是
[2609.76-2611.76] 費用比例的情況
[2611.76-2613.76] 第三個EV的狀況
[2613.76-2615.76] 我想等財務長回答前面兩個問題
[2615.76-2617.76] 我們再來說明
[2619.76-2621.76] 那個所得稅的話
[2621.76-2623.76] 我們還是按照各國的
[2623.76-2625.76] 稅法
[2625.76-2627.76] 那因為OECD的
[2627.76-2629.76] P2
[2629.76-2631.76] 那很多國家
[2631.76-2633.76] 歐洲國家他是比較
[2633.76-2635.76] 先行宣布
[2635.76-2637.76] 他當地
[2637.76-2639.76] 當國的最低稅戶15%
[2639.76-2641.76] 那跟我們有關係的
[2641.76-2643.76] 泰國跟新加坡是
[2643.76-2645.76] 今年宣布
[2645.76-2647.76] 他們是最低稅戶
[2647.76-2649.76] 是15%
[2649.76-2651.76] 所以我們必須根據這樣子來提列
[2651.76-2653.76] 那個所得稅的費用
[2653.76-2655.76] 那至於說
[2655.76-2657.76] 這個一些投資的補貼
[2657.76-2659.76] 現在
[2659.76-2661.76] 每個國家他還是在
[2661.76-2663.76] 立法
[2663.76-2665.76] 那這個必須經過他們的
[2665.76-2667.76] 國會或政府通過之後
[2667.76-2669.76] 那我們就
[2669.76-2671.76] 按照我們可以拿到
[2671.76-2673.76] 我們就會提列
[2673.76-2675.76] 提列成損失
[2675.76-2677.76] 提列成營收
[2677.76-2679.76] 那這個還是要看說
[2679.76-2681.76] 這些reimbursement到底是
[2681.76-2683.76] 是要當作稅務所得
[2683.76-2685.76] 還是會稅務所得
[2685.76-2687.76] 這些都要
[2687.76-2689.76] 要等法令比較清楚
[2689.76-2691.76] 那費用率的話
[2691.76-2693.76] 我們因為
[2693.76-2695.76] 我們本身的費用
[2695.76-2697.76] 對去年同期來比
[2697.76-2699.76] 還是增加大概21%
[2701.76-2703.76] 但是營收的話
[2703.76-2705.76] 我們是比較高超過
[2705.76-2707.76] 所以我們的費用率是
[2707.76-2709.76] 20%
[2709.76-2711.76] 未來幾季的話
[2711.76-2713.76] 因為整個
[2713.76-2715.76] 費用的話大概
[2715.76-2717.76] 他是
[2717.76-2719.76] 如果說營收增加
[2719.76-2721.76] 當然他的這個
[2721.76-2723.76] 一些銷售費用也會跟著增加
[2723.76-2725.76] 那RD也可能增加
[2725.76-2727.76] 所以這個也難講說
[2727.76-2729.76] 是不是可以當作那個
[2729.76-2731.76] benchmark
[2735.76-2737.76] 我稍微做一下說明好了
[2737.76-2739.76] 我想就是說
[2739.76-2741.76] 這整個EV的
[2741.76-2743.76] 成長比較緩和下來
[2743.76-2745.76] 從去年就已經看到了
[2747.76-2749.76] 當然就是說你今天這整個
[2749.76-2751.76] 汽車行業要往哪裡走
[2751.76-2753.76] 現在又加上
[2753.76-2755.76] Donald Trump對這個關稅
[2755.76-2757.76] 他這個到最後會變成是
[2757.76-2759.76] 什麼樣的情況
[2759.76-2761.76] 我看他昨天又稍微做了一點調整
[2761.76-2763.76] 把一些關稅又做了一點點
[2763.76-2765.76] 緩和
[2765.76-2767.76] 這個事實上所謂影響到全球
[2767.76-2769.76] 全球這個
[2769.76-2771.76] 汽車然後加上這個EV
[2771.76-2773.76] 這個到底他的產量
[2773.76-2775.76] 然後這個
[2775.76-2777.76] customer market demand
[2777.76-2779.76] 會往哪裡跑
[2779.76-2781.76] 我覺得就是說
[2781.76-2783.76] 整個EV呢
[2783.76-2785.76] 從去年放緩下來以後
[2785.76-2787.76] 我想在之前
[2787.76-2789.76] 一兩次的法說
[2789.76-2791.76] 我們應該跟大家提到就是說
[2791.76-2793.76] 有可能這個EV的成長
[2793.76-2795.76] 接下來一段時間不會
[2795.76-2797.76] 像之前那麼快
[2797.76-2799.76] 那這兩天正好
[2799.76-2801.76] 那個McKenzie做了一個調查
[2801.76-2803.76] 他這個是長期
[2803.76-2805.76] 做了調查然後最新的
[2805.76-2807.76] 一份的調查正好四月份
[2807.76-2809.76] 出來了他出來這個結果
[2809.76-2811.76] 坦白講沒有什麼
[2811.76-2813.76] 真的surprise
[2813.76-2815.76] 等於也是跟大家講就是說
[2815.76-2817.76] 這個EV的成長
[2817.76-2819.76] 可能還要再
[2819.76-2821.76] 再等一段時間我可能
[2821.76-2823.76] 提一兩個這個他的數字
[2823.76-2825.76] 他這裡有提到最主要
[2825.76-2827.76] 三個市場一個是中國市場
[2827.76-2829.76] 一個是歐洲市場
[2829.76-2831.76] 一個是美國市場
[2831.76-2833.76] 中國市場這邊是
[2833.76-2835.76] EV他已經成形了
[2835.76-2837.76] 這個不用去
[2837.76-2839.76] 不用有任何的懷疑
[2839.76-2841.76] 其中一個
[2841.76-2843.76] 調查的題目是說
[2843.76-2845.76] 如果你想買車的話
[2845.76-2847.76] 下一輛車
[2847.76-2849.76] 會不會是EV
[2849.76-2851.76] 在中國市場
[2851.76-2853.76] 他不會是EV的
[2853.76-2855.76] 大概只有10%
[2855.76-2857.76] 遠遠低於20%
[2859.76-2861.76] 在歐洲跟美國市場
[2861.76-2863.76] 大家應該會覺得說歐洲市場
[2863.76-2865.76] 應該是對這個EV會
[2865.76-2867.76] 比較容易接受
[2867.76-2869.76] 但是在歐洲跟美國市場
[2869.76-2871.76] 在最新的這次調查
[2871.76-2873.76] 他不願意
[2873.76-2875.76] 下一輛車還是不願意考慮
[2875.76-2877.76] EV然後這個EV他是
[2877.76-2879.76] 包括純電池的
[2879.76-2881.76] Battery EV然後包括這個
[2881.76-2883.76] EV跟Bug-in
[2883.76-2885.76] 歐洲跟美國
[2885.76-2887.76] 下輛車還不願意考慮EV
[2887.76-2889.76] 目前都還超過50%
[2889.76-2891.76] 所以就表示這兩個市場
[2891.76-2893.76] 所謂的Tipping Point
[2893.76-2895.76] 還沒有到
[2895.76-2897.76] 不像中國市場
[2897.76-2899.76] Tipping Point已經到了
[2899.76-2901.76] 他已經不是
[2901.76-2903.76] 他不會是特別去考慮說你這個車的動能
[2903.76-2905.76] 到底是
[2905.76-2907.76] 變的
[2907.76-2909.76] 還是引擎的
[2909.76-2911.76] 他已經Beyond the Stage了
[2911.76-2913.76] 但是美國跟歐洲
[2913.76-2915.76] 還沒有到那個Tipping Point
[2915.76-2917.76] 你一旦到那個Tipping Point
[2917.76-2919.76] 大家就不會再去問
[2919.76-2921.76] 你這個EV的成長
[2921.76-2923.76] 到底會有多快
[2923.76-2925.76] 但那個時間點
[2925.76-2927.76] 目前就是
[2927.76-2929.76] 很明顯有往後推
[2929.76-2931.76] 比原來的預測
[2931.76-2933.76] 要慢一點
[2933.76-2935.76] 所以我們第一季
[2935.76-2937.76] 大家也可以看到就是說
