[0.00-2.30] 欢迎来到Borah Pharmaceuticals
[2.30-3.82] 4th Quarter 2024
[3.82-5.68] Financial Results Conference Call
[5.68-8.00] 此时,所有参与者
[1310.62-1311.62] 2026年
[1311.62-1312.62] 和
[1312.62-1313.62] 2027年
[1313.62-1314.62] 的
[1314.62-1315.62] 产品
[1315.62-1316.62] 稍后
[1316.62-1317.62] 我们非常非常期待
[1317.62-1318.62] 我们在2024年
[1318.62-1319.62] 做的
[1319.62-1320.62] 但是我们更期待
[1320.62-1321.62] 我们在2025年
[1321.62-1322.62] 能够
[1322.62-1323.62] 以高级化
[1323.62-1324.62] 和
[1324.62-1325.62] 更精明的
[1325.62-1326.62] 产品
[1326.62-1327.62] 进行
[1327.62-1328.62] 进行
[1328.62-1329.62] 进行
[1329.62-1330.62] 进行
[1330.62-1331.62] 进行
[1331.62-1332.62] 进行
[1332.62-1333.62] 进行
[1333.62-1334.62] 进行
[1334.62-1335.62] 进行
[1335.62-1336.62] 进行
[1336.62-1337.62] 进行
[1337.62-1338.62] 进行
[1338.62-1339.62] 进行
[1339.62-1340.62] 进行
[1340.62-1341.62] 进行
[1341.62-1342.62] 进行
[1342.62-1343.62] 进行
[1343.62-1344.62] 进行
[1344.62-1345.62] 进行
[1345.62-1346.62] 进行
[1376.62-1379.62] 进行
[1379.62-1380.62] 进行
[1380.62-1381.62] 进行
[1381.62-1383.62] 进行
[1383.62-1384.62] 进行
[1384.62-1385.62] 进行
[1385.62-1386.62] 进行
[1386.62-1387.62] 进行
[1387.62-1388.62] 进行
[1388.62-1398.62] 进行
[1398.62-1401.62] 進行
[1401.62-1402.62] 进行
[1402.62-1403.62] 进行
[1403.62-1404.62] 进行
[1404.62-1405.62] 进行
[1405.62-1415.62] 我们非常愚蠢地认为我们的未来是不仅仅是这一型的,也仅仅是我们的特殊病毒病毒型的市场。
[1415.62-1419.62] 我们继续扩展低价值的计算方式。
[1419.62-1429.62] 这些是我们的理想方法,有时候这些方法很艰难,但是我们在我们的公司中,我们专注于大价值和高收入的市场。
[1429.62-1434.62] 我们继续转移我们的R&D流程到高价值的计算方式,以及合作。
[1434.62-1436.62] 我们认为这是一个非常重要的事情。
[1436.62-1442.62] 我们在全世界发展高价值计算方式的合作伙伴,但我们想要在美国市场中获得触碰。
[1442.62-1444.62] 这是我们的品牌价值。
[1444.62-1451.62] Sher Smith的品牌价值非常强,而且美国计算方式的计算方式的计算方式非常强。
[1451.62-1452.62] 下一条。
[1452.62-1456.62] 我们的社区有些关于Boro的事情。
[1456.62-1459.62] 我们是被全球投资者和加拿大的投资者认为的。
[1459.62-1461.62] 我们的市场是非常强的。
[1461.62-1465.62] 我们的公司成长了,我们已经进入了很多的市场。
[1465.62-1472.62] 我会在2024年提出的,我们进入了STSC台湾中级100的市场。
[1472.62-1475.62] 我们进入了STSC台湾8的市场。
[1475.62-1487.62] 我们进入了TIP TAWSC市场的500多个市场,以及TIP Custom Taiwan的市场领导股的平均价值。
[1487.62-1489.62] 我们的市场是非常强的。
[1489.62-1499.62] 在这条视频中,我想要强调一下我们的业务业内的多大多数。
[1499.62-1505.62] 我们的业务业内有45%是女主管,50%是国际业务。
[1505.62-1513.62] 我们的业务业内有79%是上学或上学。
[1513.62-1515.62] 还有,我们的MFCI ESG的总数是A。
[1515.62-1516.62] 我们的MFCI ESG的总数是A。
[1516.62-1523.62] 我们有20ca它是998 for MFCI IE牛奶 пло都货 royal��业。
[1523.62-1526.62] 另外我们还够要教授纽约升红筒烛专业定位其实圈级,
[1526.62-1535.62] 我们 hari 成事情的制度 매違う柱 Bedford field dan
[1535.62-1544.62] 一组 when we want to mine product d plus Rule,
[1544.62-1546.62] 我們想將很多我們的生產地區
[1546.62-1547.82] 轉移到美國
[1547.82-1551.22] 並且將整體的生產地區
[1551.22-1552.82] 轉移到更接近患者
[1552.82-1554.22] 因為我們想確保
[1554.22-1557.12] 我們不會有太多的藥物缺陷
[1557.12-1559.42] 或是進行進度的供應鏈問題
[1559.42-1561.72] 所以藥物的持續性和供應鏈
[1561.72-1565.22] 是我們作為一家公司非常重要的
[1567.22-1568.62] 好的 謝謝
[1569.72-1570.92] 謝謝Bobby
[1570.92-1573.72] 我們現在就來回答今天的Q&A問題
[1573.72-1576.12] 請回答您的問題
[1576.62-1578.32] 我們會停下來一分鐘
[1578.32-1579.62] 來回答您的問題
[1579.62-1581.32] 我們會回答您的問題
[1581.32-1582.92] 在網上
[1599.02-1600.82] 好的 首先是這個問題
[1600.82-1602.92] 會不會有任何的不滿
[1602.92-1603.62] 在好運上的情況下
[1603.62-1604.62] 會不會有任何的不滿
[1604.62-1605.62] 在好運上的情況下
[1605.62-1606.62] 謝謝 Jane
[1606.62-1608.62] 沒有 也不會有任何的不滿
[1608.62-1609.62] 我們沒有預期
[1609.62-1613.62] 2025年會有任何的不滿
[1616.12-1617.62] 來自Lynn的問題
[1617.62-1620.62] 未來會有任何的新MA目標嗎
[1621.62-1626.62] 我們在2024年會做一個ECB
[1626.62-1628.62] 以免我們在2025年
[1628.62-1631.62] 能夠進行更多的購買
[1631.62-1632.62] 如我所說
[1632.62-1633.52] 我一直都說
[1633.52-1635.52] 一年到一年
[1635.52-1637.52] 很多我們的成長
[1637.52-1639.52] 仍然是由於
[1639.52-1640.52] 我們的靈活成長
[1640.52-1642.52] 而是由於生產的
[1642.52-1643.52] 但我們一直在
[1643.52-1646.52] 不斷地搜索購買
[1646.52-1648.52] 我們仍然感覺我們
[1648.52-1650.52] 在我們的懷孕期間
[1650.52-1653.52] 我們肯定有很多空間要成長
[1653.52-1655.52] 我覺得購買是
[1655.52-1659.52] 我們肯定可以使用的一種工具
[1659.52-1661.52] 我們很勇敢
[1661.52-1662.52] 很興奮的想要
[1662.52-1666.52] 我們在2025年會有可能的購買機會
[1667.52-1668.52] 謝謝Bobby
[1668.52-1669.52] 來自Morgan Stanley的問題
[1669.52-1671.52] 我們看到美國的持續的
[1671.52-1673.52] 貿易發展和成長影響
[1673.52-1675.52] 在商業行業和CVMO項目中
[1675.52-1677.52] 有什麼影響
[1677.52-1678.52] 我認為
[1678.52-1680.52] 我們回過頭來
[1680.52-1683.52] 從商業行業開始
[1683.52-1686.52] 我們在美國的商業行業
[1686.52-1687.52] 大部分的藥品
[1687.52-1690.52] 都是在美國製造的
[1690.52-1691.52] 而在美國製造的藥品
[1691.52-1697.52] 不是在美國製造的
[1697.52-1699.52] 市場的優勢非常高
[1699.52-1700.52] 所以我們看到
[1700.52-1703.52] 負重了那些產品的減少
[1703.52-1705.52] 我們也看到
[1705.52-1708.52] 我們產品供應商人的好處
[1708.52-1710.52] 減少了一些
[1710.52-1713.52] 有關商業的影響
[1713.52-1715.52] 這些恐怖主義
[1715.52-1717.52] 我們肯定
[1717.52-1720.52] 恐怖主義會低低降低降
[1720.52-1724.96] 如果在商業方面是否有問題
[1724.96-1727.48] 在CDMO方面更簡單
[1727.48-1731.28] 我們是一個服務費的合約製造商
[1731.28-1733.76] 所以任何的價格增加
[1733.76-1738.76] 都會被客戶推動
[1738.76-1740.96] 所以客戶需要處理一些這些問題
[1740.96-1744.32] 我們的合約沒有任何的程序
[1744.32-1750.84] 並並未曾擁有私人的收入
[1750.84-1754.92] 我們和XX先生的公司位置不差
[1754.92-1759.36] 我們並不受這種委託
[1759.92-1759.96] 謝謝
[1760.56-1765.80] 我們對購ikt東西從柯先生面前提到
[1765.80-1767.96] 你們預祇 A.,!
[1767.96-1769.80] 2015年的投入 lovers
[1769.80-1772.28] 今天市場登録 вал Catherine
[1772.28-1773.80] 與輪胎仍然有個不ffen
[1773.80-1774.00] 阿闻
[1774.00-1774.20] play上
[1774.20-1774.24] 對
[1774.24-1774.28] стати
[1774.28-1774.32] verbs
[1774.32-1777.92] 和在你M&A計劃中
[1777.92-1780.36] 在華盛頓政府的現任政府
[1782.36-1786.48] 是的 我認為我們做了兩次購買
[1786.48-1790.32] 我們說是以轉變性的程度或程度來看
[1790.32-1793.68] 轉變性的購買是我們一直在尋找的
[1793.68-1798.32] 你投資的行動大小的
[1798.32-1799.72] 跟投資的行動很相似
[1799.72-1803.72] 所以我們確實是很擅長做轉變性的購買
[1803.72-1805.72] 我們之前做過很多
[1805.72-1808.32] 我們仍然認為我們能夠
[1808.32-1812.12] 和會變成一個更大的行業
[1812.12-1813.92] 所以是的 我絕對
[1813.92-1816.72] 那些是有意義的
[1816.72-1818.32] 有影響力的
[1818.32-1826.12] 而且對投資者和投資者有很大的利益
[1826.12-1829.72] 在貸款方面
[1829.72-1832.32] 對不起 你把問題拿走
[1832.32-1833.52] 在貸款方面
[1833.52-1833.62] 我們有做過很多的轉變性的購買嗎
[1833.62-1833.72] 我們有做過很多的轉變性的貸款嗎
[1833.72-1836.72] 貸款是我們scan做的
[1836.72-1837.68] 因為貸款是別人投票說的
[1837.68-1839.76] 所以我們有核心貸款
[1839.76-1841.58] 於是我們一直反映
[1841.58-1842.52] 人民取得更加多的錢
[1842.52-1843.52] 可以捐款
[1843.52-1844.62] 因為一國太多東西
[1844.62-1844.98] 我們只能注定
[1844.98-1845.68] Kartages
[1845.68-1845.72] 在Data上
[1845.72-1847.22] 我們可以直接買出去
[1847.22-1849.12] 實際上就是一醫 Hmm
[1849.12-1850.72] 우리現在今年有360萬美金
[1850.72-1852.22] 一里一里貸款
[1852.22-1854.00] 所以有需要 對啊
[1854.00-1854.98] 我們 absolvent
[1854.98-1856.00] 我們不需要想到
[1856.00-1856.80] 對美國的推送
[1856.80-1857.42] 是無敵的
[1857.42-1858.86] 我ierte
[1858.86-1859.42] 世界貸款
[1859.42-1860.22] 在日本麻省文化
[1860.22-1861.22] 出 demanding
[1861.22-1861.92] 是在唐人öt
[1861.92-1862.82] 當地 setting up
[1862.82-1863.62] Gmail
[1863.62-1865.62] 那些投資者會有影響
[1865.62-1867.62] 謝謝
[1867.62-1869.62] 我們有幾個問題
[1869.62-1871.62] 關於2025年
[1871.62-1873.62] 您可以提供更多的資訊
[1873.62-1875.62] 關於2025年的成長期望
[1875.62-1877.62] 會是在CDMO或商業上
[1877.62-1879.62] 以及整體的最高和最低線
[1879.62-1881.62] 我認為
[1881.62-1883.62] 您肯定會看到
[1883.62-1885.62] 從兩邊的生意的成長
[1885.62-1887.62] 在CDMO方面
[1887.62-1889.62] 我們會看到
[1889.62-1891.62] 我們從
[1891.62-1893.62] 我們從去年做的購買
[1893.62-1895.62] 特別是
[1895.62-1897.62] 在CDMO上
[1897.62-1899.62] 我們非常興奮
[1899.62-1901.62] 我們非常興奮
[1901.62-1903.62] 我們在這三年到七年
[1903.62-1905.62] 所投資的
[1905.62-1907.62] 所有發展項目
[1907.62-1909.62] 很多都在商品化
[1909.62-1911.62] 如您所知
[1911.62-1913.62] 發展是
[1913.62-1915.62] 大型的
[1915.62-1917.62] 商品化的
[1917.62-1919.62] 最大項目
[1919.62-1921.62] 我們有很多發展項目
[1921.62-1923.62] 我們有很多發展項目
[1923.62-1925.62] 我們的商品
[1925.62-1926.62] 會在
[1926.62-1928.62] 在這個三年中
[1928.62-1930.62] 從發展二到發展三
[1930.62-1931.62] 接受批准
[1931.62-1933.62] 開始有商品化
[1933.62-1935.62] 我們看到
[1935.62-1937.62] 我們的商品發展項目
[1937.62-1939.62] 在去年
[1939.62-1941.62] 也有增加
[1941.62-1943.62] 所以在CDMO方面
[1943.62-1945.62] 我們感激了
[1945.62-1947.62] 我們的商品化
[1947.62-1949.62] 多年來
[1949.62-1951.62] 我們也看到
[1951.62-1955.20] 我们的获得的USL资源
[1955.20-1958.00] 以及那些资源的充满
[1958.00-1960.42] 以及继续增长
[1960.42-1962.62] 和年度的收入
[1962.62-1965.34] 我们买的无氧化物料资源
[1965.34-1966.98] 也有增长
[1966.98-1969.44] 在商业方面
[1969.44-1970.94] 我们绝对很兴奋
[1970.94-1972.90] 对VIGIFIDE的增长
[1972.90-1977.06] 非常少有一个毒品公司
[1977.06-1978.66] 有能力
[1978.66-1980.52] 有一个最高级的
[1980.52-1983.00] 一个只有毒品的唯一的用途
[1983.00-1984.28] 在药物的级别上
[1984.28-1985.80] 即使是患上肺炎
[1985.80-1988.00] 也有能力
[1988.00-1990.50] 在TSC上增长
[1990.50-1991.44] 我之前也没有提到
[1991.44-1993.30] 但是我们正在签署
[1993.30-1995.32] TSC的指示
[1995.32-1997.52] 这是一个非常大的市场
[1997.52-1998.90] 我们也会是
[1998.90-1999.56] 那个市场的唯一的液体
[1999.56-2002.84] 所以那非常兴奋
[2002.84-2004.16] 但是也要有
[2004.16-2006.22] 销售与市场的平台
[2006.22-2010.36] USL提供的支持
[2010.36-2010.50] 我们也有
[2010.50-2011.50] 在药物业的医学上
[2011.50-2012.50] 也有很大的支持
[2012.50-2013.50] 在药物业的医学上
[2013.50-2015.50] 不仅是育养肺炎
[2015.50-2017.50] 但是在医疗中心
[2017.50-2022.50] 我们也有很大的支持
[2022.50-2025.50] 我们也在计算
[2025.50-2027.50] 我们的生产品
[2027.50-2029.50] 并且在计算
[2029.50-2031.50] 大规模生产品
[2031.50-2034.50] 并且在制造
[2034.50-2036.50] 一些生产品的新产品
[2036.50-2038.50] 并且在制造
[2038.50-2039.50] 生产品的新产品
[2039.50-2040.50] 并且在制造
[2040.50-2045.34] 农民
[2045.34-2046.50] 并此 pencil
[2046.50-2049.50] 向160
[2049.50-2051.50] pension
[2051.50-2056.50] 比余的
[2056.50-2057.38] 一张
[2057.38-2060.50] 致發
[2060.50-2062.50] 我
[2062.50-2065.50] 我们 Enterprise
[2065.50-2067.22] 是
[2067.22-2068.50] 小伙伴
[2068.50-2069.50] 并且正 almond
[2069.50-2071.14] How will the size
[2071.14-2073.06] 能不能一下
[2073.06-2076.16] The 并购
[2076.16-2077.20] 整体厂公司
[2077.20-2078.70] 才能
[2078.70-2080.82] Yeah, I think it's
[2080.82-2081.60] Yeah, it's
[2081.60-2083.42] overall capacity
[2083.42-2085.48] I mean, it's an injectable facility
[2085.48-2086.98] so the facility is a different
[2086.98-2089.32] facility than all of our other facilities
[2089.32-2092.02] so it affects
[2092.02-2093.66] it has its own capacity basically
[2093.66-2095.60] so when we purchased it
[2095.60-2097.76] it was already 60 to 70%
[2097.76-2098.96] full
[2098.96-2100.16] in capacity
[2100.16-2102.20] but we know we're adding on
[2102.20-2103.94] the FlexPro line
[2103.94-2105.68] which allows another 30%
[2105.68-2107.36] so we see a lot of potential
[2107.36-2108.56] to fill that site
[2108.56-2110.94] which only increases our gross margins
[2110.94-2112.20] but also increases
[2112.20-2113.86] our capacity utilization
[2113.86-2116.88] and lowers our operating costs
[2116.88-2117.70] for that site
[2117.70-2121.46] One more question
[2121.46-2122.64] from your time investment
[2122.64-2124.66] Can you describe your 2025
[2124.66-2125.54] KPEX plan?
[2127.62-2128.42] On a larger
[2128.42-2130.08] larger scale our KPEX plan
[2130.08-2132.38] we're definitely reinvesting
[2132.38-2135.18] and focusing on three main areas
[2135.18-2137.38] and this is not including the large molecule
[2137.38-2139.44] which we can talk about
[2139.44-2141.34] in the
[2141.34-2142.94] Boro bio
[2142.94-2143.82] Tambex
[2143.82-2145.18] shareholder meeting call
[2145.18-2146.30] but in one
[2146.30-2149.26] we definitely are investing in a
[2149.26-2150.46] high speed
[2150.46-2152.92] larger scale packaging line
[2152.92-2155.36] in the Mississauga facility
[2155.36-2156.28] We are upgrading
[2156.28-2157.50] and adding new technologies
[2157.50-2158.26] for our customers
[2158.26-2159.92] which we can't disclose
[2159.92-2162.32] but in the Maple Grove facility
[2162.32-2164.68] and we are investing in a
[2164.68-2165.68] more production lines
[2165.68-2166.84] for the injectable facility
[2166.84-2168.04] of which we see
[2168.04-2169.64] a lot of high demand for
[2169.64-2171.06] that will equate to about
[2171.06-2173.58] $30 million in KPEX
[2173.58-2174.72] On the maintenance side
[2174.72-2176.08] each site has their own
[2176.08-2177.74] maintenance schedule
[2177.74-2180.24] it is on par with industry
[2180.24-2181.62] and I won't go into the details
[2181.62-2182.06] of it here
[2182.06-2184.70] but we do not see any anomalies
[2184.70-2187.26] on the maintenance side
[2187.26-2188.22] of the facilities
[2188.26-2191.16] they are very very new facilities
[2191.16-2192.86] and very well kept facilities
[2192.86-2194.20] when we acquired them
[2194.20-2195.70] we continue to
[2195.70-2196.92] maintain them
[2196.92-2198.36] and make the correct investments
[2198.36-2199.08] on the maintenance
[2199.08-2200.50] of these facilities
[2200.50-2202.32] there are no lines
[2202.32-2203.82] that are getting too old
[2203.82-2204.38] for production
[2204.38-2206.80] but I will say
[2206.80-2208.66] as the flex pro line
[2208.66-2210.40] goes up on the injectable facility
[2210.40-2212.58] we are setting down
[2212.58-2214.72] an older RAB production line
[2214.72-2216.26] which was very small
[2216.26-2217.06] and outdated
[2217.06-2217.88] and
[2218.26-2221.08] as the FDA wants us to improve
[2221.08-2224.26] and have
[2224.26-2225.04] better lines
[2225.04-2226.72] higher quality lines
[2226.72-2227.98] isolator lines
[2227.98-2229.32] in the fill and finish
[2229.32-2230.64] we continue to invest
[2230.64-2232.62] in new isolator lines
[2232.62-2233.86] that not only
[2233.86-2235.54] increase our quality
[2235.54-2237.14] and our adherence for
[2237.14-2238.04] regulatory
[2238.04-2238.98] but also
[2238.98-2240.56] increase our gross margins
[2240.56-2243.06] and our throughput
[2243.06-2244.14] we have the last question
[2244.14-2245.20] also from Yandak
[2245.20-2246.46] could you give us more colors
[2246.46-2247.88] on the new generic drugs to be launched?
[2247.88-2251.36] we have a really interesting
[2251.36-2252.58] pilot with some partners
[2252.58-2254.08] I will give you some ones
[2254.08-2255.50] that we definitely
[2255.50-2257.32] are excited about
[2257.32-2259.00] the one I mentioned before
[2259.00-2261.36] but also we have a GLP-1
[2261.36-2262.90] product with a partner
[2262.90-2264.78] that we're launching this year
[2264.78-2266.44] cyclosporin
[2266.44-2267.62] we're launching this year
[2267.62-2269.14] and cladribidine
[2269.14-2273.22] which is an exciting product
[2273.22-2273.98] we're launching this year
[2273.98-2275.88] so we look forward to
[2275.88-2277.24] four main products
[2277.24-2277.76] that we're going to launch
[2277.76-2277.86] this year
[2277.88-2279.40] that are much much
[2279.40-2280.56] much higher on the margin
[2280.56-2283.12] and should also
[2283.12-2286.12] increase our total
[2286.12-2286.88] product profile
[2286.88-2288.38] as well on the generic side
[2288.38-2290.20] I will mention
[2290.20-2291.56] I don't know if we mentioned this before
[2291.56-2293.68] but as we continue
[2293.68-2295.60] to rationalize products
[2295.60-2296.64] we
[2296.64-2297.40] as a company
[2297.40-2299.06] we focus on what's most important
[2299.06-2300.26] for our shareholders
[2300.26-2301.82] and what drives more value
[2301.82-2302.96] for our shareholders
[2302.96-2304.76] as we mentioned before
[2304.76-2305.94] we will be rationalizing
[2305.94-2307.10] a lot of products
[2307.10-2307.76] does that mean
[2307.76-2309.38] that there might be
[2309.38-2311.26] a slight slow down
[2311.26-2312.76] on the top line
[2312.76-2314.26] with some of our revenue
[2314.26-2316.06] as we maneuver
[2316.06-2317.56] and into these larger
[2317.56-2319.10] high margin products
[2319.10-2320.80] there theoretically could be
[2320.80-2322.66] so I want to make sure
[2322.66-2324.68] that the investor committee
[2324.68-2325.32] and our shareholders
[2325.32-2326.98] are aware of that
[2326.98-2328.12] and understand that
[2328.12-2329.86] this is planned
[2329.86-2331.78] for us as we expand
[2331.78-2334.08] and become a stronger company
[2334.08-2335.92] with better margins in 2025
[2337.76-2339.38] thank you Bobby
[2339.38-2340.26] and this includes
[2340.26-2341.38] today's conference call
[2341.38-2342.76] thank you for participating
[2342.76-2344.26] you may now disconnect
