[0.00-20.44] 各位贵宾早安
[1716.42-1718.42] 指的是宁波金厂
[1718.42-1720.42] 就是我们专属车用的一个新厂
[1720.42-1722.42] 在TETC的部分
[1722.42-1725.42] 我们可以看到前两年资本支出比较大
[1725.42-1728.42] 因为前两年它在建厂
[1728.42-1730.42] 它是在一个新的厂房
[1730.42-1731.42] 它是买新的设备
[1731.42-1734.42] 所以前两年它的资本支出比较大
[1734.42-1737.42] 那它今年的资本支出就是专门用在设备
[1737.42-1740.42] 所以可以看到它的一个预算
[1740.42-1742.42] 是编列了2.121
[1742.42-1744.42] 那主要就是用在
[1744.42-1747.42] 就是它的一个生产线
[1747.42-1749.42] 要把它建立起来
[1749.42-1751.42] 那另外在DKG
[1751.42-1753.42] 它是既有的一个重庆厂
[1753.42-1757.42] 那重庆厂其实它是承接MGB的一个料号
[1757.42-1759.42] 它做的产品是更成熟的
[1759.42-1762.42] 但是因为DKG它要
[1762.42-1764.42] 诉求的就是要
[1764.42-1766.42] 要compet local的一个陆系
[1766.42-1768.42] 陆系同业
[1768.42-1770.42] 所以我们现在针对于
[1770.42-1772.42] 中国同业的一个竞争策略
[1772.42-1775.42] 我们采取的一个对应方式就是
[1775.42-1778.42] 很多过于低价杀价的订单
[1778.42-1782.42] 我们就不会去follow那个流血价
[1782.42-1787.42] 我们会去针对一些比较可以经营的一个客群
[1787.42-1791.42] 来去透过CKG的一个量产规模优势
[1791.42-1793.42] 来去做供货
[1793.42-1797.42] 所以我们可以看到CKG它虽然做的很成熟的料号
[1797.42-1799.42] 大概32520的Crystal
[1799.42-1801.42] 但是它的一个margin基本上
[1801.42-1805.42] 还可以做到MGB差不多甚至好一点
[1805.42-1809.42] 所以这个CKG基本上在大陆去做一个
[1809.42-1813.42] local的竞争是有它的一个一定竞争力
[1813.42-1815.42] 所以我们也会花一些资本支出
[1815.42-1822.42] 让它可以去往2016 16120的产品size去做一个生产
[1822.42-1827.42] 那最后有一个stub就是印尼四水
[1827.42-1830.42] 这个是在23年底我们董事会决定通货
[1830.42-1835.42] 那24年我们开始买一个旧的厂房
[1835.42-1837.42] 跟做一些厂房的增建
[1837.42-1841.42] 那到今年这个厂房在去年
[1841.42-1843.42] 去年第三季已经完工了
[1843.42-1848.42] 那去年第四季我们就有move in一些设备
[1848.42-1851.42] 部分从MGB移转过去
[1851.42-1855.42] 所以现在的萨博厂它里面是已经设备都进去了
[1855.42-1858.42] 在去年的11 12月
[1858.42-1859.42] 那今年这个萨博厂它里面是已经设备都进去了
[1859.42-1862.42] 今年对于萨博厂的一个目标就是
[1862.42-1864.42] 我们希望在3月
[1864.42-1866.42] 因为它近期有一个灾建月嘛
[1866.42-1869.42] 我们就希望说它在3月开始
[1869.42-1873.42] 3月中它开始会做一个比较正式的一个生产量产
[1873.42-1876.42] 那我们会去看它的一个稳定性
[1876.42-1879.42] 因为它的员工大部分都是local的
[1879.42-1886.42] 那需要一点时间去做做做融合
[1886.42-1888.42] 所以萨博厂今年虽然它是
[1889.42-1892.42] 快的话可能3月慢的话可能第二季
[1892.42-1894.42] 就会有第一阶段的量产
[1894.42-1898.42] 那我们是希望说今年下半年
[1898.42-1902.42] 有机会做到3月准评的一个场区目标
[1902.42-1908.42] 那它的资本支出目前规划大概就是在6800万左右
[1908.42-1915.42] 那在表格里面我们有放了一个2024的一个地盐的资本支出
[1915.42-1919.42] 指的是在去年其实我们就有通过去年
[1919.42-1922.42] 我们的总会那也有编列预算
[1922.42-1924.42] 但是在去年底结算的时候
[1924.42-1928.42] 它还没有执行出去的一个预算额度
[1928.42-1931.42] 大概是10.13亿
[1931.42-1934.42] 那这个部分会是今年的状况
[1934.42-1937.42] 分别落在像平生厂还有个3.8
[1937.42-1939.42] NGP9200万
[1939.42-1940.42] TETC4.7
[1940.42-1946.42] 那这些基本上会是它有没有需要需求
[1946.42-1948.42] 像TETC基本上是有啦
[1948.42-1951.42] 因为它就是一个刚成立的一个场区
[1951.42-1954.42] 所以它的资本支出算是比较明确
[1954.42-1959.42] 可是像其他场区就是会是去年开案的一个需求
[1959.42-1962.42] 来今年度来去审视有没有它的一个辅料线
[1962.42-1966.42] 所以我们有一个地盐的保留在这边
[1971.42-1977.42] 好那最后报告一下就是我们今年度的一个盈余配发情形
[1978.42-1984.42] 10年我们有计算过大概我们的平均配发率大概是落在8成
[1984.42-1987.42] 就是把过去10年的一个EPS总计
[1987.42-1991.42] 那去用过去10年我们配发的金额去看
[1991.42-1993.42] 我们大概是配了8成出去
[1993.42-1998.42] 那以今年因为去年用加权流通债务的补数去算的话
[1998.42-2001.42] 我们的最后的税后EPS是6.55元
[2001.42-2005.42] 那我们是总是会决意配发5.2块的一个现金补利
[2005.42-2007.42] 所以算起来其实比较靠近
[2008.42-2013.42] 8成左右大概7.9多了大概靠近8成
[2013.42-2018.42] 那这个部分我们也是会希望能够持续稳定的维持
[2018.42-2023.42] 这样子的配发率给我们长期支持我们的股东
[2023.42-2026.42] 那如果以今天的股价去示范的话
[2026.42-2029.42] 大概就是5.2 5.3左右的一个指令率
[2034.42-2037.42] 如果有任何投资先进是比较focus在EPS
[2038.42-2040.42] 那最后我们就会有一个比率
[2040.42-2041.42] 那我们就会有一个比率
[2041.42-2043.42] 那我们就会有一个比率
[2043.42-2054.42] 那我这边是秀6%是结到去年大概第二第三季
[2054.42-2056.42] 那以目前2024年整年结算出来
[2056.42-2059.42] 我们大概是有达到在赚的10%左右
[2059.42-2062.42] 所以公司台湾的比例比较低一点点
[2062.42-2064.42] 大陆的比例比较高
[2064.42-2066.42] 那基盘来看的话大概是10
[2066.42-2068.42] 所以我们就是继续 фiq用
[2068.42-2074.74] 去往2030这个R134的目标去做前进
[2074.74-2078.32] 以上报告
[2078.32-2085.34] 我们感谢经济管理阶层精辟的演说
[2085.34-2086.60] 现在是QA时间
[2086.60-2090.10] 欢迎各位投资先进举手提问与经济进行交流
[2090.10-2092.12] 您现场欲发言时请举手
[2092.12-2093.40] 我会将麦克风递给您
[2098.42-2107.02] 我想问一下刚刚有提到去年就有一些用半导体制成的小量出货
[2107.02-2108.64] 刚刚有说今年会再放大
[2108.64-2112.28] 这个大是说会开始运动在手机里面
[2112.28-2115.20] 还是它只是一个继续市产的一个过程
[2128.42-2134.78] 我解释一下这个
[2134.78-2138.66] 因为我们过往有提到一个是MES的制程
[2138.66-2140.46] 然后有一个是先进制程
[2140.46-2144.68] 这边我们已经在增量的部分
[2144.68-2147.74] 这个是比较偏MES的那一块
[2147.74-2153.74] 就是说本来我的产品就是会分成前段是晶片处理
[2153.74-2157.28] 然后后段是SMB的一个真空封装
[2157.28-2157.94] 前段的一个是MES的制程
[2157.94-2158.02] 前段的一个是MES的制程
[2158.02-2158.10] 前段的一个是MES的制程
[2158.10-2158.38] 前段的一个是MES的制程
[2158.38-2158.40] 前段的一个是MES的制程
[2158.40-2188.38] 前段的一个是MES的制程
[2188.38-2188.40] 前段的一个是MES的制程
[2188.40-2218.38] 前段的一个是MES的制程
[2218.38-2218.96] 前段的一个是MES的制程
[2218.96-2224.64] 我是用一片Wafer上面做渐度的方式
[2224.64-2226.02] 一片去做
[2226.02-2228.84] 然后再来去做完之后再去做切割
[2228.84-2232.32] 所以这样子做完的一个晶片一致性稳定性
[2232.32-2235.38] 会比IM的一个Process来得更好
[2235.38-2239.40] 那这个部分我们有增量的需求
[2239.40-2241.58] 所以指的是这个
[2241.58-2244.92] 那你说它用在哪里
[2244.92-2246.50] 因为这边都是前段制程
[2246.50-2248.24] 它跑到后段之后
[2248.24-2253.46] 它就是分别可以用在我们现在想象的手机
[2253.46-2254.70] 它也有高频
[2254.70-2258.06] 例如说76.8 96MHz的这种产品
[2258.06-2262.46] 那另外在光模块也有像156.25这种高频的东西
[2262.46-2266.44] 也是前段用这种我们讲的沟通带的一个制程
[2266.44-2268.62] 好这边先停
[2268.62-2272.04] 然后刚刚有提到过往我们有投资一个
[2272.04-2277.32] 真的很创新的是叫先进制程
[2277.32-2278.22] 那这个制程是什么呢
[2278.22-2280.82] 那个东西又更不一样
[2280.82-2288.06] 因为那个东西等于是把现在的这个Wave-A-Side之后
[2288.06-2291.06] 再加上后段的一颗一颗的组装
[2291.06-2294.34] 它也要用一片一片的方式去做
[2294.34-2297.46] 那有关于这样子的一个先进制程
[2297.46-2302.02] 目前其实它还是放在RD的一个开发阶段
[2302.02-2303.54] 它还没有到量产
[2306.30-2308.06] 所以回归到
[2308.06-2311.34] 我们在看我们的RD费用的时候
[2311.34-2315.56] 因为那个先进制程目前它已经开始停车久了
[2315.56-2320.00] 那也还没有有一个比较具体的营收贡献
[2320.00-2324.02] 所以这个部分我们也有持续在去做这个动态的检考
[2324.02-2329.66] 看能不能够在今年加速让它有一个突破
[2338.06-2350.80] 이� automobile The
[2350.80-2364.90] 上下来 Read
[2364.90-2366.08] 这个颜值
[2366.08-2367.34] 这这可能可能有可能 congratulatory
[2367.34-2367.42] connaissance
[2367.42-2367.90] 还是 Noble
[2367.90-2367.94] 张 stripe
[2367.94-2367.98] 吧
[2367.98-2368.02] 要求哪个很多件事情反就是activit
[2368.02-2371.54] 它的单价或者毛利是比较好的
[2371.54-2372.80] 那另外的话
[2372.80-2376.82] 就是无菌WiFi7这两个
[2376.82-2378.44] 是不是更多有益
[2378.44-2380.36] 还是其实是持平
[2380.36-2381.52] 这是第一个问题
[2381.52-2385.66] 那第二个问题就是在车联网的部分
[2385.66-2387.14] 车联网的部分
[2387.14-2389.26] 就是说其实我不太清楚
[2389.26-2392.08] 就是说我们现在能一台车用到的
[2392.08-2394.98] 科数大概是多少到多少
[2394.98-2397.28] 那它相较于手机
[2397.28-2401.80] 或是一些PC去用的产品
[2401.80-2406.44] 它的规格或者是价格
[2406.44-2408.60] 是不是也有不一样的地方
[2408.60-2409.70] 以上两个问题
[2409.70-2411.14] OK好谢谢
[2411.14-2412.92] 有关WiFi7
[2412.92-2415.60] 我们这边好像没有那个slide
[2415.60-2418.04] 就是我们在这两年
[2418.04-2420.86] 有时候在简报的时候
[2420.86-2424.34] 会有一页是针对小型化趋势去做说明
[2424.34-2424.96] 那有没有一个
[2424.96-2429.32] 因为WiFi7它的前身就是它有WiFi5
[2429.32-2430.24] WiFi6
[2430.24-2431.80] 然后到WiFi7
[2431.80-2434.84] 那基本上我们会去跟着IC Design House
[2434.84-2437.38] 他们的设计跟着他们走
[2437.38-2440.12] 那主流就是抓像Broadcom
[2440.12-2442.52] Procom或是MPK
[2442.52-2444.52] 他们这几家的一个solution
[2444.52-2446.64] 那像WiFi7如果有用在NV上面
[2446.64-2447.98] 我们也会去抓一些
[2447.98-2449.80] 可能RealTech或是Intel
[2449.80-2451.86] 他们的设计
[2451.86-2454.46] 那因为每个IC Design House
[2454.46-2454.96] 它
[2454.96-2458.38] 所要求频率软件的一个频验
[2458.38-2460.26] 会有些不同
[2460.26-2464.68] 所以我们基本上就是比较跟着客人的设计
[2464.68-2466.36] 去做开发
[2466.36-2468.46] 那以WiFi7的渗透率来讲
[2468.46-2469.38] 虽然是不高
[2469.38-2472.32] 但是刚刚提到的这几家客人的WiFi7的设计
[2472.32-2474.00] 我们是已经都上贡
[2474.00-2477.88] 就是像他们的一个WiFi7也通过了
[2477.88-2480.38] 所以原则上这边就是
[2480.38-2482.92] 可以吃到这块水肠是没有问题
[2482.92-2484.96] 那它的单价基本上
[2484.96-2491.84] 如果是有跟WiFi6差异不大的情况下
[2491.84-2494.16] 那基本上单价是一样的
[2494.16-2496.48] 但是因为WiFi7在有些客人上面
[2496.48-2499.48] 他用到的频点是有比WiFi5、WiFi6
[2499.48-2502.18] 因为有些客人是WiFi5、WiFi6用一样
[2502.18-2504.36] 然后WiFi7用高频
[2504.36-2508.26] 那有些客人是WiFi5比较低频
[2508.26-2510.28] 但是WiFi6、WiFi7他是用高频
[2510.28-2512.22] 所以如果是要比的话
[2512.22-2513.08] 可能就是Mavi跟他自己的WiFi6比较低频
[2513.08-2513.10] 所以如果是要比的话
[2513.10-2514.08] 可能就是Mavi跟他自己的WiFi6比较低频
[2514.08-2514.80] 可能就是Mavi跟他自己的WiFi6比较低频
[2514.80-2518.00] 如果是规格有提升的情况下
[2518.00-2519.96] 通常那个单价会比较好
[2519.96-2526.52] 再来就是看当下能够Support的Comparator有哪几家
[2526.52-2531.80] 因为有时候价格会受到客人是谁
[2531.80-2535.00] 跟有哪几家同业在做会有影响
[2535.00-2537.56] 所以我们有时候在价格策略上面
[2537.56-2539.96] 我们就是会去看相对优势
[2539.96-2542.52] 如果我们是相对比较有优势的厂商
[2542.52-2544.76] 那我们基本上价格会是
[2544.76-2549.76] 一定的比现阶段的价格来的高
[2549.76-2552.28] 去做一个我们认为这种高级产品
[2552.28-2555.80] 它本来就应该要有的一个毛利率
[2555.80-2559.24] 那另外一块提到的是车用
[2559.24-2563.20] 车用的部分其实它的Range蛮大的
[2563.20-2568.64] 因为车子里面像最早最早我们提到的是
[2568.64-2570.44] 传统的男游车
[2570.44-2574.40] 那现在是很多的混合很多的一个
[2574.76-2580.60] 它可能是同时有电动还有机械的混合
[2580.60-2584.04] 那再到真的纯电的一个车体
[2584.04-2589.60] 那一般来说车子它用的颗数是好几十颗到100颗以上
[2589.60-2591.84] 因为传统男游车我们自己Modding
[2591.84-2594.92] 它就是给一个Range大概30到50
[2594.92-2599.84] 那随着现在的男游车它有很高度的一个
[2599.84-2601.72] 就是说它就是Level 2标配
[2601.72-2603.88] 那它有很多的一个智能做工
[2604.76-2607.52] 它如果是弄得比较Fashion比较丰富
[2607.52-2610.40] 那通常在这样子的车子里面用到的
[2610.40-2612.12] 平面件的颗数也会比较多
[2612.12-2614.92] 它可能就是跑到60 80颗的
[2614.92-2617.76] 那如果像比较高阶等级的
[2617.76-2620.52] 它可能用到100颗也很正常
[2620.52-2624.64] 只是说EV Car为什么会用到更多数量
[2624.64-2631.36] 是因为它的车身很多的都是用Module去做组合
[2631.36-2632.88] 那再加上我们提到的
[2632.88-2634.72] 因为电动车
[2634.76-2637.32] 它要能够实现智能驾驶
[2637.32-2640.40] 它是必要从现在的Level 2往Level 2
[2640.40-2642.44] 往Level 3 Level 4走
[2642.44-2644.04] 那这个也不是车子本身
[2644.04-2647.88] 因为车子除了驾驶人车子
[2647.88-2649.84] 它本身就有机构部门之外
[2649.84-2651.08] 它跟其他的车子
[2651.08-2653.88] 跟旁边的耗子标志跟前车
[2653.88-2655.76] 它都要能够有感测
[2655.76-2658.24] 所以它会大量使用我们讲的这种
[2658.24-2662.16] Camera Module LiDAR的一个技术跟数量
[2662.16-2664.60] 所以它的数量本来就会比一般的
[2664.76-2668.60] 我们讲的传统燃料车多很多
[2668.60-2670.40] 所以一般如果是EV Car的话
[2670.40-2675.76] 我们的数量可能就会抓到100 150甚至180
[2675.76-2678.64] 那中长期它会慢慢加量的
[2678.64-2683.28] 就是我们往上秀的这个像这种Camera的东西
[2683.28-2685.16] HPC的东西现在不普遍
[2685.16-2689.08] 但是它未来渗透率也是会明显增加
[2689.08-2692.60] 在于说它就是要跟我们讲的Level 3 Level 4
[2692.60-2694.60] 什么时候会大量出来
[2694.76-2697.84] 它会跟时程会是比较一致
[2697.84-2703.48] 当然现在很多的AI技术是也有陆续去讨论在车体
[2703.48-2705.00] 我们刚刚提到的
[2705.00-2709.36] 无论是美系的电动车厂或者是陆系的电动车厂
[2709.36-2711.60] 他们自己也有自己的晶片
[2711.60-2716.52] 它自己的晶片平台其实就有针对车体的产品
[2716.52-2720.88] 在需求相关的一个Private
[2720.88-2724.72] 这个部分我们是也很确定说我们是会
[2724.76-2726.04] 进一步做提供
[2726.04-2728.08] 还有
[2728.08-2737.04] 5G的话我们会回归到比较
[2737.04-2743.96] 5G的话
[2743.96-2746.00] 现在我们会谈5GA
[2746.00-2750.36] 因为它有点是往下一个Generation去走
[2750.36-2753.68] 所以会比较把它放在
[2753.68-2754.72] 如果是5GA的话
[2754.76-2756.76] 我们也会去全价购入
[2756.76-2762.24] 包含我们提到的这种AAU、DBU的一个产品
[2762.24-2768.56] 因为这几个产品大客户主要就是中国跟欧系
[2768.56-2770.88] 欧系厂商的那边极限厂商
[2770.88-2774.72] 过往两年其实他们的需求不算很好
[2774.72-2778.00] 因为整体试矿跑的情况下
[2778.00-2781.12] 他们在固件的步骤也有很下的势
[2781.12-2784.20] 就是看到去年两年比较多
[2784.20-2784.72] 在这种
[2784.72-2788.20] 这种基建类的客人还是库存相对高
[2788.20-2791.64] 所以过去两年就是持续的去库存
[2791.64-2794.80] 但是在今年我们有看到一些专案
[2794.80-2797.80] 我们有机会是去做放量
[2797.80-2802.32] 所以包含像刚刚提到的这种DBU的产品
[2802.32-2804.64] 那跟
[2804.64-2808.24] 传输这种核心光传输的部分
[2808.24-2812.40] 它就是有点受惠于AI的这种Server
[2812.40-2814.52] 它必须要这种高度转租
[2814.72-2817.00] 夹带更大量的资料的情况下
[2817.00-2818.92] 对光合块的需求的增加
[2818.92-2824.96] 它就是比较不是基于传统的那种5G的一个版本的一个机种
[2824.96-2828.04] 所以有时候在看中间这一块的话
[2828.04-2832.32] 我们会把AI的一个需求单位带进来
[2832.32-2835.96] 因为像加速卡以前其实也比较少
[2835.96-2838.36] 但是我们现在看到很多客人的设计
[2838.36-2842.76] 是来自于像加速卡这边跟这种Nikon的产品
[2844.72-2848.92] 我们的AI项目是加速卡的
[2848.92-2854.96] 我们有放了这个AI占70%
[2854.96-2857.40] 那里面其实严格来讲
[2857.40-2862.64] 它就是有点5G Advanced加AI相关
[2862.64-2864.76] 那5G Advanced就是我刚刚提到的
[2864.76-2867.96] AAU BBU然后跟小鸡蛋这种
[2867.96-2872.60] 那像Router Switch光膜加速卡网卡这些
[2872.60-2874.68] 我们就是放在
[2874.72-2877.28] AI的应用碟里面
[2877.28-2879.32] AI应用碟里面
[2879.32-2881.64] 对它其实
[2881.64-2883.16] 加速卡
[2883.16-2886.24] 3块
[2886.24-2888.80] 对因为7%里面
[2888.80-2894.68] 我们真的要猜的话大概3 4%是这个5G Advanced
[2894.68-2898.52] 那Optical Module大概1到2%
[2898.52-2903.64] 那剩下就是组成7个percent
[2904.72-2909.32] 那也有一些是那个Data Computing的东西
[2909.32-2913.68] 公司我们的业务它会去试它用的料号
[2913.68-2915.48] 然后来去筛选
[2915.48-2919.56] 如果是跟AI我们定义的客群相关
[2919.56-2923.40] 它就会把相关的营收从Data Computing
[2923.40-2926.48] 认到这个AI应用碟里面
[2926.48-2934.68] 例如像我们提到的Router或者是Switch好了
[2934.72-2937.28] 它有很低阶的
[2937.28-2952.64] 那很低阶的它就会留在Networking里面
[2952.64-2955.96] 你好我想请问这个车钥跟AI目前
[2955.96-2959.56] Segments目前的订单能见度是如何
[2959.56-2962.36] 第二个问题是目前才能够用
[2962.36-2964.68] 如果是
[2964.72-2967.28] 以订单能见度来讲的话目前
[2967.28-2969.08] 因为现在是3月份
[2969.08-2976.76] 那我们针对Q2的Visibility我们的看法是车用跟AI的订单相对是比较明确也稳定
[2976.76-2977.52] 那
[2977.52-2981.88] 也比较可能大概到5月的一个订单相对是比较Firm的
[2981.88-2988.28] 那其他消费性手机这个进单速度目前看起来感觉是比较慢一些
[2988.28-2992.62] 然后第二个是
[2992.62-2994.68] 什么问题啊
[2994.72-2997.80] 现在的驾动应该是八成左右
[2997.80-2999.58] 所以
[2999.58-3004.20] 产能够不够用其实dependent on是怎么样类型的产品
[3004.20-3005.22] 因为
[3005.22-3009.82] 如果像我们讲的手机啊消费性这种产能目前
[3009.82-3011.10] 很够用
[3011.10-3012.12] 那只是说
[3012.12-3015.72] 它有时候会有点瓶颈是因为
[3015.72-3017.00] 客人要的东西
[3017.00-3018.28] 跟我现在的产能
[3018.28-3022.36] 客人要的其实就是很关键的几个特性
[3022.36-3024.68] 那些特性的话有时候会有点
[3024.72-3028.56] 去吃掉一些特定机台的产能
[3028.56-3030.10] 所以有时候
[3030.10-3033.94] 整体来说虽然只有八成可是在一些关键用料
[3033.94-3034.70] 例如说
[3034.70-3036.76] 我们刚提到的车用里面
[3036.76-3039.06] 有一颗
[3039.06-3039.82] Oscillator
[3039.82-3042.64] 它基本上它就会去用到
[3042.64-3044.94] 手机里面的TCXO的产能
[3044.94-3048.02] 所以有时候在特定机台的产能反而是
[3048.02-3049.56] 是有瓶颈
[3049.56-3054.68] 那公司刚有一页是针对2025年的一个产能
[3054.68-3056.48] 我们基本支出
[3056.48-3058.78] 那我们基本支出有一块就是针对这些
[3058.78-3060.06] 特殊设备
[3060.06-3063.12] 它如果是有才能排挤的一个体系
[3063.12-3066.96] 那内部就是会针对这样的一个设备去做
[3066.96-3075.68] gamebook
[3075.68-3077.20] 很多
[3077.20-3077.98] 千种
[3077.98-3079.76] 千种对
[3079.76-3083.10] 因为它即便是同一个客人同一个客料
[3083.10-3084.64] 如果它规格有稍微改变
[3084.64-3088.22] 我们后面的码数就会
[3088.22-3089.24] 有变
[3089.24-3090.78] 你看得出来它可能是同系列
[3090.78-3092.06] 但是它是不同
[3092.06-3092.84] 料号
[3092.84-3095.14] 以区别说
[3095.14-3098.98] 客人在一些特性上面是有做调整
[3098.98-3100.52] 它料号算多
[3100.52-3102.30] 那我们基本上会把它
[3102.30-3104.10] 上前是用
[3104.10-3106.40] 产品群组去看
[3106.40-3108.70] 那大类就是Crystal类
[3108.70-3109.48] 跟
[3109.48-3113.82] 这可以上吗
[3113.82-3114.60] 我知道
[3114.64-3119.24] 就是我们通常会是用大类做去
[3119.24-3119.76] 去转
[3119.76-3122.84] 所以它会就是有Crystal跟Oscillator
[3122.84-3124.88] 其实我用的上
[3136.66-3140.24] 我们通常会分两类就是一个是Crystal就是协振器
[3140.24-3142.28] 它是单纯的一颗被动元件
[3142.28-3144.34] 那实用震荡机就是有包含
[3144.64-3145.92] IC有包含
[3145.92-3148.22] 我们讲的那个
[3148.22-3149.76] 补偿电路
[3149.76-3151.30] 所以它是实用震荡器
[3151.30-3153.34] 那Crystal里面因为
[3153.34-3157.70] 大部分以公司目前在做的就是MHz的Crystal
[3157.70-3160.00] 这个是做最多的
[3160.00-3163.08] 那KHz就是业界讲的一个Tuning Focal
[3163.08-3166.40] 它是比较用在一些IoT装置省电装置
[3166.40-3167.94] 那手机也会用
[3167.94-3169.48] 那在
[3169.48-3171.78] KHz的部分基本上
[3171.78-3174.34] 因为它的频点是很单一型
[3174.34-3174.60] 就是
[3174.64-3175.92] 30.768
[3175.92-3178.48] 所以这个部分不是我们的重点
[3178.48-3181.30] 我们这个部分可能是协力厂商来帮我们做
[3181.30-3184.36] 但是我们的重点会是放在MHz的Crystal
[3184.36-3185.14] 因为现在
[3185.14-3186.16] 提到的
[3186.16-3187.96] 不论是AI车用什么
[3189.24-3191.80] 网通等等用到的都是高频
[3191.80-3194.10] 包含刚提到的768
[3194.10-3196.40] 96 80
[3196.40-3198.70] 甚至125 156的这些频点
[3198.70-3200.76] 都是MHz的Crystal
[3200.76-3203.32] 那这个温度感应的实用震荡器就是
[3203.32-3204.60] 实用协振器只能
[3204.64-3206.68] 使用在一些GPS的
[3206.68-3208.22] 那它就是
[3208.22-3210.28] 有点
[3210.28-3212.58] 去做用在一些GPS
[3212.58-3214.88] 如果说这个GPS是用在消费性
[3214.88-3215.90] 用在手机的
[3215.90-3218.20] 那客人就会去选择这种
[3218.20-3220.00] 温度感应的一个
[3220.00-3221.02] 实音协振器
[3221.02-3224.10] 它就是在Crystal里面多放了一颗热门电阻
[3224.10-3227.42] 让它可以去感测走遭的一个环境温度变化
[3227.42-3229.98] 然后进而去做一些线性的一个
[3229.98-3231.52] 频率补偿
[3231.52-3233.56] 所以这些都是Crystal的产品
[3233.56-3234.60] 那Crystal基础的产品是什么呢?
[3234.60-3237.92] 基本上在我们Total营收大概是占到
[3237.92-3239.20] 7成左右
[3239.20-3243.56] 那剩下的两成多就是上面的一个实音震荡器
[3243.56-3245.86] 那实音震荡器它有点是更
[3245.86-3248.16] 小量多样
[3248.16-3249.20] 因为
[3249.20-3251.50] 它的产品规格太多了
[3251.50-3255.08] 所以
[3255.08-3260.72] 就是会看客人的应用是哪个区块来去做设计
[3260.72-3263.78] 所以有包含恒温的OCXO
[3263.78-3264.56] 或者是
[3264.60-3265.88] PCXO
[3265.88-3268.70] 跟下面这种一般的
[3268.70-3272.02] CMOS的XO
[3272.02-3276.64] 那每一个如果在细部展开的话其实它的料耗也是
[3276.64-3279.44] 非常非常多的
[3279.44-3282.78] 所以我们有时候不会去用料耗看
[3282.78-3286.88] 但是如果投资人有兴趣的话可以进到我们的这个官网
[3286.88-3292.50] 随便去看就可以看得到说我的PCXO也有用在车用
[3292.50-3294.56] 因为车用本来很直觉就是有机会用到的东西
[3294.56-3295.84] GPS的功能嘛
[3295.84-3297.12] 所以它就是会
[3297.12-3298.66] PCXO有用在车用
[3298.66-3301.48] 那下面其实就是我的公司料耗
[3301.48-3305.56] A系列开头的那这些都是
[3305.56-3312.48] 相对应的一个规格跟品底
[3312.48-3315.56] 而且这个AQ也只是这个料耗的一个群组
[3315.56-3319.14] 它下面还有很多很多的一个规格数字在后面
[3324.56-3333.78] 车用跟AI今年车用因为BASE的关系
[3333.78-3336.08] 所以今年的一个YY的设定
[3336.08-3338.64] 会是比较放在两层左右
[3338.64-3342.22] 因为如果以公司平均是抓在maybe10%好了
[3342.22-3348.62] 那AI跟车用的一个YY是会设定高于公司的一个整体平均成长
[3354.56-3360.70] 那车用基本上因为我们已经连续两到三年的需求
[3360.70-3363.26] 都还蛮不错的
[3363.26-3367.10] 所以今年市况也确实是比较多
[3367.10-3367.88] 多变一点点
[3367.88-3369.40] 那我们也会持续关注
[3369.40-3373.00] 因为前面有提到就是
[3373.00-3379.64] 就是今年其实一二月的营收有比我们预期看到的来的好
[3379.64-3384.52] 那我们也会持续观察这是不是有一些提前提前拉过
[3384.52-3384.54] 那我们也会持续观察这是不是有一些提前拉过
[3384.56-3389.16] 因为有些供应链有反映到就是说
[3389.16-3391.98] 因为总统大选是一月二十几号嘛
[3391.98-3394.28] 那今年的过年也是一月二十几号
[3394.28-3400.94] 所以客人确实有部分他是在年前有去拉过
[3400.94-3405.30] 那造成说我们的一月营收相比十二月甚至都还不错
[3405.30-3406.84] 都可以维持十二月的水准
[3406.84-3410.42] 那我们接着就会看二三月的一个营收表现
[3410.42-3414.52] 然后再持续看说客人他是不是在中端的
[3414.52-3415.54] 然后再持续看说客人他是不是在中端的
[3415.54-3417.60] 需求也都还OK
[3417.60-3419.12] 能够持续去消化他现在拉出去的一个这些货源
[3419.12-3421.44] 能够持续去消化他现在拉出去的一个这些货源
[3433.20-3435.52] 那我们手机今年看比较保守
[3435.52-3440.64] 那今年手机美系这边有比较多的产品出来
[3440.64-3444.48] 那这个是因为用多content看
[3444.48-3448.32] 还是因为下降的价格
[3448.32-3449.60] 有几个
[3449.60-3454.46] 一个是确实在手机这种消费性的产品
[3454.46-3456.76] 价格压力确实还是有
[3456.76-3459.08] 因为这个就是从大概可能
[3459.08-3462.66] 二三年下半年二四年到今年
[3462.66-3466.76] 业务在市场回馈上面一直有感受到的一个价格压力
[3466.76-3470.60] 那手机里面当然不同客人处理方式也不同
[3470.60-3472.38] 因为手机我们有美系客人嘛
[3472.38-3473.92] 我们也有中国的客人
[3473.92-3474.44] 那
[3474.48-3478.06] 美系客人我们就是跟日系同业在做竞争
[3478.06-3480.12] 那在这个区块我们有
[3480.12-3483.44] 有看到日系同业的价格也是
[3483.44-3485.48] 蛮低的就是有价格压力
[3485.48-3486.76] 所以我们会去
[3486.76-3489.84] 针对我们可以增加share的部分
[3489.84-3491.88] 来去一起看
[3491.88-3495.22] 因为有些我们做的其实很确定是比
[3495.22-3497.26] 日本同业来的高毛利
[3497.26-3500.08] 因为我们是看料耗的一个生产成本
