[0.00-3.20] 中芯電工機械股份有限公司
[1730.44-1732.44] 那當然各位去看的時候
[1732.44-1733.44] 可能有些去看過
[1733.44-1736.44] 看到我們的整個廠區
[1736.44-1738.44] 蠻混亂的
[1738.44-1740.44] 然後車子進進出出
[1740.44-1741.44] 不好意思
[1741.44-1742.44] 這就是很亂
[1742.44-1744.44] 存貨太多的關係
[1744.44-1746.44] 那現在把這個廠區租下來之後
[1746.44-1748.44] 我是希望說
[1751.44-1753.44] 能夠更有次序的安排
[1753.44-1755.44] 我們把我們整個的存貨
[1755.44-1757.44] 然後另外是對於台電
[1757.44-1758.44] 他的拉貨
[1758.44-1760.44] 不管他的拉貨速度怎麼樣
[1760.44-1762.44] 我們會完全配合他
[1762.44-1763.44] 那生產的話
[1763.44-1765.44] 還是一樣20%的一個產能
[1765.44-1768.44] 我們繼續的滿足台電的需求
[1768.44-1770.44] 今天才有同事告訴我說
[1770.44-1772.44] 怎麼辦怎麼辦
[1772.44-1774.44] 那個下個月台電要一批貨
[1774.44-1776.44] 我說我們存貨不是很多嗎
[1776.44-1777.44] 他說不是
[1777.44-1779.44] 是另外一個案子的貨
[1779.44-1781.44] 這就是很大的一個進步障礙
[1781.44-1782.44] 我們必須隨時準備
[1782.44-1783.44] 台電的進步障礙
[1783.44-1785.44] 任何一個單子的貨
[1785.44-1787.44] 那也請各位放心
[1787.44-1788.44] 這些都是有單的
[1788.44-1790.44] 不是沒有單的
[1790.44-1792.44] 那這個廠房一租下來
[1792.44-1794.44] 希望就是說下次各位到我們公司的時候
[1794.44-1796.44] 看到是一個整齊的廠房
[1796.44-1799.44] 那台電的售出貨
[1799.44-1801.44] 我想我們都準備好了
[1803.44-1805.44] 那剛提到那個日本市場
[1805.44-1807.44] 日本市場大概
[1807.44-1812.44] 我們還有十億的一個
[1812.44-1815.44] 十億人民幣的一個產能需求
[1815.44-1819.44] 在這張圖上
[1819.44-1821.44] 我目前只用到這個廠房
[1821.44-1823.44] 這個廠房事實上還空著
[1823.44-1826.44] 所以我想日本不管它的存貨有增
[1826.44-1828.44] 它的需求量增加多少
[1828.44-1830.44] 我們現在目前是都說沒有問題
[1830.44-1831.44] 沒有問題
[1831.44-1833.44] 那現在目前是有問題是人
[1833.44-1835.44] 所以在積極的在找人在培訓
[1835.44-1836.44] 嗯
[1836.44-1837.44] 嗯
[1837.44-1867.44] 
[1867.44-1897.44] 
[1897.44-1927.44] 
[1927.44-1929.44] 我們是預期這個的需求量
[1929.44-1931.44] 是持續在增加
[1931.44-1933.44] 而且是不斷在增生
[1934.44-1936.44] 這是大家都看過的一張圖
[1936.44-1938.44] 大概整個的年均的成長率
[1938.44-1940.44] 大概2.8%
[1940.44-1943.44] 目前大家已經喊到說是3%了
[1944.44-1948.44] 這是目前台電的一個重要投資目標
[1948.44-1950.44] 我們可以看到事實上
[1950.44-1953.44] 它每一個案子的金額都非常的龐大
[1953.44-1956.44] 那其中有很多的電力
[1956.44-1959.44] 很多的需求是屬於我剛提到的
[1959.44-1962.44] 能源開發計畫
[1962.44-1967.44] 這個計畫事實上在台電已經在執行中了
[1967.44-1972.44] 所以看到這邊已經到了127年
[1972.44-1975.44] 事實上都還在執行這些計畫
[1975.44-1977.44] 那還會不會有新的計畫
[1977.44-1978.44] 當然還會有
[1978.44-1985.44] 整個的計畫大概就有7889億台幣
[1985.44-1986.44] 不是個小金額
[1986.44-1990.44] 比我們所知的強韌電網計畫事實上大很多
[1990.44-1994.44] 原因就是因為大家發現所謂的AI的成長
[1994.44-1997.44] 比想像中來得快來得迅速
[1997.44-2000.44] 所以台電必須要開發新的能源
[2000.44-2002.44] 而太陽能受阻了
[2002.44-2005.44] 風力發電很慢
[2005.44-2009.44] 它得要想辦法創造新的能源
[2010.44-2012.44] 那不管什麼能源
[2012.44-2014.44] 中心電工都會參一腳
[2015.44-2017.44] 那這是剛提到的日本市場
[2017.44-2022.44] 為什麼日本市場是我們認為說必須要去的地方
[2022.44-2023.44] 第一個就是說
[2023.44-2028.44] 台灣本來中心電工就是一個日系的公司
[2028.44-2032.44] 所以我們的產品跟日本人事實上是蠻相合的
[2032.44-2034.44] 我們產品事實上就從日本過來的
[2034.44-2040.44] 它的整個的投資計畫是6到7兆日元
[2040.44-2041.44] 也就是跟台灣相當
[2041.44-2044.44] 大概1.2兆到2兆的台幣
[2044.44-2045.44] 對嗎
[2045.44-2047.44] 2兆台幣
[2047.44-2049.44] 大部分都是電網
[2049.44-2055.44] 那他們為了解決他們自己本身電網的一個配電不平衡的問題
[2055.44-2060.44] 他們希望在島跟島之間做一個聯網
[2060.44-2064.44] 那島跟島之間做一個聯網就牽涉到輸配電
[2064.44-2066.44] 只要是輸配電
[2066.44-2070.44] 它到一個節點就必須要有保護開關裝置
[2070.44-2072.44] 它不可能讓你一條線走到底
[2072.44-2074.44] 那個風險太高了
[2074.44-2075.44] 可能A點發生問題
[2075.44-2077.44] B點也跟著發生問題
[2077.44-2079.44] 所以中間一定需要一些保護開關
[2079.44-2083.44] 所以它的這個聯網就是我們的機會
[2083.44-2088.44] 所以為什麼日本廠商不斷要求我們一定要保留產能給他們
[2088.44-2089.44] 原因在這裡
[2091.44-2094.44] 剛提到就是說中心電工的一個新產品
[2094.44-2096.44] 空調產品
[2096.44-2098.44] 這個是新的產品
[2098.44-2103.44] 它是屬於懸浮式的蠻翼空機
[2103.44-2104.44] 這我們已經做出來了
[2104.44-2106.44] 而且有時機
[2106.44-2108.44] 所謂的知名企業的電子機房
[2108.44-2110.44] 就是中華電信啦
[2110.44-2111.44] 那桃園國際機場
[2111.44-2113.44] 市場也都在使用
[2113.44-2117.44] 那當然我們希望能夠推廣到全台灣的各個角落
[2117.44-2119.44] 那甚至就是說跟著工業院
[2119.44-2122.44] 跟著我們上下游的這樣一個團隊
[2122.44-2125.44] 走到東南亞去
[2125.44-2128.44] 因為它的節能效率實在是太好了
[2128.44-2132.44] 那成本也不會比原來的空機成本高
[2133.44-2135.44] 很有競爭力
[2136.44-2138.44] 這個我就很簡單說一下
[2138.44-2140.44] 就是我們本來的輕能
[2140.44-2143.44] 事實上它的整個發展是有落後的
[2143.44-2145.44] 但是在台灣這裡
[2145.44-2147.44] 我們發展了輕能巴士
[2147.44-2149.44] 以台灣政府現在的狀況
[2149.44-2151.44] 大概輕能巴士是走先
[2151.44-2154.44] 就是最先推廣的一個就是輕能巴士
[2154.44-2156.44] 那我們也跟上這個腳步了
[2157.44-2159.44] 那另外一個就是你要輕能巴士
[2159.44-2160.44] 當然就必須要從輕
[2160.44-2162.44] 所以我們的家輕貨貴
[2162.44-2163.44] 目前
[2163.44-2166.44] 我們目前已經開發到200公斤的一個產輕機
[2166.44-2168.44] 它是可以堆疊式的
[2168.44-2171.44] 就是像除能電池一樣
[2171.44-2172.44] 不斷的堆疊
[2172.44-2174.44] 你就不斷的有新的能源
[2174.44-2177.44] 能夠衝到我們的輕能巴士上面
[2177.44-2180.44] 目前大概是這兩個產品是主力
[2180.44-2182.44] 那在台灣市場也都很清楚
[2182.44-2185.44] 有客戶也都發包了
[2185.44-2187.44] 那跟客戶也都接了訂單
[2187.44-2190.44] 所以我說這個單位今年應該有機會水平
[2190.44-2193.44] 大概
[2203.44-2204.44] 沒辦法
[2204.44-2205.44] 大概當掉了
[2205.44-2207.44] 被我按到當掉了
[2207.44-2209.44] 沒問題
[2209.44-2212.44] 等我最後一張大概就是告訴各位
[2212.44-2216.44] 它是Morgan Stanley的一個圖表
[2216.44-2219.44] 那提的就是說整個的電力需求
[2219.44-2220.44] 跟整個AI的成長
[2220.44-2224.44] 事實上讓我們的整個所謂的基礎建設
[2224.44-2227.44] 或者是電力設備的需求
[2227.44-2228.44] 不斷的往上提升
[2228.44-2230.44] 這是一個趨勢
[2234.44-2237.44] 大概就是用這一張作為一個最後的結尾
[2237.44-2240.44] 告訴大家整個電力就是國力
[2240.44-2242.44] 每一個國家都在發展
[2242.44-2244.44] 都在發展他們的國力
[2244.44-2245.44] 那台灣一樣
[2245.44-2247.44] 中興公司除了台灣
[2247.44-2248.44] 還要走到日本
[2248.44-2250.44] 走到美國
[2250.44-2251.44] 報告到這裡
[2251.44-2253.44] 如果有問題的話都可以問
