[0.00-6.32] 歡迎大家參加紅準精密工業股份有限公司的法人說明會
[1525.70-1531.84] 甚至是跟客户这边做交互的协调等等的这个可能不是短时间之内就会做决定
[1532.10-1532.60] 事情
[1532.86-1539.00] 那一整个关税为例其实我们可以看到在先前可能中国跟美国这边的关系
[1539.26-1541.32] 是剑拔弩张但这几天好像
[1541.62-1542.64] 又有一些好转的迹象
[1542.90-1545.72] 那我们因应这个不确定性之下我们
[1546.22-1547.76] 并不会就是贸然对
[1548.02-1551.08] 往任何特定地方设厂或是建设这边
[1551.60-1553.14] 做一个突然的决定
[1553.40-1556.72] 那我相信我们进行团这边都会做更诚正规划
[1557.24-1563.38] 那当然回过头来讲其实整个发扣集团这边最大优势就是我们的供应链整合的能力
[1563.64-1568.50] 那包含垂直和水平整合等等的话都是我们这边可以做到事情
[1568.76-1571.32] 那未来这边红准会持续跟我们的
[1571.62-1574.94] 重要客户还有未来请来客户这边做协商和沟通
[1575.20-1578.52] 那配合客户的需求我们再去考量说整个
[1578.78-1583.14] 供应基地或者是建设基地还有一些生产制造基地
[1583.40-1587.24] 往外做扩张和布局的可能性这个我们都是持续的
[1587.48-1588.00] 讨论当中
[1588.26-1588.76] 谢谢
[1589.28-1590.30] 嗯谢谢
[1590.56-1596.20] 那承接着刚刚这个话题啊我们也有投资先进想要请教一下金管长就是
[1596.44-1600.04] 例如说关税问题啊对于有戏剧客户的影响
[1600.28-1601.32] 可能会有多大
[1601.62-1605.46] 然后就是红准是否有针对客户需求安排
[1605.72-1607.76] 不同的一个生产规划
[1612.12-1616.46] 针对关税的那个对游戏机的影响目前就是说
[1619.28-1625.42] 对出美国地区的这个产品一定受到有相对程度的影响那本来在分散
[1625.68-1628.50] 生产地的部分已经在做规划
[1628.76-1629.78] 那除了中国
[1630.04-1631.32] 场区之外呢也有
[1631.62-1632.12] 其他
[1632.38-1637.76] 场区的扩场的一个考量在所以这个已经做已经在做预先的规划跟布局
[1638.52-1639.04] 好那
[1639.30-1643.40] 所以这次的那个关税的应配的也会有但是呢
[1643.64-1645.44] 没有预期中的那么大
[1645.70-1646.72] 那已经在
[1647.48-1651.84] 那个预期规划当中已经分散掉了所以
[1652.10-1653.64] 以关税来讲从
[1653.88-1654.40] 那个
[1654.66-1656.44] 出美国的这个货呢
[1656.70-1660.28] 而目前就是配合客户他的出货的规划
[1660.54-1661.32] 我们会跟着他的
[1661.62-1662.64] 一个计划来走
[1662.90-1666.22] 那主要就是说这个关税还是客户在负担
[1666.48-1668.52] 好对我们来讲的话影响
[1668.78-1673.14] 不会那么大但是对客户来讲影响比较大那所以我们是跟着他的脚步在走
[1673.40-1674.92] 好配合他的需求
[1676.72-1678.00] 好谢谢金馆长
[1678.52-1683.88] 那我们看看在场的投资先进有没有提问的可以直接举手发问
[1684.66-1686.20] 我们会给你们麦克风
[1687.98-1689.00] 后面这位
[1689.26-1690.04] 投资先进
[1691.36-1691.88] 谢谢
[1698.78-1704.92] 刚刚发言有提到我们公司未来的策略重要策略之一是发展
[1705.18-1705.96] 机器人的
[1706.20-1706.72] 组装
[1706.98-1707.74] 这一块
[1708.00-1711.32] 我想请问一下就是说公司在目前的
[1711.84-1717.22] 是处于研发阶段还是在处于送样的阶段这第1个问题
[1717.48-1719.26] 第2个问题我们跟
[1719.78-1721.32] 母公司的
[1721.62-1722.64] 发光集团的
[1722.90-1724.18] 分工是怎么样
[1724.94-1727.00] 那第3个目前有没有
[1727.24-1728.78] 比较明确的
[1729.04-1730.32] 鸡蛋的
[1730.58-1731.60] 的案例以上
[1736.98-1737.48] 是
[1737.74-1740.30] 我们其实可以看到机器人他本
[1740.56-1743.12] 是包含很多不同购面产品的因为
[1743.88-1750.04] 我想机器人的话我们可以讲他是很先进的人形机器人可以说他是一些工厂
[1750.28-1751.32] 专用制造机器人
[1751.62-1757.76] 当然我们也可以讲说他像是我们酒店或者是餐厅用的服务型机器人
[1758.02-1759.80] 多专机器人产品当中
[1760.06-1760.84] 的一个环节
[1761.34-1763.64] 那红准这边的话其实在各个
[1763.90-1767.48] 不同的机器人产品这边都是有所涉猎
[1767.74-1771.32] 那不同的产品他当然就会有不同的一个应用
[1771.58-1774.14] 和一个制造所需要的一个
[1774.40-1775.94] 时间和时间安排
[1776.20-1780.54] 那他前置研发的时期也会是不同的一个阶段
[1780.80-1781.32] 那我看
[1781.62-1785.72] 可以说是我们在不同的产品当中的话都是有一些
[1786.22-1787.00] 就是涉猎
[1787.24-1789.30] 然后有一些相关的布局
[1790.84-1793.40] 可以透过就是说其实在可能一些
[1793.90-1799.80] 比较偏服务型当中的话因为相对成熟所以红准这边是已经有客户的
[1800.04-1801.08] 订单和
[1801.32-1802.86] 出货的一个机会
[1803.38-1809.52] 那在先进的一个方面的话呢我们会持续的跟我们的母公司这边去做
[1809.78-1810.28] 合作
[1810.54-1811.32] 那争取
[1811.62-1813.66] 一些大型客户和一些比较
[1813.92-1815.20] 主要厂商的订单
[1815.46-1821.08] 那整体而言的话我可以透过这些那关于单一产业或是单一产品
[1821.34-1823.90] 甚至客户咨询的话可能就不便说太细
[1824.16-1824.68] 谢谢
[1830.56-1831.32] 一个
[1834.92-1839.78] 你好想请问一下就是说COPLAN目前的认证状况那以及认证对象是跟
[1840.04-1841.06] ODM还是
[1841.36-1844.94] 企业场商还是CSP去做一个共同的认证
[1845.20-1845.72] 谢谢
[1851.86-1854.42] 我想这一次我们所
[1854.68-1860.82] 提供讯息跟上一次法说会是相同目前就还是等待客户这边认证那最快的话有机会在下半
[1861.08-1862.36] 年的时候取得
[1862.60-1863.64] 相对应的进展
[1865.68-1870.28] 请问是相对应进展是说开始出货还是有一个初步认证结果呢
[1871.36-1873.40] 是否有机会在下半年之后再进行认证
[1873.66-1874.94] 是否有机会在下半年之后再进行认证
[1875.20-1876.74] 是否有机会在下半年之后再进行认证
[1877.00-1881.08] 散热产品的部分那个有一款
[1881.34-1883.14] 是客户已经认证通过了
[1883.40-1886.46] 然后有一款是还在认证当中
[1893.38-1896.96] 所以已经通过那款是目前现在已经在出货贡献的部分吗
[1899.52-1900.80] 这个部分要配合那个客户的贡献
[1901.36-1903.16] 客户的那个出货的计划
[1903.66-1904.94] 那
[1905.20-1906.48] 现在我
[1906.74-1911.08] 还不是很明确的确定知道说他那个量产的计划是在
[1911.34-1912.88] 确定在几月份
[1914.92-1920.30] 已经就是通过验证之后呢那个随着客户在那个更换供应商的那个
[1920.56-1922.36] 那个步调在跟着他的那个
[1922.86-1923.64] 时程在走
[1924.92-1926.70] 了解那个验证的部分
[1926.96-1929.52] 就是可以给我们一个方向说是跟
[1929.78-1931.32] 谁就是可能欧电厂商
[1931.62-1935.46] 或是csp一同认证吗还是是送给谁去做验证
[1936.48-1938.28] 中单客户
[1938.52-1940.84] 不是中单客户就是那个server的客户
[1948.52-1950.82] 我们还有投资先进有提问的吗
[1961.62-1964.44] 刚刚在简报有提到那个生产据点有
[1964.68-1965.46] 包含越南
[1965.72-1966.22] 可不可以
[1966.48-1969.80] 多了解一下目前越南产能多少主要做什么然后
[1970.06-1972.62] 另外一个是说好像就是有听一些
[1972.88-1978.00] 产业是说公司好像也有在投资transceiver光模组的部分可不可以
[1978.52-1981.08] 确认一下公司目前有这一块的生意吗
[1987.72-1988.24] 好
[1991.62-1995.72] 我们目前在越南没有设仓所以
[1995.96-1997.00] 没有越南的产能
[1997.24-2001.60] 那这个部分呢我们是有合作partner就是外包的方式会进行
[2001.86-2005.44] 好那我们有几个供应商的选项可以可以
[2005.96-2006.72] 调度产能
[2006.98-2008.26] 那至于说
[2010.56-2011.84] 光模组的部分
[2015.68-2016.44] 我们有几个
[2016.70-2017.48] 我们有几个
[2017.72-2018.50] 我们有几个
[2018.76-2019.52] 我们有几个
[2019.78-2020.28] 我们有几个
[2020.54-2021.06] 我们有几个
[2021.06-2026.70] 任何的投资我们都会做评估光模组也在我们评估的范围之内
[2026.94-2031.04] 那这一块的现在是未来发展的一个比较
[2032.84-2036.16] 重要的还有比较有发展性的一个产品
[2036.42-2037.96] 那我们都不排斥
[2038.22-2042.56] 那只要说对我们整体的发展是有关联性的这种投资
[2042.82-2044.62] 我们都会持续的
[2045.64-2046.92] 做深入的探讨
[2047.18-2050.76] 然后跟我们公司策略发展方向一致的情况下我们都会评估
[2051.06-2052.60] 那目前
[2054.38-2055.66] 光模组这些
[2055.92-2057.20] 是有几个案例
[2057.46-2059.50] 可以考虑但是我们还是要以
[2060.02-2061.82] 对公司最有利的方向去
[2062.58-2063.34] 去选择
[2066.16-2068.46] 我补充说明一下其实就
[2068.72-2072.30] 红准的投资的话我们本来就会有自己
[2072.82-2074.86] 去看或是别人推荐给我们
[2075.12-2076.66] 看的一些产业
[2076.92-2077.42] 和产品
[2077.94-2080.50] 那您提到光模组或者是前面
[2080.50-2083.58] 可能大家很关心的说不同的产业其实我们这边
[2083.82-2086.64] 或多或少都会有涉猎到但是整个涉猎
[2086.90-2088.18] 或是有接触
[2088.44-2093.04] 不代表说红准一定会对特定产品或产业厂商等等去做投资
[2093.30-2097.66] 那主要还是会回归到说这个东西对红准本身而言有没有一些合并的
[2097.90-2098.42] 的综效
[2098.68-2099.96] 或是投资的利益
[2100.22-2103.02] 那甚至是代工或是制造生产方面的一些
[2103.28-2108.66] 整合效果如果有的话我们才会就这边去做一个比较明确的意向
[2108.92-2109.94] 甚至做投资
[2109.94-2112.24] 那在此前的话我相信
[2112.50-2115.58] 所有产业其实我们只要有机会获利的都会去看
[2115.82-2118.14] 那看的不代表说一定会做投资
[2118.38-2123.00] 那接下来如果有些正式投资或者是比较明确消息的话呢我们会
[2123.26-2127.10] 不同的一个讯息做一个公告那可能是重讯
[2127.34-2130.94] 或是董事会等等的话会让各位投资先进知道谢谢
[2133.24-2136.06] 谢谢那我们还有投资先进要提问的吗
[2136.06-2140.42] 他先一点
[2142.72-2144.76] 谢谢一个很快的follow up
[2145.02-2151.16] 那因为您说在越南那边你们是没有设厂是用外包的方式那因为刚刚前面有提到说
[2151.42-2152.44] 可能就是
[2152.70-2157.30] 帮助客户在分散部分有规划非中国厂区的
[2157.56-2159.86] 这个扩展的计划跟规划
[2160.12-2165.24] 那这样子的话长期来看越南有可能我们会自己去设厂吗还是说只是
[2165.24-2170.10] 扩大跟在当地的suppliers的外包这样的模式呢谢谢
[2177.28-2180.34] 其实主要是看客户的需求还有看产业的
[2180.60-2182.90] 特性因为不是每个产品都
[2183.16-2189.30] 适合在越南生产吗因为我们也要同时考量到他的供应链还有原物料的价格
[2189.56-2190.08] 这些
[2190.32-2191.36] 都要同步去考量
[2191.86-2195.20] 那至于说目前是现在客户的需求我们
[2195.50-2196.78] 我们可以透过外包商
[2197.04-2201.38] 这个比较密切合作的供应商来做搭配去调配产能之外
[2201.64-2203.44] 那未来长期的那个
[2203.68-2209.06] 发展方向还是看我们整体全球整体的经济环境因为现在
[2209.32-2211.12] 动荡太大了没有办法说
[2211.36-2213.92] 现在一定要或一定不要或者是说
[2214.18-2215.46] 一定在哪里好
[2215.72-2221.86] 好那这这还是以客户比较重要客户的需求为我们主要的考量点
[2225.24-2231.38] 请问一下就是如果就第二季的一个影音角度来看
[2231.64-2235.74] 我们这边游戏机的一个出货状况会跟第1季差异
[2236.00-2242.14] 就是差不多吗那另外就是到了第3季是不是这个备货的量会
[2242.40-2244.44] 就是还是会一样还是会下来
[2244.70-2247.52] 那这是第一个问题那第二个问题是
[2247.76-2250.08] 为什么想请教一下就是我们的一个marketing
[2250.32-2251.36] 我们的一个marketing
[2251.60-2253.40] 对于一个游戏机的一个出货状况
[2253.66-2255.20] 我们是有一个
[2255.50-2258.82] margin是不是跟游戏机的一个出货
[2259.60-2262.92] 的一个关系所以毛利率的一个状况是
[2263.18-2266.24] 因为我看从去年的一个毛利
[2266.50-2272.14] 毛利率来看的话是足迹的一个往下那我不晓得是不是跟游戏机的一个出货有一个
[2272.40-2274.70] 就是关联度这样子
[2281.36-2283.14] 游戏机的部分啊
[2283.40-2285.20] Q2跟Q3
[2285.50-2286.78] Q2是好一些些
[2287.04-2288.82] 那下半年的部分因为现在
[2289.08-2291.38] 客户的整个出货的计划因为之前
[2291.64-2293.94] 受那个美国关税影响他有调配嘛
[2294.20-2299.32] 所以我现在不好说说下半年一定跟上半年的比较会好或不好
[2299.58-2303.68] 因为这个可能涉及到说美国预购的量还有他实际的出货计划
[2303.92-2304.70] 再去调整
[2304.96-2310.58] 那至于毛利率的部分呢原则上是因为这一次因应这次的改款
[2310.84-2311.36] 那
[2312.88-2315.20] 他呢在那个设计上他的bone course
[2315.50-2316.00] 有增
[2316.26-2319.08] 增加比较多所以我们的营收也会增加比较多
[2319.34-2322.16] 那至于说毛利率会调整的
[2322.40-2326.24] 我们毛利值是不会变的但是因为我们这个比重有
[2326.50-2330.34] 有差异所以这个毛利率的表现没有以前那么好
[2330.60-2336.74] 那是会随着游戏机的出货越多产品组合的关系所以那个毛利率的波动
[2337.00-2337.76] 还是会
[2338.02-2340.08] 受游戏机的影响比较大
[2345.50-2355.74] 请教一下说在机器人就是散热部分有什么特殊的设计吗
[2356.00-2356.50] 那
[2356.76-2359.32] 机壳部分大约占整个泵大约多少呢
[2362.90-2366.48] 你说机器人的散热设计有什么不一样是不是
[2366.74-2367.26] 是
[2367.52-2369.56] 我想这个回归到不同
[2369.82-2373.14] 厂商做的产品当中他本身的结构
[2373.40-2374.68] 和散热的设计
[2374.68-2375.70] 就是不同的
[2375.96-2376.72] 那
[2376.98-2382.10] 以现在市场上主流的一个机器人去看的话其实他光是整个
[2382.36-2386.72] 外壳还有他的机构件就是用不同的方式去做散热
[2387.22-2392.86] 那我们这边接触到除了散热之外可能有些厂商他例如说他在整个
[2394.40-2395.16] 静音
[2395.42-2396.70] 或者是安全
[2397.20-2403.10] 甚至是整个配重方面都有他独特的需求所以我想这边的话应该是要做整体的考量
[2403.60-2404.64] 那当然整个
[2404.94-2406.72] 产品他的地带速度非常
[2406.98-2407.50] 快速
[2407.76-2413.90] 那未来的话我们现在所去看到的一些市场上有的产品他可能在未来几年之内
[2414.16-2414.92] 都会做更新
[2415.44-2420.56] 那这方面的话我们会跟随整个目标客户的一个研究发展路径去做合作
[2421.06-2424.64] 那第2点就是说在整个Bone Cost的方面的话
[2424.90-2428.24] 这个可能要回归客户的一个真实的成本
[2428.48-2430.28] 由他们去做计算因为其实
[2430.54-2432.08] 我们可以掌握就是说
[2432.32-2434.64] 红准这边如果出相对应的部件的
[2434.94-2438.00] 那他的价格可以在什么样的区间
[2438.26-2440.56] 是他的一个效能会在什么样区间
[2441.08-2445.68] 但是客户整体而言他的机器人的成本还是由他们这边去做统整
[2446.20-2450.80] 那回过头来如果有机会的话我记得现在网路上有几家
[2451.06-2452.34] 机器人的公司
[2452.60-2456.44] 尤其是人行机器人这边的话也是已经公布他们的Bone Cost的组成
[2456.96-2459.52] 那这边有兴趣的话应该可以做一个参考
[2460.02-2463.60] 那这个可能会是暂时性的一个状况
[2463.86-2464.64] 因为其实
[2464.94-2466.22] 在更长远的发展
[2466.72-2469.80] 放眼未来3到5年大家都会希望说整个
[2470.06-2472.88] 机器人这边是可以让Bone大幅降低
[2473.12-2477.22] 到可以量产的一个阶段所以这方面的话我相信这个变化非常快速
[2477.48-2481.06] 但短期而言的话市场上公开资讯应该可以做参考的
[2481.32-2481.84] 谢谢
[2482.34-2488.48] 了解感谢你回复想说请教一下说我聚焦一下就说那个机器人散热跟其他目前
[2488.74-2492.84] 现在市面上那个散热主要的差异而不是说当然可以明白说
[2493.10-2494.64] 不同厂商的散热状况
[2494.94-2496.22] 会有不一样想了解说
[2496.48-2496.72] 在
[2496.98-2499.28] 就是公司所看到能见的就是
[2499.54-2505.68] 现在机器人散热跟普通的现在可能我们所理解到Server散热或是其他PC的散热这部分的
[2505.94-2506.96] 主要差异会
[2507.22-2511.32] 在哪边呢还是大概会采用怎样的方向去做一个解热
[2511.58-2512.86] 那以及说目前
[2513.12-2517.98] 集团的开发进度以及相关的合作伙伴会以哪些为主呢谢谢
[2519.26-2521.04] 我想这边我们就是
[2521.30-2523.60] 不同的客户真的他们的设计
[2523.86-2524.64] 理念
[2524.94-2529.80] 设计方向都差异非常大我没办法就是一概而定的去做一个
[2530.06-2530.56] 总结
[2530.82-2538.00] 但整体而言的话我前面提到的光是就整个节能方面的话也许他就会比整个散热更加重要
[2538.50-2544.40] 因为目前大部分机器人他应用场域可能不是在家庭当中是在整个工厂当中
[2544.64-2547.46] 那他怎么样去同时的在整个
[2547.72-2551.56] 大规模部署情况之下达到一个有效的运作
[2551.82-2553.86] 包含能量的一个
[2554.12-2554.64] 减降
[2554.94-2558.00] 后能降低还有他排成上面安排
[2558.26-2564.66] 那这方面如果短期之内还会是在整个工厂里面做运作化我们相信整个电力需求
[2564.92-2566.72] 汉沙轻量化的一个
[2566.96-2569.02] 需求化会是更加重要的一个焦点
[2569.52-2571.58] 那散热化短期之内因为
[2572.08-2578.24] 主要的机构件他可能就是包含整个关节模组和一些马达和齿轮的设计
[2578.48-2584.38] 那只要可以让这一些的零件保持顺畅运作的话那散热的需求应该可以
[2584.68-2586.48] 在一定程度之内被满足
[2586.72-2590.06] 那接下来我们可以看到就是说如果以长远来看的话
[2590.32-2593.90] 红准这边当然是持续的跟集团内的一些合作伙伴
[2594.16-2596.20] 甚至是外部合作伙伴做共同合作
[2596.46-2600.04] 那希望说有机会在这个产业当中在一起之地
[2600.30-2600.80] 谢谢
[2614.68-2618.00] 我们还有提问的投资先进吗
[2622.36-2626.96] 如果没有问题的话那我们今天非常感谢经营团队的分享
[2627.22-2633.36] 然后今天红准的这个法书会就先告一个段落感谢各位投资先进的参与
[2633.62-2635.42] 也感谢经营团队
[2635.68-2636.96] 各位长官谢谢大家
