[0.00-9.08] 各位投資先進
[1448.70-1450.50] 他有點像
[1450.54-1452.34] 早期的航海時代
[1452.34-1454.90] 也像是中國
[1454.90-1456.94] 以前很多台商網中國運用的時候
[1456.94-1458.98] 很多台灣設備商會跟著過去
[1458.98-1460.02] 我們是服務客戶的
[1460.02-1462.58] 所以客戶在哪裡我們就會在哪裡
[1462.58-1464.36] 所以藉由這張來作為
[1464.36-1466.16] 至上這邊的一個領域
[1466.16-1467.94] 那下一位是請我們
[1467.94-1468.98] 那個
[1468.98-1471.02] 張書勤協議
[1480.54-1495.90] 各位先生大家好
[1495.90-1499.74] 我是軍豪機密協議張文成
[1499.74-1504.60] 那首先非常感謝我們兩位執行長給我這個機會
[1504.60-1506.14] 在這邊
[1506.14-1508.70] 跟大家做一個報告
[1508.70-1510.50] 請各位多多的
[1510.50-1511.26] 指教
[1511.26-1516.38] 謝謝
[1516.38-1518.94] 那首先就是免責聲明
[1518.94-1526.88] 那請各位先進做參考
[1526.88-1530.46] 接下來要跟各位先進們做報告的是
[1530.46-1531.74] 我們
[1531.74-1534.30] 軍豪的一個發展嚴格的部分
[1534.30-1536.36] 那我們可以看得到是說
[1536.36-1538.14] 在那個
[1538.14-1539.68] 1978年的時候
[1539.68-1540.46] 我們
[1540.50-1541.78] 在1998满市展
[1541.78-1544.60] 以GPM的自由品牌
[1544.60-1545.10] 就是經營
[1545.10-1547.20] 我們的一個
[1547.20-1549.46] 半導體的模具
[1549.46-1551.26] 以及所謂的一個
[1551.26-1553.04] 精密製造零件
[1553.04-1554.58] 那開啟了我們
[1554.58-1555.34] GPM的
[1555.34-1556.38] 元年
[1556.38-1557.14] 那
[1557.14-1558.68] 隔了20年
[1558.68-1560.46] 在98年的時候
[1560.46-1562.00] 就是上歸
[1562.00-1568.14] 那我們GPM有兩次的一個大改變的部分
[1568.14-1570.20] 也就是在02年的
[1570.20-1575.20] 跟華東半導體加入軍航
[1575.20-1578.64] 然後在05年的時候
[1578.64-1581.84] 就是群路自動化加入軍航
[1581.84-1584.84] 在那個期間
[1584.84-1586.24] 03年的時候
[1586.24-1589.52] 我們成立了FPD的事業處
[1589.52-1591.52] 然後在04年的時候
[1591.52-1593.88] 出省加入了軍航
[1593.88-1595.20] 在這邊的話
[1595.20-1598.32] 我是負責所謂的生產
[1598.32-1600.56] 以及研發這部分
[1600.56-1603.80] 因為各位先生可能對我
[1603.80-1605.52] 也不熟悉
[1605.52-1608.80] 所以稍微自我介紹一下
[1608.80-1610.76] 在08年的時候
[1610.76-1613.96] 我們的一個顯示器的面板
[1613.96-1617.64] 那個營收大於八成
[1617.64-1621.04] 所以成為我們機片的一個主業
[1621.04-1624.04] 在2010年的時候
[1624.04-1628.32] 就是我們內部的一個創業
[1628.32-1630.56] 所以將所謂的
[1630.56-1633.96] 就是半導體的事業部門
[1633.96-1636.56] 就是把它spin off
[1636.56-1639.40] 成立了軍華機密
[1639.40-1641.56] 在18年的時候
[1641.56-1643.40] 軍華上櫃
[1643.40-1647.08] 然後在2020年的時候
[1647.08-1650.96] 由我們
[1650.96-1654.56] 這裡可以看到三個圖像
[1654.56-1656.56] 第一個是我們那個
[1656.56-1658.08] 有遠見的
[1658.08-1660.32] 第一個是我們的Framing
[1660.32-1662.32] 第二個是和愛的Jason
[1662.32-1665.32] 第三個就是高大商的Stove
[1665.32-1667.32] 然後在這邊的話
[1667.32-1671.32] 他們共同就是成立了
[1671.32-1673.32] 所謂的基礎系的聯盟
[1673.32-1674.32] 在這邊的話
[1674.32-1676.32] 就是以合一共創
[1676.32-1678.32] 同行致遠
[1678.32-1681.32] 為我們的一個理念
[1681.32-1684.32] 然後在一個橫向連結
[1684.32-1687.32] 還有所謂的一個縫向的一個
[1687.32-1690.56] 深耕的梯形策略
[1690.56-1692.56] 然後來服務客戶
[1692.56-1697.56] 然後隨著軍華的一個
[1697.56-1703.56] 以及那個至聖的一個營運的暢旺部分
[1703.56-1706.56] 那軍桃在基礎期
[1706.56-1710.56] 扮演的是所謂一個人員的一個調配
[1710.56-1714.56] 以及所謂的一個生產量的一個
[1714.56-1715.56] 擴張的一個角色
[1715.56-1719.56] 那在所謂一個2021年開始
[1719.56-1723.56] 就是我們協作TMN
[1723.56-1727.56] 去做所謂一個Soltor的部分
[1727.56-1728.56] 以及Bondon
[1728.56-1730.56] 然後在所謂一個資深的部分
[1730.56-1733.56] 我們協作了壓模機的部分
[1733.56-1736.56] 在那個先進封裝
[1736.56-1738.56] 以及所謂一個
[1738.56-1741.56] 持續擴張的一個需求下
[1741.56-1743.56] 我們做到了協助客戶
[1743.56-1745.56] 就是導入了時間的做工
[1745.56-1748.56] 以及產能的一個提升
[1748.56-1751.56] 還有良力的一個穩定的部分
[1751.56-1754.56] 然後因為有我們軍桃的一個
[1754.56-1756.56] 量能的一個協作的部分
[1756.56-1760.56] 那我們如期如值的交貨
[1760.56-1764.56] 讓那個我們基礎機在半導體業
[1764.56-1767.56] 得更具有所謂一個競爭優勢
[1767.56-1771.56] 那在所謂一個2022年
[1771.56-1773.56] 我們更是明確的對標
[1773.56-1774.56] 減2.5萬元
[1774.56-1777.56] 減2.5萬元的一個產品
[1777.56-1780.56] 為我們軍桃的一個發展的主軸
[1784.56-1786.56] 在營收組合的部分
[1786.56-1788.56] 我們可以看得到
[1788.56-1790.56] 在這張河流圖
[1790.56-1794.56] 我們看到以2020年為基礎
[1794.56-1797.56] 就是在一個合併營收
[1797.56-1801.56] 我們在一個半導體成長了181%
[1801.56-1804.56] 然後在個體營收的部分
[1804.56-1807.56] 我們的一個比重也超過了50%
[1807.56-1809.56] 然後最主要是基於
[1809.56-1812.56] 那個FPD的產業趨勢
[1812.56-1815.56] 還有所謂一個AI的一個運用
[1815.56-1818.56] 以及那一個行政封裝
[1818.56-1821.56] 需求的一個暢望的部分
[1821.56-1825.56] 那我們的一個營收的組成
[1825.56-1827.56] 還有由所謂一個軍華
[1827.56-1829.56] 在所謂一個Foundry
[1829.56-1832.56] 還有OCE廠的一個量力的表現
[1832.56-1834.56] 還有我們軍桃的一個產業的表現
[1834.56-1837.56] 然後本身自己也積極的去做
[1837.56-1839.56] 所謂一個產業轉型
[1839.56-1842.56] 也就是從所謂一個FPD的產業
[1842.56-1845.56] 轉型到所謂一個半導體的產業
[1845.56-1848.56] 那以及還有所謂一個產品
[1848.56-1850.56] 組合的一個改變
[1850.56-1852.56] 我們剛才前面有提到的
[1852.56-1854.56] 減糧活泡的部分
[1854.56-1856.56] 那逐漸做對的事情
[1856.56-1858.56] 就是會有對營收
[1858.56-1861.56] 會帶來所謂一個成長的一個開始
[1864.56-1867.56] 接下來跟各位先生報告的是
[1867.56-1871.56] 那個軍桃在信任封裝的商機
[1871.56-1874.56] 以及所謂一個成長動能的部分
[1874.56-1879.56] 那信任封裝有兩個非常關鍵的機會
[1879.56-1883.56] 也就是說剛才那個至聖的那個
[1883.56-1887.56] 彥成協理他有講到Foundry
[1887.56-1889.56] 那個2.0的部分
[1889.56-1892.56] 也就是晶圓大廠向下整合
[1892.56-1894.56] 也就是那個Foundry
[1894.56-1896.56] 加上所謂一個
[1896.56-1900.56] 先進封裝以及測試的部分
[1900.56-1904.56] 那我們可以看到在5月15號的時候
[1904.56-1906.56] 在2025年
[1906.56-1908.56] 那個技術論壇
[1908.56-1911.56] 就是在T-SHIRT技術論壇有提到
[1911.56-1917.56] 他說我們正就是進入到Foundry 2.0的一個新時代
[1917.56-1919.56] 在這個時代呢
[1919.56-1921.56] 所謂一個封裝以及測試
[1921.56-1922.56] 已經進入到Foundry 2.0的一個新時代
[1922.56-1924.56] 已經成為完整
[1924.56-1927.56] 晶圓製造不可或缺的一部分
[1927.56-1932.56] 所以這是一個非常重要的一個宣告
[1932.56-1934.56] 那另外一個就是OSET
[1934.56-1938.56] 就是OSET也是往向上去所謂一個發展
[1938.56-1942.56] 從所謂一個V-CHIP到FANUP
[1942.56-1946.56] 以及2D 205D 3D TESTING的部分
[1946.56-1951.56] 那它也是朝著更高端的先進封裝去多邁進
[1951.56-1956.56] 那我們那個均好所對標的發展主軸
[1956.56-1958.56] 剛才也提到的是說
[1958.56-1962.56] 就是在一個減量模泡的部分
[1962.56-1963.56] 那在這邊的話
[1963.56-1966.56] 我們對應的一個產品
[1966.56-1968.56] 就是可以看得到是說
[1968.56-1970.56] 像我們的3D NIR
[1970.56-1971.56] Metrology
[1971.56-1973.56] Carrier Inspection
[1973.56-1975.56] 以及我們的Taino Connector的部分
[1975.56-1980.56] 那在3D NIR最主要它的一個作用就是
[1980.56-1986.56] 在做所謂一個非破壞性的穿透的檢查
[1986.56-1988.56] 那在這個Metrology的部分
[1988.56-1992.56] 它就是在做所謂一個Critical Dimension的一個揚測
[1992.56-1996.56] 然後在那一個Carrier Inspection的部分的話
[1996.56-1998.56] 就是在做所謂一個
[1998.56-2005.56] 在做先入前的一個乾淨沒有瑕疵的一個檢查
[2005.56-2008.56] 那在Taino Grind的部分的話
[2008.56-2010.56] 那就是在做所謂一個檢查
[2010.56-2013.56] 然後這個整瓶
[2013.56-2017.56] 然後散熱以及購接點的一個部分
[2017.56-2021.56] 在應用在所謂一個Banout QOP的部分
[2021.56-2026.56] 那在我們對應的一個T-shirt的一個產品
[2026.56-2029.56] 我們已經在賽道上努力了
[2029.56-2032.56] 然後我們對應的OCE的一個產品的部分的話
[2032.56-2034.56] 他們的產品對應的都是
[2034.56-2036.56] 所謂一個國際型的IDM
[2036.56-2038.56] Design House的
[2038.56-2039.56] 像Bocom
[2039.56-2040.56] Bocom
[2040.56-2044.56] Google的一個消費性的一個電子產品
[2044.56-2045.56] 那另外
[2045.56-2047.56] 在所謂的由於
[2047.56-2049.56] 所謂一個關稅以及匯率的
[2049.56-2052.56] 匯率佔的一個因素
[2052.56-2055.56] 那危機化為契機的部分
[2055.56-2059.56] 就是我們也獲得了效益
[2064.56-2066.56] 接下來跟各位先進
[2066.56-2069.56] 說明的是我們的一個再生經驗的部分
[2069.56-2072.56] 那基督西聯盟就是
[2072.56-2075.56] 那個智盛及軍華是屬於公特業
[2075.56-2080.56] 這兩家是屬於我們基督西的第一支角
[2080.56-2083.56] 那在那個再生經驗呢
[2083.56-2085.56] 是屬於那一個半導體
[2085.56-2088.56] 綠色製成的一個體系的商機
[2088.56-2093.56] 是屬於那個report function的一個領域
[2093.56-2096.56] 然後軍航的定位是
[2096.56-2098.56] 就是要提供report function
[2098.56-2101.56] 材料端的設備的服務角色
[2101.56-2104.56] 然後如此可以擴大基督西
[2104.56-2108.56] 在半導體設備的銷售服務範圍
[2108.56-2113.56] 那這就是我們基督西要長出的第二支角
[2113.56-2119.56] 然後在那個半導體的一個產能擴大的部分
[2119.56-2123.56] 那就是說經驗代工
[2123.56-2126.56] 就是的先進智盛持續的一個擴產
[2126.56-2128.56] 那延遠的再生的一個領域
[2128.56-2131.56] 就是在一個再生經驗的一個新商機的部分
[2131.56-2135.56] 也就是說我們那一個生涯
[2135.56-2139.56] 受惠於所謂的再生經驗的過程
[2139.56-2143.56] 就是需求的一個強勤
[2143.56-2145.56] 表現相當的亮點
[2145.56-2148.56] 那在那一個T-SHIRT
[2148.56-2150.56] 在所謂的一個5月15號
[2150.56-2153.56] 技術論壇在N2製程的時候
[2153.56-2156.56] 有表示還是一一計畫
[2156.56-2158.56] 於2025年下半年
[2158.56-2160.56] 然後進入量產
[2160.56-2162.56] 那在生涯科的部分
[2162.56-2164.56] 再生經驗也已經準備好了
[2164.56-2168.56] 就是支援兩代女的一個節點
[2168.56-2169.56] 然後測試經驗呢
[2169.56-2173.56] 也逐步的一個放量
[2173.56-2177.56] 那陳董
[2177.56-2179.56] 就是軍豪的陳董
[2179.56-2182.56] 以及梁執行講過話
[2182.56-2186.56] 那個GDM聚焦再生經驗設備的轉型
[2186.56-2190.56] 以及我們要全力的一個配合生涯科
[2190.56-2195.56] 就是所需的設備需求做好全方位的服務
[2195.56-2198.56] 那所需的這個設備呢
[2198.56-2200.56] 像我們在看
[2200.56-2202.56] 有所謂的一個AOI的部分
[2202.56-2204.56] 還有PARCH
[2204.56-2206.56] 還有所謂的一個FIND的部分
[2206.56-2208.56] 像我們的AOI最主要是在做
[2208.56-2211.56] 所謂的一個瑕疵、凹洞、刮傷
[2211.56-2214.56] 以及有沒有殘留的一個檢查
[2214.56-2216.56] 那在所謂的一個PARCH部分的話就是
[2216.56-2218.56] 做所謂的一個硬力消除
[2218.56-2221.56] 以及所謂的一個表面粗糙度的一個控制等等
[2221.56-2226.56] 那我們軍豪跟生涯科呢
[2226.56-2228.56] 是策略合作夥伴
[2228.56-2230.56] 那彼此一切合作
[2230.56-2235.56] 達到所謂的一個雙贏的一個境界
[2235.56-2236.56] 在商務的部分
[2236.56-2239.56] 就是我們要共創商機
[2239.56-2241.56] 然後接下來
[2241.56-2244.56] 跟各位先進報告的是
[2244.56-2246.56] 我們毛利域的變動的部分
[2246.56-2249.56] 我們以2020年為基礎
[2249.56-2251.56] 看到2020 Q1
[2251.56-2254.56] 那趨勢很明顯的是向上的
[2254.56-2259.56] 那往上代表對的事情逐漸在發酵
[2259.56-2262.56] 那是什麼是對的事情
[2262.56-2264.56] 就是產業轉型
[2264.56-2267.56] 以及產品組合的改變的一個結果
[2267.56-2272.56] 接下來我們再看看
[2272.56-2275.56] 我們的一個營運成果的
[2275.56-2277.56] 那個成績單的部分
[2277.56-2279.56] 那在這邊的話
[2279.56-2281.56] 我們看到2025年的Q1
[2281.56-2284.56] 合併營收毛利域的部分
[2284.56-2285.56] 營業毛利域的部分
[2285.56-2288.56] 相較於那個2024年
[2288.56-2290.56] 有顯著的成長
[2290.56-2292.56] 然後主因是軍豪
[2292.56-2294.56] 陳董以及楊警長
[2294.56-2299.56] 清晰的半導體營運擴展銷售的策略
[2299.56-2301.56] 然後以及我們同仁們
[2301.56-2305.56] 也就是那個產銷人發財的共同組合
[2305.56-2308.56] 積極做到一個產業的一個轉型
[2308.56-2311.56] 從FPD轉到半導體的部分
[2311.56-2314.56] 以及產品組合的一個改變
[2314.56-2317.56] 減量國拋的一個結果
[2317.56-2319.56] 當然還有重要的夥伴
[2319.56-2324.56] 那個軍華所做的營收的一個貢獻
[2324.56-2329.56] 那我們也看得到我們的營業費用率上升
[2329.56-2331.56] 那最主要是要布局
[2331.56-2333.56] 所謂的一個未來成長的動能
[2333.56-2335.56] 所做的研發的動能
[2335.56-2337.56] 所投入的部分
[2337.56-2341.56] 再來看我們稅後淨率的部分
[2341.56-2343.56] 就是維持在10.7%
[2349.56-2353.56] 總結我們回歸到
[2353.56-2356.56] 我們的一個軍豪的產品
[2356.56-2359.56] 對標產品減量國拋的部分
[2359.56-2363.56] 在這邊產品對標都是國際的大廠
[2363.56-2365.56] 也是一個大廠
[2365.56-2367.56] 業界的一個標竿的部分
[2367.56-2369.56] 那這些標竿相對
[2369.56-2371.56] 規模相對的大
[2371.56-2375.56] 那我們需要團結聯盟的力量
[2375.56-2378.56] 努力 精進以及突破
[2378.56-2382.56] 也就是我們也擁有了在地化的優勢
[2382.56-2385.56] 以及一個良好的客戶關係
[2385.56-2389.56] 那我們要滿足客戶的需求
[2389.56-2392.56] 也要達到國際化的技術水平
[2392.56-2393.56] 我們要持續不斷的
[2393.56-2399.56] 精進我們減量國拋的一個產品以及技術
[2399.56-2402.56] 保持我們承勝樂觀
[2402.56-2404.56] 努力不懈的一個態度
[2404.56-2407.56] 來提供最好的產品跟服務
[2407.56-2410.56] 給我們的客戶以及我們未來的客戶
[2410.56-2413.56] 那以上謝謝各位好前進
[2413.56-2414.56] 謝謝
[2423.56-2437.56] 梁董 施董
[2437.56-2438.56] 各位媒體朋友
[2438.56-2439.56] 各位前進大家好
[2439.56-2443.56] 接下來軍華的第二季法術會有我
[2443.56-2445.56] 我是軍華林坤輝
[2445.56-2447.56] 來跟各位報告
[2451.56-2453.56] 那我想還是跟各位報告一下說
[2453.56-2456.56] 軍華的目前的狀況跟它的顏色
[2456.56-2459.56] 那剛剛我們蘇省它已經有報告說
[2459.56-2463.56] 我們公司是從軍豪或是冰凍出來的
[2463.56-2465.56] 在半導體事業部出冰凍是沒有出來的
[2465.56-2469.56] 那我們公司再加上本身在軍豪的半導體的
[2469.56-2472.56] 也就是已經超過47年了
[2472.56-2476.56] 那我會的可能也是從1997年就進入到這個集團
[2476.56-2477.56] 一直到現在
[2477.56-2480.56] 所以我們其實嚴格上來講
[2480.56-2483.56] 我們的半導體的經驗累積已經超過5年
[2483.56-2485.56] 超過47年以上
[2485.56-2488.56] 那從傳統封裝一直到現在
[2488.56-2489.56] 比較熱門的
[2489.56-2493.56] 軍華這個半導體團隊都一直在裡面
[2493.56-2499.56] 所以我們才在台灣這個半導體產業裡面
[2499.56-2503.56] 封裝的客戶基本上都知道我們公司
[2503.56-2507.56] 那我們公司的基礎基本上除了新北市
[2507.56-2511.56] 然後新竹 台中 澳雄 蘇州都有
[2511.56-2513.56] 那我們公司也是剛才
[2513.56-2516.56] 張書仁這邊也有報告過
[2516.56-2518.56] 我們在2018年已經有上來提供了
[2518.56-2519.56] 特別講
[2519.56-2523.56] 那這一張表格是跟各位先進報告一下
[2523.56-2527.56] 說我們在今年的Q1的相關的一些數字
[2527.56-2530.56] 合幣雲湊是在4.3億左右
[2530.56-2534.56] 那我們的毛利率還是維持一直向上提升狀況
[2534.56-2537.56] 跟去年比較起來
[2537.56-2541.56] 那這裡也是因為我們在先進工方值的不斷的擴張的情況下
[2541.56-2542.56] 那我們這個人是說
[2543.56-2546.56] 我們在前面的這個數字也不斷的在成長
[2546.56-2551.56] 那我們還可以維持我們一定的毛利跟一定的淨利
[2551.56-2554.56] 那所以這樣給各位參考一下
[2554.56-2558.56] 那我們毛利還是在近近40%
[2558.56-2561.56] 然後EPS大概1.6%在第一季的部分
[2561.56-2563.56] 那銷售產品的分析
[2563.56-2567.56] 在去年我們有跟各位也有跟各位先進報告過
[2567.56-2570.56] 我們針對Advanced Package的產品
[2570.56-2572.56] 我們會超過大概七成以上
[2572.56-2574.56] 現在其實已經去近到八成了
[2574.56-2579.56] 那我們在今年的Q1的相關的百分比
[2579.56-2581.56] 其實也是維持甚至更高
[2581.56-2583.56] 尤其是我們去年提到
[2583.56-2585.56] 我們在先進工方值層邦德類
[2585.56-2589.56] 今年會有很明顯的向上成長
[2589.56-2591.56] 那主要的產品脈絡
[2591.56-2593.56] 我們還是以收成跟邦德
[2593.56-2597.56] 先進工方值層來就不斷的加深我們的技術
[2597.56-2598.56] 跟提升
[2598.56-2600.56] 稍後我會報告一下說為什麼會這樣做
[2600.56-2602.56] 那最主要在
[2602.56-2603.56] 我們收成的佈局
[2603.56-2605.56] 我們一樣因為因應客戶的關係
[2605.56-2607.56] 現在客戶的產品變化越來越多
[2607.56-2608.56] 什麼種類都有
[2608.56-2610.56] 尤其是因為AI的需求
[2610.56-2613.56] AI的需求剛才我們的吳仙霖
[2613.56-2615.56] 資政吳仙霖有報告過說
[2615.56-2617.56] 我們在AI的階段會發展四個階段
[2617.56-2621.56] 從原本的感知型的AI到生成值的AI
[2621.56-2623.56] 一直到最後的實業AI
[2623.56-2627.56] 它每一次每一次要求的AI的技術跟內容都不太一樣
[2627.56-2632.56] 所以我們在收的方面會更加被先進工方值層的
[2632.56-2635.56] 廠商所需要的
[2635.56-2637.56] 而且依賴的越來越重
[2637.56-2639.56] 已經把原本是一個輔助型的設備
[2639.56-2642.56] 變成一個主要製程的設備
[2642.56-2647.56] 才能確保我們後續做的AI的模組
[2647.56-2651.56] 能夠應用在所要的實務上面
[2651.56-2654.56] 邦德的部分我們一直持續在發展
[2654.56-2657.56] 今年也有明顯的成績
[2657.56-2662.56] 而且我們也往更進一步的技術上做推程
[2662.56-2665.56] 下面有講到我們還有辦法發展
[2665.56-2668.56] 這頁是跟各位先進報告說
[2668.56-2672.56] 我們的AI跟我們的Sorter跟一般的Sorter又不太一樣
[2672.56-2676.56] 我們最主要是要做NOCODA一個產品
[2676.56-2680.56] 所謂NOCODA並不只單單我們只看產品的外觀
[2680.56-2683.56] 有沒有破裂有沒有Pavico等等
[2683.56-2687.56] 會影響到產品本身的特性
[2687.56-2690.56] 它整個是晶片的特性
[2690.56-2692.56] 我們也要去聊
[2692.56-2694.56] 我們要了解到說
[2694.56-2698.56] 這顆產品它的相關的電信需求會應用在哪裡
[2698.56-2700.56] 什麼是相關的電信需求
[2700.56-2702.56] 剛有提到說AI發展的階段
[2702.56-2705.56] 從原本的感知式的AI一直到實體的AI
[2705.56-2706.56] 感知的AI很簡單
[2706.56-2710.56] 就等於你現在微品上傳一個報導到雲端去
[2710.56-2713.56] 它會幫你形成一些你所要的報道
[2713.56-2717.56] 想要的一些論文也好或是一些圖片也好
[2717.56-2720.56] 像前陣子大家比較風氣獨立的這種圖片
[2720.56-2722.56] 它幫你生成這些東西出來
[2722.56-2725.56] 它未來如果說有走到機器人那一塊
[2725.56-2728.56] 它必須要理解你給它的資歷
[2728.56-2731.56] 比如說你去幫我先把衣服燙一燙
[2731.56-2733.56] 再把我的飯煮一煮之類的
[2733.56-2735.56] 它有理解你要是什麼差
[2735.56-2736.56] 它就要去不斷地
[2736.56-2739.56] 機器人就要不斷地去運算你給它的資歷
[2739.56-2741.56] 所以它需要的這種HTC
[2741.56-2744.56] 一些暈亂晶片就越來越多
[2744.56-2746.56] 這是比較未來的部分
[2746.56-2749.56] 我們大概可以看到左邊這個圖像
[2749.56-2750.56] 現在再
[2750.56-2753.56] 如果再回過到
[2753.56-2758.56] 在晶圓廠比較剛開始在做Events Package的時候
[2758.56-2760.56] 它從Covas S開始
[2760.56-2762.56] 一直到現在正在進行
[2762.56-2767.56] 它大概成長了至少三倍以上的速度跟容量
[2767.56-2769.56] 我們現在也看到了
[2769.56-2771.56] 左上角的左邊跟右邊這邊
[2771.56-2772.56] 都是正在進行
[2772.56-2777.56] 它已經成長了三倍到七倍左右的容量跟速度
[2777.56-2779.56] 下面這張比較大張
[2779.56-2781.56] 是未來他們認為說
[2781.56-2783.56] 在27年還是28年
[2783.56-2786.56] 它一片12吋的晶片裡面要有
[2786.56-2787.56] 裡面要有那麼多帶
[2787.56-2791.56] 才能符合它的高效的運算的需求
[2791.56-2794.56] 為什麼會放這個圖片呢
[2794.56-2796.56] 這個圖片是告訴我們說
[2796.56-2798.56] 這一個DiMaggio它每一顆帶
[2798.56-2800.56] 因為它必須要有高效的運算
[2800.56-2806.56] 它每一個帶的量率有多到百分之百
[2806.56-2807.56] 是好大
[2807.56-2809.56] 而且是它要的那個東西
[2809.56-2810.56] 你想想看
[2810.56-2812.56] 譬如說我們最下面這一張
[2812.56-2817.56] 它成長40倍以上運算速度跟電信來講的話
[2817.56-2821.56] 它只要裡面有一顆chip它是壞掉的
[2821.56-2823.56] 這一顆就要丟掉
[2823.56-2825.56] 就完全不能用
[2825.56-2827.56] 這是不容許發生的
[2827.56-2829.56] 所以說它必須要怎麼樣確保
[2829.56-2833.56] 就要透過我們的AISO的保濕膠帶設備
[2833.56-2837.56] 來去做這樣的調整跟區別
[2837.56-2839.56] 然後之後下一站就要做
[2839.56-2841.56] 我們現在正在cooking
[2841.56-2845.56] 而且正在我們的客戶端生產的DiMaggio的集團
[2845.56-2847.56] 這都是相輔相成的
[2847.56-2850.56] 因為你要知道說
[2850.56-2852.56] 我每一顆的產品的來料是什麼
[2852.56-2853.56] 我出到哪裡去
[2853.56-2855.56] 去應用到你現在是做機器人
[2855.56-2857.56] 還是做自駕的車子的運用
[2857.56-2859.56] 還是做HPC的運用
[2859.56-2860.56] 還是做小孩子玩具在運用
[2860.56-2861.56] 都不一樣
[2861.56-2864.56] 每一個需求都會跟隨著
[2864.56-2867.56] 我們客戶端的運用去做改變
[2867.56-2870.56] 所以你的帶種的數量越短
[2870.56-2872.56] 就是chip的數量越多的話
[2872.56-2877.56] 它的收集的需求就會成倍數的成長
[2877.56-2880.56] 才能應應到我們終端客戶的需求
[2880.56-2882.56] 所以說在這個圖像來
[2882.56-2883.56] 左邊這個圖像來講
[2883.56-2885.56] 最主要是這樣的運用
[2885.56-2888.56] 當然我們在軍華的主要的技術成分
[2888.56-2890.56] 是從我們的高精密取放的技術
[2890.56-2892.56] 還有AOI還有精密加工
[2892.56-2896.56] 還有自動化控制的底面
[2896.56-2899.56] 來去達到我們現在所謂的AOI
[2899.56-2900.56] 都不帶的設備
[2900.56-2902.56] 跟帶來的設備需求
[2902.56-2904.56] 那這個
[2904.56-2906.56] 我把這個頭移一點給大家看
[2906.56-2908.56] 這個左邊這張圖
[2908.56-2909.56] 紅色的部分就代表我們
[2909.56-2912.56] 目前正在進行中的一個趨勢
[2912.56-2914.56] 我們從我們原本Pick'em Place的
[2914.56-2916.56] 最早期的50M的精度
[2916.56-2921.56] 現在已經很成熟在客戶端生產到25M的精度
[2921.56-2922.56] 一直到我們未來
[2922.56-2925.56] 現在也在Cooking當中的1M
[2925.56-2926.56] 到0.5M
[2926.56-2929.56] 0.5M就是所謂的High Rebound的部分
[2929.56-2934.56] 那我想今天主要另外的重點就是
[2934.56-2936.56] 要跟各位先進報告一下說
[2936.56-2938.56] 目前我們軍華看待
[2938.56-2942.56] 第二季是那種今年的下半年到明年的狀況
[2942.56-2943.56] 那上面有寫
[2943.56-2945.56] 居於我們現在所得到的
[2945.56-2949.56] 我們客戶端給我們的資訊來評估
[2949.56-2951.56] 那我們預期
[2951.56-2955.56] 先進工廠製程設備它會不斷不斷的成長
[2955.56-2958.56] 我們現在比較能夠確認的是
[2958.56-2960.56] 第二季的營收產的話
[2960.56-2963.56] 一定會比第一季還有明顯的成長
[2963.56-2966.56] 那到目前為止我們還沒有收到我們的客戶
[2966.56-2968.56] 主要的客戶還是告訴我們說
[2968.56-2970.56] 他們在策略上有什麼調整
[2970.56-2973.56] 也不會因為匯率的變動或是關稅的政策
[2973.56-2979.56] 等等等等的一些被主要的產品技術的因素
[2979.56-2980.56] 來去做一些變化
[2980.56-2983.56] 當然後續的市場上當然還是會有很多
[2983.56-2984.56] 需要克服的地方跟一級成長的部分
[2985.56-2988.56] 那我們工軍華工室也會密切的
[2988.56-2991.56] 來去跟各位報告
[2991.56-2996.56] 來一起跟臺灣的主要的晶圓廠跟工廠廠
[2996.56-2997.56] 一起合作
[2997.56-2999.56] 來去讓我們臺灣的半導體廠
[2999.56-3002.56] 半導體產業能夠持續的成長
[3002.56-3007.56] 那這一頁是跟各位先進媒體朋友報告一下
[3007.56-3010.56] 基督西在2025年的
[3010.56-3013.56] 目前比較主要的一些展覽的資訊
[3013.56-3015.56] 從明天開始開始
[3015.56-3017.56] 明天剛好在東南亞
[3017.56-3020.56] 我們在新加坡參來一個CBC的展覽
[3020.56-3022.56] 這是我們臺灣的名稱
[3022.56-3025.56] 我們在5月27號在德州
[3025.56-3027.56] 至聖南邊也有一個展覽
[3027.56-3029.56] 如果各位先進入過去的話
[3029.56-3031.56] 可以去參觀一下
[3031.56-3034.56] 另外一個就是臺灣的CBC的重點系
[3034.56-3036.56] 9月12到12號
[3036.56-3038.56] 我們的布施是在中央座的旁邊
[3038.56-3041.56] 歡迎各位跟你們來這邊參觀
[3041.56-3043.56] 一直到10月份
[3043.56-3045.56] 12月份年底的CBC Japan
[3045.56-3048.56] 基督西也都有參展
[3048.56-3051.56] 以上是我軍華這邊的報告
[3051.56-3052.56] 謝謝各位
[3052.56-3053.56] 明天謝謝
[3057.56-3061.56] 感謝G2C精彩的簡報
[3061.56-3063.56] 那接下來進入Q&A
[3064.56-3066.56] 歡迎各位投資先進
[3066.56-3067.56] 舉手發問
[3067.56-3069.56] 我們將協助第一麥克風
[3069.56-3070.56] 謝謝
[3075.56-3084.56] 管理層好
[3084.56-3087.56] 我這邊想針對最一開始有提到
[3087.56-3090.56] 那個真空壓力烤箱
