[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 订阅 转发 打赏支持明镜与点点栏目
[60.00-89.98] 订阅 转发 打赏支持明镜与点点栏目
[90.00-119.98] 订阅 转发 打赏支持明镜与点点栏目
[120.00-149.98] 订阅 转发 打赏支持明镜与点点栏目
[150.00-179.98] 订阅 转发 打赏支持明镜与点点栏目
[180.00-209.98] 订阅 转发 打赏支持明镜与点点栏目
[210.00-239.98] 订阅 转发 打赏支持明镜与点点栏目
[240.00-269.98] 订阅 转发 打赏支持明镜与点点栏目
[270.00-271.74] 增加的一個營收增加
[1773.94-1776.50] 然后拿一个配方表现
[1776.50-1778.62] 然后我们用我们长期的材料
[1778.62-1780.46] 帮他做到
[1780.46-1783.30] 那比如说光影发机跟添加机
[1783.30-1785.94] 我们会帮他指导这样的事情
[1785.94-1787.78] 大部分还是我们长期的品牌
[1787.78-1788.98] 没有不太有外货的
[1788.98-1790.22] 我们至少要这样管一半时间
[1790.38-1797.54] 可能会帮到很多人
[1797.54-1800.18] 那么出直接往哪里呢
[1800.18-1801.98] 当然实际上就是
[1801.98-1802.98] 就是我们整框房屋
[1802.98-1803.46] 或者设计
[1803.46-1804.78] 可能搜索一 лож
[1804.78-1805.56] 画出来的
[1805.56-1807.18] 然后 fue, 的影响
[1807.18-1809.38] 我们会重新带入
[1809.38-1810.52] 然后我们死俗地
[1810.52-1812.10] 在他收获的过去
[1812.10-1812.86] 有水减的话
[1812.86-1814.06] 找到速度
[1814.06-1815.22] 然后将自己的开 improv
[1815.22-1816.50] 再拉進去
[1816.50-1817.82] 这就是我们这边要做的
[1817.82-1818.38] 这个科技方面的
[1818.38-1819.12] 吉 cling 交易做法
[1819.12-1819.38] 你 resulting将 wipe
[1819.38-1820.38] 的一个这一段
[1820.38-1824.58] 特用材料的部分有出入像migra LED
[1824.58-1826.18] 那以现在的情况
[1826.18-1828.38] 因为原先我们在通信年前说
[1828.38-1831.78] 好像认为这些VPN比较过度性的产品
[1831.78-1835.78] 那现在因为好像migra LED的这个发展精神
[1835.78-1837.18] 好像又有一点点障碍
[1837.18-1840.78] 不知道我们这方面就是对你这一块产品
[1840.78-1843.18] 这样之后的看法会选择
[1844.38-1847.98] 应该说当时我们觉得migra LED
[1847.98-1850.98] migra我觉得没那么快
[1850.98-1852.58] 因为它是自发光
[1852.58-1853.78] 它还有很多问题
[1853.78-1858.78] 我们当然也有对接到一些这个产业的一些一个parts
[1858.78-1861.98] 但是我觉得migra没那么快
[1861.98-1863.98] mini应该是要问mini吧
[1863.98-1866.38] mini我们觉得说它
[1866.38-1869.78] 我们几年前的mini拉了一波之后
[1869.78-1874.78] 但是我觉得它会变成整个供应链上的一个东西
[1874.78-1876.38] 就是说它不会消沉
[1876.38-1877.94] 然后我们也转向车
[1877.94-1880.54] 然后我们就要跟新的这种在走转
[1880.54-1883.54] 所以不仅是配的跟这种电脑
[1883.54-1885.54] 这一块还会继续在走
[1885.54-1887.54] 这是属于我规划选择的部分
[1890.54-1892.14] 那另外方便请教一下
[1892.14-1894.74] 因为我们刚好看到整个有新的产品
[1894.74-1897.94] 就是晶圆封中材料
[1897.94-1899.74] 能不能大致上了解一下
[1899.74-1904.34] 就是说这个可能有什么样子的认证及进度也好
[1904.34-1907.54] 或者说这个产品大概会用在
[1907.54-1912.14] 有看到有一个有些你们或是什么其他的
[1912.14-1914.54] 不知道我们产品有没有一个针对的
[1914.54-1919.94] 就说看看可能会是在什么样子的制程下
[1919.94-1924.74] 这个是比较属于公司等级的一个研发的一个strategy
[1924.74-1929.74] 所以我这个就比较不方便代表公司去回答
[1929.74-1932.14] 那我问成熟一点的产品
[1932.14-1934.14] 合成数字就不太好
[1934.14-1935.54] 这不够好不容易
[1935.54-1936.54] 太凉了
[1937.54-1941.54] 我还是问看看
[1941.54-1943.54] 我还是只是问
[1943.54-1947.54] 就是我观察了一下的合成数字的部分
[1947.54-1949.54] 在Hopeware的部分
[1949.54-1952.54] 看起来还有五年的在成长
[1952.54-1955.54] 这一块的原因也想要讲一下
[1955.54-1957.54] 因为过去的虽然是比较稳定
[1957.54-1959.54] 但是它也占比较大
[1959.54-1961.54] 所以Hopemart有比较好的一个情况
[1961.54-1964.54] 这样子对我们公司的整体也算是蛮穩的
[1964.54-1965.54] 所以想要点一下
[1965.54-1967.54] 我们今年大概怎么看
[1967.54-1968.54] 能出数字这一块
[1968.54-1971.54] 那还有过往都会问的
[1971.54-1974.54] 台下的一个进度的状况是怎么样
[1974.54-1977.54] 其实去年大概应该是说
[1977.54-1979.54] 我们如果单看去年一整年
[1979.54-1981.54] 或者甚至下半年来讲的话
[1981.54-1984.54] 其实在合成数字这边的margin
[1984.54-1985.54] 其实相对来讲
[1985.54-1989.54] 其实它表现应该算是还不错
[1989.54-1991.54] 主要大概几个原因
[1991.54-1995.54] 第一个部分的话就是说在它面临的一个原物料的部分
[1995.54-1999.54] 它持续在成本的这部分持续有一些优势
[1999.54-2002.54] 因为包含就是都在整个上游原料
[2002.54-2005.54] 大概持续比较属于一个地档的一个位置
[2005.54-2008.54] 那第二个部分的话是在它的product portfolio
[2008.54-2013.54] 其实大概也持续在包含在中国或者是在其他地区
[2013.54-2017.54] 大概都有一些都有一些实际上会有一些成长
[2017.54-2019.54] 那包含有一些新产品
[2019.54-2021.54] 有一些包含
[2021.54-2024.54] 这里就是访探
[2024.54-2027.54] 对就是high value的这个部分的话
[2027.54-2030.54] 其实它在量的部分有一些增长
[2030.54-2032.54] 那另外在地区别的这个部分
[2032.54-2034.54] 除了中国大陆以外
[2034.54-2037.54] 那包含就是大陆以外的这个地区
[2037.54-2040.54] 那它也有一些有一点有一些斩获
[2040.54-2042.54] 那因为这些地区的话
[2042.54-2043.54] 其实相对来讲
[2043.54-2045.54] 大概就是卖到比较远的地方
[2045.54-2046.54] 其实你按margin
[2046.54-2048.54] 通常大概都是比较好
[2048.54-2050.54] 有竞争力有竞争力的一个产品
[2050.54-2054.54] 那另外刚接着就是罗文马来西亚的这个
[2054.54-2055.54] 这个部分
[2055.54-2058.54] 今年马来西亚其实我们应该是
[2058.54-2062.54] 蛮看重就是东南亚的成长的一个一年
[2062.54-2066.54] 那公司这边也持续包含就是罗在
[2066.54-2069.54] 在这一个就是在这个就是
[2069.54-2072.54] 在管理面或者是在产品
[2072.54-2074.54] 在各个各个层面上面
[2074.54-2078.54] 其实给马来西亚要持续有一些额外的一些资源
[2078.54-2081.54] 那另外的话就是罗去年我们也公告
[2081.54-2084.54] 在马来厂除了原本的合成数值以外
[2084.54-2087.54] 那今年度我们开始在这个就是电子材料
[2087.54-2088.54] 这个部分
[2088.54-2092.54] 马来西亚也相对的会有一些投资
[2092.54-2093.54] 那这个部分的话
[2093.54-2096.54] 其实还是着眼于就是罗在集团
[2096.54-2097.54] 在电子材料
[2097.54-2099.54] 其实他的上游一部分的原料
[2099.54-2102.54] 其实是在合成数值这边生产
[2102.54-2105.54] 那现在他有一个实际上在产业上面
[2105.54-2108.54] 他有一个群聚上面的一些优势
[2108.54-2112.54] 那所以我们中长期我们认为就是以今年度的话
[2112.54-2114.54] 马来西亚这边应该还是
[2114.54-2116.54] 一个量还都会持续增加
[2116.54-2120.54] 那今年度我们功能是希望
[2120.54-2124.54] 大概就是罗在马来厂这边能够做到损益量品
[2124.54-2126.54] 那后续的话就是投资
[2126.54-2127.54] 投资的这个部分的话
[2127.54-2129.54] 其实我们还都会持续会有一些
[2129.54-2132.54] 还都会有一些还都会有一些资源
[2132.54-2135.54] 跟投资这边相关的一些挹注进去
[2135.54-2139.54] 我也有看到那个其他地区的收成了
[2139.54-2143.54] 其实就是整基本上就是整个收的这个差不多了
[2143.54-2146.54] 可以再多了解一下这个其他地区
[2146.54-2151.54] 我们有拓展了什么其他的哪一个国家的市场吗
[2151.54-2154.54] 还是说这一块是什么未来的一个增长
[2154.54-2156.54] 可以召集一下
[2156.54-2159.54] 这个去以去年来讲的话
[2159.54-2161.54] 应该是在北美市场这边
[2161.54-2165.54] 其实应该是量应该都有明显的一些增长
[2165.54-2172.54] 那再追问一下那个马来西亚现在的一个架动在什么样
[2173.54-2202.30] 复苏
[2203.54-2226.88] 馬來廠這邊的話
[2226.88-2230.96] 大概加工率以今年大概1、2月份來看的話
[2230.96-2235.46] 大概是在69%接近70%
[2235.46-2238.12] 大概我覺得大概抓7成吧
[2238.12-2242.30] 那如果以整體的合成數值的話
[2242.30-2245.88] 大概應該是在7成6左右
[2245.88-2248.72] 大概是略低於平均
[2260.96-2265.06] 可以分享一下我們三大事業經驗
[2265.06-2268.06] 幫大家各自為主長講話
[2268.06-2269.06] 謝謝
[2269.06-2271.96] 以今年度來看的話
[2271.96-2276.16] 如果以公司整體來看的話
[2276.16-2279.16] 因為一般我們大概就是工日的target
[2279.16-2282.46] 大概就是每年大概就是10%左右的成長
[2282.46-2285.66] 但是實際上內部就是在定計劃的話
[2285.66-2289.06] 大概就是可能在應該整體的話
[2289.06-2290.96] 大概加5到6個成長
[2290.96-2295.96] 大概就是大概就是這樣子的一個
[2295.96-2298.96] 大概就是中長期的成長率大概是這樣
[2298.96-2303.46] 今年度如果看各個事業單位來看的話
[2303.46-2306.76] 因為去年度來講的話
[2306.76-2311.96] 其實就是電子材料這邊積極應該相對比較低一些
[2311.96-2314.46] 所以我們應該今年度整體的話
[2314.46-2319.96] 大概會預期電材成長率大概會以三個事業部門來看的話
[2319.96-2320.96] 大概成長率大概會大概是這個程度
[2320.96-2325.96] 所以我們本身就會預期電子材料成長率應該都會相對來講會比較好的
[2325.96-2328.46] 主要它有兩個部分的組成
[2328.46-2333.96] 第一個部分是我們有一個精密設備的子公司
[2333.96-2334.96] 因為雖然它要掛牌了
[2334.96-2338.96] 但是它還是在我合併報表裡面
[2338.96-2341.96] 所以它這個部分會有在電材
[2341.96-2343.96] 它是歸屬於在電材裡面
[2343.96-2349.96] 因為今年度看起來預期就是今年度大概年中或者是下半年
[2349.96-2351.88] 載板這邊的設備應該會
[2351.88-2355.08] 我們認為應該都會有一個比較顯著的一些復甦
[2355.08-2358.50] 所以說他大概也是低迷了一兩年
[2358.50-2360.70] 大概一兩年就是疫情後
[2360.70-2364.96] 就是overbooking的一個狀況就是慢慢消化
[2364.96-2369.28] 那差不多應該有機會在今年度大概翻上來
[2369.28-2370.00] 那另外的話
[2370.00-2372.64] 在電材的乾墨的這個部分也是
[2372.64-2376.90] 那整體的一個PCB產業應該在今年度
[2376.90-2381.56] 我們還是有一個就是整體產業有一個樂觀成長的一個預期
[2381.56-2383.44] 所以以去年度的話
[2383.44-2386.86] 這兩塊基期相對都比較低的這個部分
[2386.86-2388.64] 我們大概認為這個部分的話
[2388.64-2392.24] 那可能會有接近大概個位數接近一個位數
[2392.24-2394.96] 接近十位數的一個成長率
[2394.96-2395.80] 那另外的話
[2395.80-2399.04] 在特用的這個部分的話
[2399.04-2400.34] 特用的這個部分的話
[2400.34-2404.96] 我想就是我們還剛剛那個王部長這邊還是有提到
[2404.96-2406.84] 就是說我們在陸族跟
[2406.90-2411.06] 陸族跟那個那個長屬吧
[2411.06-2413.50] 在蘇州蘇州都有
[2413.50-2418.16] 都有額外新增的一個產能的產能的一個挹注
[2418.16-2419.46] 那等於說這邊的話
[2419.46-2422.66] 我們大概也預期在特化這邊
[2422.66-2428.06] 今年還是會維持一個相對來講就是高於平均的一個成長率
[2428.06-2429.80] 那去年度的話
[2429.80-2433.36] 我講大概就是如果是低於平均的這個部分的話
[2433.36-2436.04] 主要應該就是合成數字
[2436.04-2436.54] 那
[2436.90-2439.90] 主要大概是去年還下半年其實表現的還不錯
[2439.90-2442.70] 所以基期應該也是高一點
[2442.70-2446.50] 那第二個部分的話是面臨大陸地區的一個
[2446.50-2449.96] 我講大陸地區還是相對來講是比較競爭的
[2449.96-2454.20] 所以說這邊的一個目前它對於成長率的預期
[2454.20-2455.70] 其實相對來講
[2455.70-2457.40] 它沒有抓得太高
[2457.40-2463.86] 那主要的話在大陸的強化應該還是就是第一個是維持一定的一個銷售量
[2463.86-2466.86] 那強持續強化它的一個產品點
[2466.90-2467.90] 那主要的話在大陸的強化應該還是一個銷售量
[2467.90-2471.90] 那把這個獲利的這個部分的表現做好
[2471.90-2477.90] 那我想請教一下開工業的部分
[2477.90-2482.40] 去年下禮拜三的事業的開工業
[2482.40-2483.90] 他還是提交
[2483.90-2491.90] 等一下喔
[2491.90-2492.90] 等一下喔
[2492.90-2493.90] 等一下喔
[2493.90-2494.90] 等一下喔
[2494.90-2495.90] 等一下喔
[2495.90-2496.90] 等一下喔
[2496.90-2498.90] 聽聽
[2498.90-2500.30] 你
[2500.30-2503.94] 如果去年度的話再
[2503.94-2505.06] 那個
[2505.06-2507.24] 待 cries on 樹茄這個部分的話
[2507.24-2509.96] 大概應該差不多利用率差不多是在
[2509.96-2513.36] 大概illon 圧 från 75 界  đã 2  Women
[2513.36-2514.70] 在75 75左右
[2514.70-2517.10] ne Pamela
[2517.10-2519.94] 那課的花的部分
[2519.94-2523.86] 大概接近90
[2523.86-2523.90] 電子材的部分的話
[2523.90-2524.70] 쵱
[2526.90-2533.06] 再最後一個部分是有關於我們資本資本計劃
[2533.06-2539.06] 今年度的話我們重大的資本支出
[2539.06-2542.82] 應該如果有公司這邊形成決議的話
[2542.82-2545.14] 其實大概都有對外公告
[2545.14-2550.58] 但是近期我大概還要 summarize 一下
[2550.58-2554.18] 近期公司這邊比較重大的資本支出
[2554.18-2558.66] 應該還是我們安徽有一個合成數值的新廠
[2558.66-2566.98] 資本支出的話大概到今年度應該都會有一個算是告一個段落
[2566.98-2574.10] 這個部分的話整個整體差不多抓台幣應該差不多抓30億左右
[2574.10-2579.46] 這個其實詳細數字大概都可以去回去查一下重大訊息公告
[2579.46-2584.10] 預計的話今年6月左右大概會開始加低
[2584.10-2584.18] 會開始加低
[2584.18-2585.46] 因為我們現在是在重運轉
[2585.46-2589.46] 另外的話還有一個比較大型的一個支出
[2589.46-2592.82] 應該是在馬來廠的部分
[2592.82-2595.78] 電子材料的那個突破線
[2595.78-2599.22] 目前的話在進度的這個部分的話
[2599.22-2602.74] 他應該是在這一兩個月應該是剛過環評
[2602.74-2605.62] 所以說今年度應該會開始動
[2605.62-2611.46] 預期的話架動的時間目前可能比較難講
[2611.46-2613.46] 大概可能應該要抓
[2613.46-2614.10] 今年開始動
[2614.10-2617.70] 的話可能大概是明年明年下半年
[2617.70-2621.14] 他有機會開始有機會開始加動
[2621.14-2636.34] 另外的話就是剛剛那個那個特殊材料事業單位那個王部長這邊有在談就是我們之前在更早之前的那個入主場的這個部入主的那個關鍵化的材料的這個新廠
[2636.34-2640.66] 那去年其實已經開始開始有產能的一個挹注
[2640.66-2643.94] 那另外在蘇州這邊的那個
[2643.94-2645.86] 蘇州這邊的話
[2645.86-2648.10] 他的那個就是產能的增加
[2648.10-2653.22] 其實他那個二期應該是今年去
[2653.22-2654.82] 千年開始投資
[2654.82-2658.58] 今年應該今年應該要今年結束
[2658.58-2664.82] 今年應該就是這個這個是差不多整個計劃應該不超過今年結束
[2664.82-2669.22] 不過這個這件應該過去應該都有都有對外去做一個訊息卡
[2673.94-2677.70] 所以現在已經もう Все
[2677.70-2681.60] 全壹廣對
[2681.60-2689.04] 而且數意的
[2689.04-2694.58] على
[2694.58-2699.00] 可以或 frenzy
[2699.00-2701.82] 對
[2701.82-2702.94] 謝謝
[2702.94-2703.82] 謝謝
[2703.82-2705.82] 可以進行訪問
[2705.82-2708.32] 我們也會在會場交錯停留
[2708.32-2710.32] 如果有需要再跟我們交流的話
[2710.32-2712.32] 歡迎在訪問中
[2712.32-2713.32] 我們就這樣了
[2713.32-2715.32] 謝謝大家 謝謝
