[0.00-14.00] 向午好,各位投資先進,接下來介紹誠信實業股份有限公司的發展展望,請下一頁。
[1814.20-1817.20] 可以經過這樣大量的循環
[1817.20-1820.20] 重新回到封裝減少焚化
[1820.20-1824.20] 讓我們的環境更永續更環保
[1824.20-1825.20] 再一頁
[1826.20-1829.20] 在環保認證方面
[1829.20-1833.20] 再生球型二氧化矽的碳足跡的認證
[1833.20-1837.20] 再生料UL2809的百分之百含量的認證
[1837.20-1841.20] 以及第二類環保標章的認證都已經完備
[1841.20-1847.20] 可以讓球型二氧化矽銜接到電子級材料的門檻
[1847.20-1852.20] 已經具備了所有的認證條件跟建造成熟度
[1852.20-1853.20] 下一頁
[1856.20-1863.20] 這是誠信在業界有很多獲獎的時機
[1863.20-1864.20] 下一頁
[1867.20-1872.20] 這個是中金院典範企業獎跟檢出企業獎
[1872.20-1874.20] 以及跨界領域獎
[1874.20-1875.20] 下一頁
[1878.20-1879.20] 財務資訊
[1879.20-1880.20] 下一頁
[1883.20-1884.20] 2021年
[1886.20-1889.20] 誠信發展到2024年
[1889.20-1896.20] 我們的合併營收從2021年的9900多萬到2024年的2億
[1896.20-1901.20] 2025年的Q1隨著中科的收入增加進來
[1901.20-1906.20] 2025年的Q1大概在7500萬左右
[1906.20-1907.20] 下一頁
[1907.20-1915.20] 負債佔資產比例方面
[1915.20-1918.20] 從2021年到2024年
[1918.20-1922.20] 我們的負債比例一直提高
[1922.20-1925.20] 主要是在2022年2023年
[1925.20-1927.20] 我們投資建設中科廠
[1927.20-1931.20] 在2024年我們的負債率
[1931.20-1935.20] 佔資產大概是在72.05%左右
[1935.20-1940.20] 以下的財務數字供企業先進去閱讀參考
[1940.20-1944.20] 下一頁
[1945.20-1948.20] 在研發能量以及未來發展計畫方面
[1948.20-1951.20] 下一頁
[1951.20-1953.20] 研發能量方面
[1953.20-1959.20] 誠信實業在廢棄物循環的領域做了很多的創新開發
[1959.20-1962.20] 導入到生產實務
[1962.20-1967.20] 我們在整個開發的過程也跟政府申請補助案
[1967.20-1970.20] 因為案子的本身具有價值
[1970.20-1974.20] 我們陸續獲得了參與市政府的SBIR
[1974.20-1977.20] 經濟部工業局的AI陸地計畫
[1977.20-1982.20] 以及比較大型的產創平台計畫有兩個
[1982.20-1990.20] 分別已經獲准也執行完畢的計畫金額達7719萬
[1990.20-1994.20] 目前我們跟經濟部產業創新平台計畫
[1994.20-1997.20] 還在申請2500萬的研發計畫
[1997.20-2000.20] 我們相關的計畫能夠申請獲准
[2000.20-2004.20] 表示我們的研發能量經過委員的審核
[2004.20-2011.20] 是具有資格而且具有潛力能夠發展成實際的產業鏈
[2011.20-2014.20] 在專利數量方面
[2014.20-2022.20] 我們專利隨著研發陸續的轉成專利的數量
[2022.20-2026.20] 在2023年2024年這兩年
[2026.20-2029.20] 專利數有22項跟19項
[2029.20-2034.20] 整個獲准與申請中的專利在列表裡面大概接近了60件
[2034.20-2036.20] 下一頁
[2036.20-2041.20] 在未來發展計畫主要有ABC三項
[2041.20-2047.20] A項是CMP-Uni回收技術申請複製計畫
[2047.20-2052.20] CMP-Uni是晶圓代工廠的研模擬
[2052.20-2059.20] 晶圓代工廠我們在中科廠做CMP-Uni的資源化回收之後
[2059.20-2064.20] 已經是創造了一個全球第一座CMP-Uni的回收工程
[2064.20-2070.20] 接下來隨著晶圓代工廠也就是廢棄物的產源
[2070.20-2074.20] 到國外去設置不同的布點
[2074.20-2080.20] 我們的CMP-Uni回收也會跟隨到它建設的產業聚落
[2080.20-2084.20] 去提供Uni回收的工廠基地落地
[2084.20-2086.20] 然後把Uni域回收
[2086.20-2091.20] 這個部分會看跟著晶圓代工廠的發展佈局
[2091.20-2094.20] 我們跟隨著複製跟佈局到海外去
[2094.20-2100.20] 然後B項是球型二氧化氣產品的價值應用開發計畫
[2100.20-2106.20] 這個計畫目前我們在申請產業創新平台計畫
[2106.20-2111.20] 這個就是從封裝礁回到封裝礁
[2111.20-2114.20] 從搖籃到搖籃的創新開發價值計畫
[2114.20-2120.20] 這個計畫因為跟封裝廠以及膠餅材料工廠去做合作
[2120.20-2124.20] 這也是我們希望在2027年
[2124.20-2129.20] 能夠導入回到封裝材料等級的電子級材料規格的
[2129.20-2132.20] 這樣的創新頭目研發
[2132.20-2136.20] 這對我們未來發展的價值化非常重要
[2136.20-2141.20] 然後C項是備太陽能板回收技術開發計畫
[2141.20-2143.20] 以下加以介紹
[2143.20-2145.20] 下一頁
[2145.20-2150.20] 備太陽能板是全世界共同面對的
[2150.20-2153.20] 綠電之後的最後一里路的問題
[2154.20-2160.20] 我們公司對於這樣的回收處理技術
[2160.20-2163.20] 我們跟日本合作設備
[2163.20-2168.20] 藉由導入日本已經相對成熟完成版的設備
[2168.20-2175.20] 可以將備太陽能板理想的回收以下這五項產品
[2175.20-2177.20] 跟以下固態燃料
[2177.20-2179.20] 比如礦座金屬鋁
[2179.20-2182.20] 接線和回收銅金屬
[2182.20-2184.20] 裡面的導線
[2184.20-2186.20] 有較金屬的回收
[2186.20-2190.20] 完整玻璃回收變成新的建材玻璃
[2190.20-2194.20] 塑膠背板的部分做去化
[2194.20-2196.20] 變成輔助燃料
[2196.20-2198.20] 或者是去粉化爐處置
[2198.20-2201.20] 電磁片的部分就是矽晶
[2201.20-2205.20] 做煉鋼的細片輔助材料
[2205.20-2211.20] 最創新之處就是在整個
[2211.20-2212.20] 備太陽能板佔領百分之七十萬元的錢
[2212.20-2215.20] 這就是太陽能板佔領百分之七十的物質
[2215.20-2216.20] 玻璃的量
[2216.20-2220.20] 接下來我們介紹一下
[2220.20-2223.20] 玻璃出來的完整性
[2223.20-2224.20] 下一頁
[2224.20-2239.20] 這是我們跟日本設備合作
[2239.20-2240.20] 導入到回收玻璃的這個項目
[2240.20-2242.20] 可以看到玻璃非常的透明
[2242.20-2243.20] 跟強度都可以完整
[2243.20-2244.20] 我們把這個設備導入之後
[2244.20-2245.20] 再跟本公司的
[2245.20-2246.20] 二玻璃的複合專利去做整合
[2246.20-2247.20] 可以將大量的背板
[2247.20-2248.20] 裡面的玻璃板
[2248.20-2249.20] 保留的玻璃板材的強度
[2249.20-2250.20] 跟它的透度
[2250.20-2251.20] 再複合成玻璃複合產品
[2251.20-2252.20] 那也是類似維木的
[2252.20-2253.20] 玻璃的複合產品
[2253.20-2254.20] 所以我們可以看到
[2254.20-2255.20] 玻璃的複合產品
[2255.20-2256.20] 可以在這個玻璃的
[2256.20-2257.20] 玻璃的底部
[2257.20-2258.20] 可以在這個玻璃的
[2258.20-2259.20] 底部的玻璃的
[2259.20-2260.20] 底部的玻璃的
[2260.20-2261.20] 底部的玻璃的
[2261.20-2263.20] 保留的玻璃板材的強度
[2263.20-2264.20] 跟它的透度
[2264.20-2268.20] 再複合成玻璃複合產品
[2268.20-2270.20] 那也是類似維木
[2270.20-2272.20] 或者是玻璃隔音的
[2272.20-2274.20] 這樣子的產品
[2274.20-2276.20] 那回收玻璃具有完整的
[2276.20-2278.20] 完整性 潔淨度
[2278.20-2280.20] 那它的架構可以
[2280.20-2282.20] 保留在比較高
[2282.20-2284.20] 那這樣子的玻璃回收之後
[2284.20-2288.20] 就可以導入玻璃的介產
[2288.20-2289.20] 目前呢
[2289.20-2291.20] 我們看準
[2291.20-2293.20] 就是農業所需要的
[2293.20-2295.20] 植物工廠
[2295.20-2297.20] 綠色工廠這一塊的
[2297.20-2299.20] 農業產材的方面
[2311.20-2312.20] 背板的玻璃
[2312.20-2315.20] 因為背板的數量非常的長大
[2315.20-2317.20] 它的玻璃的佔比
[2317.20-2320.20] 佔成的質量的70%
[2320.20-2321.20] 玻璃的質量
[2321.20-2323.20] 它的玻璃的來源充足無餘
[2323.20-2326.20] 如果把大量的光電背板
[2326.20-2328.20] 經過合理的回收技術
[2328.20-2331.20] 加工回收裡面的玻璃
[2331.20-2333.20] 成為玻璃板建材
[2333.20-2335.20] 這樣子大量成本低
[2335.20-2337.20] 有競爭優勢
[2337.20-2339.20] 又低碳的玻璃建材
[2339.20-2343.20] 可以導入跟農業相關的使用
[2343.20-2345.20] 那我們現在認為
[2345.20-2348.20] 這樣的垮介的循環
[2348.20-2351.20] 是會引動到玻璃溫室建材的
[2351.20-2352.20] 方面
[2352.20-2356.20] 充分發揮玻璃建材的透光性
[2356.20-2359.20] 材料的板材的結構強度
[2359.20-2361.20] 然後把它變成玻璃溫室
[2361.20-2362.20] 一般來講
[2362.20-2364.20] 我們現在的智慧農業
[2364.20-2367.20] 都發展很多的AI技術導入
[2367.20-2371.20] 在收集生長條件
[2371.20-2373.20] 溫度濕度肥料
[2373.20-2375.20] 或者是成長週期
[2375.20-2379.20] 然後去在一個很好的導入的環境之下
[2379.20-2380.20] 能夠發展出
[2380.20-2384.20] 產率高收穫率高品質良好穩定的
[2384.20-2386.20] 智慧農業的農產品
[2386.20-2388.20] 所以如何把廢板化件
[2388.20-2391.20] 應用到玻璃溫室的建材
[2391.20-2393.20] 是整個它能把回收
[2393.20-2395.20] 未來很大商機的部分
[2395.20-2396.20] 下頁
[2399.20-2401.20] 這是一個植物工廠
[2401.20-2403.20] 在彰化已經導入
[2403.20-2405.20] 那另外在國際上
[2405.20-2408.20] 荷蘭對於植物工廠或是溫室
[2408.20-2409.20] 也是大量推廣
[2409.20-2414.20] 去結合智慧農業的AI機器導入的部分
[2414.20-2415.20] 下頁
[2419.20-2423.20] 廢電板未來是有很長大的回收商機
[2423.20-2428.20] 我們認為廢電板未來的潛在的商機的話
[2428.20-2431.20] 就是資源物的地產地銷
[2431.20-2433.20] 也就是廢板所有的資源物
[2433.20-2437.20] 都包含玻璃與導線電池面接線盒
[2437.20-2438.20] 都可以在當地的工廠中
[2439.20-2441.20] 變成產品資源化
[2441.20-2444.20] 那我們看準的是回收板玻璃
[2444.20-2446.20] 去複合加工成建材
[2446.20-2449.20] 供應給建築所需要的低碳建材這邊
[2449.20-2452.20] 我們會跟導入專利
[2452.20-2455.20] 跟玻璃加工廠去做戰略合作
[2455.20-2457.20] 將來我們會導入低碳建材
[2457.20-2460.20] 來滿足未來城市低碳所需要的
[2460.20-2463.20] 基礎供應的材料
[2463.20-2467.20] 以及導入各式各樣的透光板建材的市場
[2467.20-2469.20] 這是一個很大的發展方式
[2469.20-2471.20] 這是成信公司在未來發展裡面
[2471.20-2474.20] 很重要的亮點方向之一
[2474.20-2475.20] 下一頁
[2475.20-2481.20] 以上是成信公司的業務發展簡報
[2481.20-2484.20] 謝謝各位投資人的聆聽
[2484.20-2485.20] 謝謝
