[0.00-3.04] -天天晚上各位,  glued afternoon evryone andчм shrinking дня晚點 novaṭe дан
[3.06-6.80] er today forKwanta's's secondSuresterResultWebcast,
[6.80-7.76] 進一步引分 Console
[9.20-11.80] in notebook and cloudcomputing,
[11.82-12.66] They also
[12.68-13.76] ing to innovatein.
[13.76-14.98] 的 era of data
[14.98-15.62] economics,
[1849.22-1851.22] 在自然的情況下
[1851.22-1856.22] 當我們進入高ASP的領域
[1856.22-1858.22] 在自然的情況下
[1858.22-1860.22] 轉換領域應該被淡化
[1860.22-1862.22] 但在另一方面
[1862.22-1864.22] 轉換領域的總額
[1864.22-1866.22] 會有很多天
[1866.22-1868.22] 所以我們要繼續
[1868.22-1870.22] 提供低智能產品
[1870.22-1873.22] 給客戶和客戶的行動
[1873.22-1875.22] 這就是我們轉換領域
[1875.22-1877.22] 有更多的自動化
[1877.22-1881.22] 我們有我們的商業
[1881.22-1884.22] 提供機械能力來幫助我們
[1884.22-1886.22] 這是兩者
[1886.22-1888.22] 在金融上
[1888.22-1890.22] 我們轉換到
[1890.22-1892.22] 下一個高ASP產品
[1892.22-1894.22] 應該被淡化
[1894.22-1896.22] 我們要提供低智能產品
[1896.22-1898.22] 以下的經濟成本
[1898.22-1900.22] 以下的經濟成本
[1900.22-1902.22] 我們也要提供
[1902.22-1904.22] GP200的學習資源
[1904.22-1906.22] 我們也要提供
[1906.22-1908.22] GP300的優惠
[1908.22-1910.22] 這也會提供高額
[1910.22-1912.22] 這也是一種混合的方式
[1916.22-1918.22] 對,我明白了
[1918.22-1920.22] 我非常感謝你
[1920.22-1922.22] 我的接連是關於
[1922.22-1924.22] 今年預算的資金
[1924.22-1926.22] 你提到的
[1926.22-1928.22] 我們還在期待
[1928.22-1930.22] AI伺服器的三倍數字增長
[1930.22-1932.22] 但我對於
[1932.22-1934.22] 資金的提供
[1934.22-1936.22] 在AI伺服器的
[1936.22-1938.22] 三倍數字增長
[1938.22-1940.22] 你提到的
[1940.22-1942.22] 一些轉換問題
[1942.22-1944.22] 你仍然看到
[1944.22-1946.22] AI伺服器的
[1946.22-1948.22] 資金的同樣大小
[1948.22-1950.22] 你認為AI伺服器的資金
[1950.22-1952.22] 在今年初期
[1952.22-1954.22] 有什麼不同
[1954.22-1956.22] 在今年初期
[1956.22-1958.22] 有什麼不同
[1958.22-1960.22] 在今年初期
[1960.22-1962.22] 有什麼不同
[1962.22-1964.22] 我們仍然在期待
[1964.22-1966.22] 我們仍然在期待
[1966.22-1968.22] 這跟AI伺服器
[1968.22-1970.22] 的資金分別
[1970.22-1972.22] 有什麼不同
[1972.22-1974.22] 我們仍然在期待
[1974.22-1976.22] 我們仍然在期待
[1976.22-1978.22] 我們仍然在期待
[1978.22-1980.22] 我們仍然在期待
[1980.22-1982.22] 明白了
[1982.22-1984.22] 謝謝
[1984.22-1986.22] 謝謝凱
[1986.22-1988.22] 下一位是
[1988.22-1990.22] 歐伯特·彭
[1990.22-1992.22] 請進
[1992.22-1994.22] 謝謝歐伯特
[1994.22-1996.22] 我是陳定
[1996.22-1998.22] 這是吉比木根的歐伯特
[1998.22-2000.22] 謝謝你提到
[2000.22-2002.22] 在開幕中
[2002.22-2004.22] 我提到
[2004.22-2006.22] AI伺服器的資金分別
[2006.22-2008.22] 會跟第二季相似
[2008.22-2010.22] 請你幫我們
[2010.22-2012.22] 明白
[2012.22-2014.22] 第二季的
[2014.22-2016.22] AI伺服器的資金分別
[2016.22-2018.22] 會是
[2018.22-2020.22] 第二季
[2020.22-2022.22] AI伺服器的分別
[2022.22-2024.22] 會是第二季
[2024.22-2026.22] 然後
[2026.22-2028.22] 接下來
[2028.22-2030.22] 如果說
[2030.22-2032.22] GP200仍然有
[2032.22-2034.22] GP300的依靠
[2034.22-2036.22] 然後為什麼客戶
[2036.22-2038.22] 決定要移到GP300
[2038.22-2040.22] 而GP200仍然有
[2040.22-2042.22] 謝謝
[2042.22-2044.22] 你可能
[2044.22-2046.22] 對這句話
[2046.22-2048.22] 像凱爾·塔什特說
[2048.22-2050.22] 依靠依靠
[2050.22-2052.22] 但依靠依靠
[2052.22-2054.22] GP300在
[2054.22-2056.22] 角落
[2056.22-2058.22] 客戶現在是移到
[2058.22-2060.22] 那裡
[2060.22-2062.22] 這就是客戶的
[2062.22-2064.22] 預約問題
[2064.22-2066.22] 另外
[2066.22-2068.22] 我們不提供
[2068.22-2070.22] Quality的
[2070.22-2072.22] AI伺服器的資金分別
[2072.22-2074.22] 但我仍然在說
[2074.22-2076.22] AI伺服器的總額
[2076.22-2078.22] 是70%
[2078.22-2080.22] 在年底的分別
[2080.22-2082.22] 仍然在查
[2084.22-2086.22] 你好
[2086.22-2088.22] 謝謝
[2088.22-2090.22] 請問
[2090.22-2092.22] 你能幫我們
[2092.22-2094.22] 可能
[2094.22-2096.22] 你能幫我們
[2096.22-2098.22] 解釋GP200
[2098.22-2100.22] 的依靠量嗎
[2100.22-2102.22] 因為
[2102.22-2104.22] 我認為
[2104.22-2106.22] 當我們移到
[2106.22-2108.22] GP300
[2108.22-2110.22] 依靠依靠
[2110.22-2112.22] 依靠依靠
[2112.22-2114.22] 所以你覺得
[2114.22-2116.22] 我們移到
[2116.22-2118.22] GP300
[2118.22-2120.22] 的角落
[2120.22-2122.22] 會不會是
[2122.22-2124.22] 第四個角落
[2124.22-2126.22] 的大跳
[2126.22-2128.22] OK
[2128.22-2130.22] 不像納稿
[2130.22-2132.22] 在伺服器的生意
[2132.22-2134.22] 每個CSP
[2134.22-2136.22] 或新的依靠
[2136.22-2138.22] 客戶都會保留
[2138.22-2140.22] 多個配套
[2140.22-2142.22] 在資料中心
[2142.22-2144.22] 他們有H、B、GP200、GP300
[2144.22-2146.22] 所以
[2146.22-2148.22] 他們移到GP300
[2148.22-2150.22] 並不代表GP200
[2150.22-2152.22] 我試著
[2152.22-2154.22] 提醒大家
[2154.22-2156.22] 不像每個客戶
[2156.22-2158.22] 移到GP300
[2158.22-2160.22] 不同的客戶
[2160.22-2162.22] 不同的主題
[2162.22-2164.22] 他們的應用
[2164.22-2166.22] 以及主題
[2166.22-2168.22] 所以我們看到
[2168.22-2170.22] 新的客戶
[2170.22-2172.22] 也在GP200上
[2172.22-2174.22] 這也很明顯
[2174.22-2176.22] 我們看到
[2176.22-2178.22] 他們的進步
[2178.22-2180.22] 我們認為
[2180.22-2182.22] AI服務還是很強壯
[2184.22-2186.22] 明白,謝謝
[2190.22-2192.22] OK,謝謝,Albert
[2192.22-2194.22] 下一個問題是
[2194.22-2196.22] Alex Wang
[2196.22-2198.22] 請問
[2198.22-2200.22] 大家好
[2200.22-2202.22] 我是Alex
[2202.22-2204.22] 我想確認
[2204.22-2206.22] 我聽到的
[2206.22-2208.22] 你認為
[2208.22-2210.22] 在第三個半年
[2210.22-2212.22] AI服務的收入
[2212.22-2214.22] 會是第二個半年
[2214.22-2216.22] 還是第二個半年
[2216.22-2218.22] 會有雙倍的增長
[2220.22-2222.22] 我擔心
[2222.22-2224.22] 整個的收入
[2224.22-2226.22] 會是最高
[2226.22-2228.22] OK
[2228.22-2230.22] 在第三個半年
[2230.22-2232.22] 有些客戶
[2232.22-2234.22] 移到GP300
[2234.22-2236.22] 所以
[2236.22-2238.22] 整個AI服務的收入
[2238.22-2240.22] 會稍微增長
[2240.22-2242.22] 在第二個半年
[2242.22-2244.22] 明白,收入增長
[2244.22-2246.22] 在第二個半年
[2246.22-2248.22] OK
[2248.22-2250.22] AI服務的收入
[2250.22-2252.22] 稍微增長
[2252.22-2254.22] 在第三個半年
[2254.22-2256.22] 再次提升
[2256.22-2258.22] 我們會保留
[2258.22-2260.22] AI服務
[2260.22-2262.22] 70%
[2262.22-2264.22] 整個服務
[2264.22-2266.22] 明白,非常清楚
[2266.22-2268.22] 第二個問題是
[2268.22-2270.22] 收入增長
[2270.22-2272.22] Karo說
[2272.22-2274.22] 在第二個半年
[2274.22-2276.22] 會有什麼影響
[2276.22-2278.22] 你能提醒我們
[2278.22-2280.22] 如果我們移到GP200
[2280.22-2282.22] 到GP300
[2282.22-2284.22] 會不會有更多的增長
[2284.22-2286.22] OK
[2286.22-2288.22] 在第二個半年
[2288.22-2290.22] 如果
[2290.22-2292.22] 兩三個月
[2292.22-2294.22] 會有影響
[2294.22-2296.22] 讓我詳細說明
[2296.22-2298.22] 這會影響到
[2298.22-2300.22] 你購入的物品
[2300.22-2302.22] 可能
[2302.22-2304.22] 兩三個月前
[2304.22-2306.22] 因為供應的問題
[2306.22-2308.22] 或客戶需要購入
[2308.22-2310.22] 所以會有不同的影響
[2310.22-2312.22] OK
[2312.22-2314.22] 這會影響到
[2314.22-2316.22] 購入的貨幣
[2316.22-2318.22] 如果我們移到
[2318.22-2320.22] 第三個半年
[2320.22-2322.22] 你移到GP300
[2322.22-2324.22] 肯定會有
[2324.22-2326.22] 購入的貨幣影響
[2326.22-2328.22] 這會影響到
[2328.22-2330.22] 你購入的物品
[2330.22-2332.22] 可能
[2332.22-2334.22] 兩三個月前
[2334.22-2336.22] 會影響到
[2336.22-2338.22] 購入的貨幣影響
[2338.22-2340.22] 但可能
[2340.22-2342.22] 在第二個半年會影響到
[2342.22-2344.22] 但可能
[2344.22-2346.22] 在第三個半年會影響到
[2346.22-2348.22] 我們先說明了
[2348.22-2350.22] 我明白
[2350.22-2352.22] 在FX的情況下
[2352.22-2354.22] 我們來看GP200
[2354.22-2356.22] 和GP300的貨幣影響
[2356.22-2358.22] 會不會有更多的增長
[2358.22-2360.22] 對嗎
[2360.22-2362.22] 是的
[2362.22-2364.22] 我剛才提到
[2364.22-2366.22] 高的ASB產品
[2366.22-2368.22] 自然性
[2368.22-2370.22] 和價值
[2370.22-2372.22] 價值
[2372.22-2374.22] OK
[2374.22-2376.22] 非常清楚
[2376.22-2378.22] 謝謝
[2378.22-2380.22] 謝謝Alex
[2380.22-2382.22] 下一個問題
[2382.22-2384.22] 請到Chen
[2384.22-2386.22] 請進去
[2386.22-2388.22] 謝謝你
[2388.22-2390.22] 提問
[2390.22-2392.22] 所以
[2392.22-2394.22] Qantas進展
[2394.22-2396.22] 的什麼
[2396.22-2398.22] AZX的服務
[2398.22-2400.22] 是否有
[2400.22-2402.22] AZX的服務
[2402.22-2404.22] 有什麼建議
[2404.22-2406.22] 關於AZX的服務
[2406.22-2408.22] 和AZX的服務
[2408.22-2410.22] 和AZX的服務
[2410.22-2412.22] 在2026年
[2412.22-2414.22] 會是什麼
[2414.22-2416.22] 我們先說明
[2416.22-2418.22] 您先說明
[2418.22-2420.22] 您先說明
[2420.22-2422.22] 所以AZX的服務
[2422.22-2424.22] 的主要客戶
[2424.22-2426.22] 和AZX的服務
[2426.22-2428.22] 如何分析
[2428.22-2430.22] 還有
[2430.22-2432.22] 在買賣的服務上
[2432.22-2434.22] 嗎
[2434.22-2436.22] 首先
[2436.22-2438.22] 我們還
[2438.22-2440.22] 跟著
[2440.22-2442.22] 買賣的服務
[2442.22-2444.22] 的服務
[2444.22-2446.22] 首先
[2446.22-2448.22] 第二
[2448.22-2450.22] 我們現在有8個服務
[2450.22-2452.22] 但在過去
[2452.22-2454.22] 我們不能達到客戶的
[2454.22-2456.22] 需求
[2456.22-2458.22] 但在後來
[2458.22-2460.22] 我們已經
[2460.22-2462.22] 完成了
[2462.22-2464.22] 我們的R&D
[2464.22-2466.22] 和我們的維持
[2466.22-2468.22] 我們已經
[2468.22-2470.22] 在聽到
[2470.22-2472.22] 現在的AZX
[2472.22-2474.22] 客戶
[2474.22-2476.22] 和AZX的服務
[2476.22-2478.22] 因為我們知道客戶
[2478.22-2480.22] 的服務
[2480.22-2482.22] 我們已經達到
[2482.22-2484.22] 新的項目
[2484.22-2486.22] 我們將在2026年
[2486.22-2488.22] 完成
[2488.22-2490.22] 但我們沒有提供
[2490.22-2492.22] 客戶和服務的
[2492.22-2494.22] 優勢
[2494.22-2496.22] 特別是
[2496.22-2498.22] AZX的服務
[2498.22-2500.22] 但我們很高興
[2500.22-2502.22] 看到AZX的服務
[2502.22-2504.22] 能夠贏得
[2504.22-2506.22] 和獲得
[2506.22-2508.22] 我們有更多的R&D
[2508.22-2510.22] OK
[2510.22-2512.22] 謝謝
[2512.22-2514.22] 然後我再說一句
[2514.22-2516.22] 請問
[2516.22-2518.22] 您能否給我們
[2518.22-2520.22] AZX的服務
[2520.22-2522.22] 和第一半
[2522.22-2524.22] 的AZX服務的
[2524.22-2526.22] 回顧?
[2532.22-2534.22] 目前為止
[2534.22-2536.22] 有60%
[2536.22-2538.22] OK,謝謝
[2542.22-2544.22] 好,謝謝,Yvonne
[2544.22-2546.22] Elton,我可能
[2546.22-2548.22] 先回到
[2548.22-2550.22] Q的問題
[2550.22-2552.22] 我想在上個月
[2552.22-2554.22] 您提到
[2554.22-2556.22] HGX系統
[2556.22-2558.22] 低價AI服務
[2558.22-2560.22] 的服務漸漸
[2560.22-2562.22] 在下個月
[2562.22-2564.22] 整個過程中
[2564.22-2566.22] 您看見的
[2566.22-2568.22] 是否依然
[2568.22-2570.22] 跟上個月
[2570.22-2572.22] 不同?
[2582.22-2584.22] OK
[2584.22-2586.22] 首先,我們沒有提及
[2586.22-2588.22] HGX的
[2588.22-2590.22] 低價AI服務
[2590.22-2592.22] 的特徵
[2592.22-2594.22] 我會說
[2594.22-2596.22] 就像
[2596.22-2598.22] 我先說一件事
[2598.22-2600.22] 就像AI
[2600.22-2602.22] 業務一直在發展
[2602.22-2604.22] 每個行業,包括
[2604.22-2606.22] GB200
[2606.22-2608.22] 300,高SV
[2608.22-2610.22] 服務
[2610.22-2612.22] AI服務
[2612.22-2614.22] 或HV服務
[2614.22-2616.22] 或HV服務,他們都在發展
[2616.22-2618.22] OK,但
[2618.22-2620.22] 有不同的發展
[2620.22-2622.22] 例如,GB200
[2622.22-2624.22] 高SV
[2624.22-2626.22] 服務,AI服務
[2626.22-2628.22] 應該是最高的
[2628.22-2630.22] 但其餘的都在發展
[2630.22-2632.22] OK,我們能否
[2632.22-2634.22] 多點
[2634.22-2636.22] 利用
[2636.22-2638.22] 我們的R&D資源
[2638.22-2640.22] 我們要把R&D資源
[2640.22-2642.22] 修理好
[2642.22-2644.22] 我們必須達到所有客戶的
[2644.22-2646.22] 要求,但每個C&T的客戶
[2646.22-2648.22] 他們都有自己的品質
[2648.22-2650.22] 我們有不同的模式
[2650.22-2652.22] AMD模式
[2652.22-2654.22] NVIDIA模式
[2654.22-2656.22] ASICS模式
[2656.22-2658.22] X86模式
[2658.22-2660.22] 他們都在發展
[2660.22-2662.22] 我們會繼續看到
[2662.22-2664.22] 強大的要求
[2664.22-2666.22] 我們可以展示
[2666.22-2668.22] 我們的經濟機會
[2668.22-2670.22] 甚至是C&T
[2670.22-2672.22] 不僅是新的
[2672.22-2674.22] 發展的
[2674.22-2676.22] 我們還在期待AI服務的發展
[2676.22-2678.22] 非常清楚
[2678.22-2680.22] 下一個人
[2680.22-2682.22] 在Q中
[2682.22-2684.22] Timson Lee,請
[2684.22-2686.22] 你好,Elton,我是UBS的Timson
[2686.22-2688.22] 我又是
[2688.22-2690.22] 我還在
[2690.22-2692.22] 對高端AI服務的
[2692.22-2694.22] 分類分類的想要問
[2694.22-2696.22] 我們有
[2696.22-2698.22] 36x2,72
[2698.22-2700.22] 以及
[2700.22-2702.22] 1GPU
[2702.22-2704.22] 分類分類的想要問
[2704.22-2706.22] 我現在是300
[2706.22-2708.22] 我們要不要再期待
[2708.22-2710.22] 72x2的分類分類
[2710.22-2712.22] 跟大型分類分類的想要
[2712.22-2714.22] 還是我們應該怎麼想
[2714.22-2716.22] 這個問題
[2716.22-2718.22] 是的
[2718.22-2720.22] 我們在下一代的分類
[2720.22-2722.22] 我們有32x2
[2724.22-2726.22] 對,72x1
[2726.22-2728.22] 是最差的
[2728.22-2730.22] 在下一代的分類
[2730.22-2732.22] 我們有兩倍
[2732.22-2734.22] 我們看到
[2734.22-2736.22] 72x1是主流產品
[2736.22-2738.22] 在144的分類
[2738.22-2740.22] 可能是下一代
[2740.22-2742.22] 主流產品
[2744.22-2746.22] 謝謝
[2746.22-2748.22] 我的回答是
[2748.22-2750.22] 可能在232的部分
[2750.22-2752.22] 我知道Carol
[2752.22-2754.22] 在美國的CAPEX計劃上
[2754.22-2756.22] 有提到
[2756.22-2758.22] 你對
[2758.22-2760.22] 美國的設計
[2760.22-2762.22] 有關美國的設計
[2762.22-2764.22] 有關美國的設計
[2764.22-2766.22] 或是可能的
[2766.22-2768.22] 特殊的設計
[2768.22-2770.22] 或是
[2770.22-2772.22] 對
[2772.22-2774.22] 我們對這個計劃
[2774.22-2776.22] 有什麼看法
[2776.22-2778.22] 你又知道
[2778.22-2780.22] 在世界上
[2780.22-2782.22] 我們會比較專注在
[2782.22-2784.22] 美國和美國
[2784.22-2786.22] 我們會去展示
[2786.22-2788.22] 我們的存在
[2788.22-2790.22] 在世界上
[2790.22-2792.22] 最差的
[2792.22-2794.22] 謝謝
[2796.22-2798.22] 謝謝
[2800.22-2802.22] OK,很棒
[2802.22-2804.22] 謝謝Thompson
[2804.22-2806.22] Elton,我們先回答
[2806.22-2808.22] CAPAZITY問題
[2808.22-2810.22] 在Mexico
[2810.22-2812.22] 如果我記錯了
[2812.22-2814.22] 過去只有自動車
[2814.22-2816.22] 在那裡產生
[2816.22-2823.02] 但現在你們正在投資和在那裡的企業和AI企業的產業能力
[2823.02-2828.54] 將會在明年提升至高端的產業時間
[2828.54-2835.02] 你們在墨西哥在L6的產業期間是在墨西哥還是在Racklevel Assemblies?
[2835.02-2837.18] 請你給我們一點顏色
[2841.58-2845.82] 我不想再說了,但在L6的產業期間,讓我把它放在這裡
[2846.58-2852.54] 那每個 distinct Government 的 Akademia 比較細它不只是搶ier
[2852.54-2856.66] 他們認為只是靠NAB的
[2856.66-2868.66] 在這些傳輸 maintainer 或是其他生 movement 者
[2868.66-2872.86] 現場 Pepascal 在這來說是一種令人不敢而判斷
[2872.86-2876.20] 隨著美國議事合定
[2876.20-2879.90] 或者美國保管保證
[2882.98-2887.24] 監管局擔留學生 towels
[2892.24-2895.32] 我也充滿信心
[2895.32-2899.92] 所以我們有9個產業位置
[2899.92-2903.92] 為客戶提供能力
[2903.92-2908.04] 最好的方法是
[2908.04-2909.96] 得到律師的薪金
[2909.96-2912.64] 是客戶的意見
[2912.64-2914.52] 當你跟他們一起
[2914.52-2916.68] TC是客戶的地方
[2916.68-2921.76] 我們有能力、能力和速度
[2921.76-2924.24] 幫助他們達成目標
[2924.24-2925.56] 所以我可以告訴你
[2925.56-2926.84] 什麼會發生
[2926.84-2927.84] 但這會影響到
[2927.84-2930.36] 如何去做決定
[2933.12-2934.44] 明白,非常清楚
[2934.44-2937.92] 還有一個負債價的問題
[2937.92-2941.08] 我想你們提到的
[2941.08-2944.08] 準備標籤和Q&A
[2944.08-2949.04] GP200說負債價在增長
[2949.04-2951.24] 你能提供任何顏色
[2951.24-2954.20] GP300的優惠價格
[2954.20-2955.44] 在這段時間上
[2955.44-2958.00] 和200的情況下
[2958.00-2960.00] 是否有意義的改善
[2960.00-2962.56] 你期望GP300
[2962.56-2965.04] 在幾個月前
[2965.04-2967.44] 和GP200的情況下更加順利嗎
[2969.40-2972.16] 對,GP200和GP300的
[2972.16-2974.88] 設計是不同的
[2974.88-2977.80] 從GP200的學習
[2977.80-2979.60] 我們也能夠欣賞
[2979.64-2980.80] 我們的客戶
[2980.80-2982.80] 和GP200的商業
[2982.80-2984.80] 和GP200的表現
[2984.80-2986.60] 也能夠幫助
[2986.60-2989.20] 客戶進一步
[2989.20-2991.00] 所以,在這段時間內
[2991.00-2994.00] GP300的優惠價格
[2994.00-2995.00] 在GP200的學習上
[2995.00-2996.80] 更加順利
[3000.52-3001.52] 明白,非常清楚
[3001.52-3002.40] 謝謝
[3002.40-3003.80] 我們有一個問題
[3003.80-3005.00] 從Clara Wang的線上
[3005.00-3006.40] Clara,請問
[3007.28-3009.48] 謝謝你把這個問題舉 connection
[3009.48-3010.80] 我想要問一下
[3010.80-3012.00] 我也明白搭在一些
[3012.00-3013.40] 企業會的課程
[3013.40-3016.04] 那體會商家贈款
[3016.04-3018.12] Saya mengar pause
[3018.12-3020.00] 可能是類似
[3020.00-3021.72] 這些領지고價與投資賃
[3021.72-3022.38] 狫 ком
[3024.40-3025.16] 謝謝
[3026.32-3027.00] 剛才確認
[3029.00-3030.40] 我還是希望
[3030.40-3034.24] 與比爾馬特Goog錯誤
[3034.24-3038.06] 我們的經驗是用�儷 80%
[3038.30-3040.12] 陽 annuity barely
[3040.28-3043.60] 差不多我們沒錯
[3043.60-3050.14] 為什麼 Jennner  contagious
[3052.00-3056.36] 冷氣
[3056.42-3057.18] cs
[3059.62-3061.56] 打lon Damn
[3061.56-3063.56] 謝謝
[3065.56-3067.56] 謝謝Claire
[3067.56-3069.56] Albert請你進行
[3071.56-3073.56] 謝謝Howard
[3073.56-3077.56] 對於市場上
[3077.56-3081.56] Karo提到兩三個
[3081.56-3085.56] 市場的跌幅是因為Fx
[3085.56-3091.56] 如果我加到0.6%
[3091.56-3095.56] 假設標準的股價是7.6%
[3095.56-3099.56] 股價跌幅只會是
[3099.56-3101.56] 跌幅的跨行跨距
[3101.56-3103.56] 我的問題是
[3103.56-3105.56] 當Nopal增長到12%
[3105.56-3107.56] 股價跨距
[3107.56-3109.56] 你所說的
[3109.56-3111.56] 在點要求上
[3111.56-3113.56] 為何股價跨距
[3113.56-3115.56] 只會是跨行跨距
[3115.56-3117.56] 還有其他
[3117.56-3119.56] 跨行跨距的
[3119.56-3121.56] 不只是Fx
[3121.56-3123.56] 可能是Rambot
[3123.56-3125.56] 請你幫我們
[3125.56-3127.56] 解釋
[3127.56-3129.56] 謝謝
[3137.56-3139.56] 首先
[3139.56-3141.56] 如果我們加到GP200
[3141.56-3143.56] 股價會被淘汰
[3143.56-3145.56] 所以不只是Fx
[3145.56-3147.56] 產品混合也會有影響
[3147.56-3149.56] 我們要重新提醒
[3149.56-3151.56] 產品混合的狀況
[3151.56-3153.56] 會有不同的產品
[3153.56-3155.56] 會令它們不同
[3155.56-3157.56] 我欣賞你的數據
[3157.56-3159.56] 但這也是現實
[3159.56-3161.56] 如果我們加到高AAC
[3161.56-3163.56] 自然會被淘汰
[3163.56-3165.56] 我們會有影響
[3165.56-3167.56] 如果加到高AAC
[3167.56-3169.56] 自然會被淘汰
[3169.56-3171.56] 我們會有影響
[3171.56-3173.56] 請你多說一下
[3173.56-3175.56] Fx的影響
[3175.56-3177.56] 還有什麼影響
[3181.56-3183.56] 明白
[3183.56-3185.56] 第二點
[3185.56-3187.56] 如果我們看進度
[3187.56-3189.56] 其實我們的進度
[3189.56-3191.56] 是非常好
[3191.56-3193.56] 我們是非常好
[3193.56-3195.56] 我們在第二季的管制上
[3195.56-3197.56] 沒有增長太多
[3197.56-3199.56] 我的問題是
[3199.56-3201.56] 通常營業的產品
[3201.56-3203.56] 都會被淘汰
[3203.56-3205.56] 如果AI的需求
[3205.56-3207.56] 非常強大
[3207.56-3209.56] 為什麼我們不應該看到
[3209.56-3211.56] 營業的進度
[3211.56-3213.56] 在第二季
[3213.56-3215.56] 如果營業
[3215.56-3217.56] 能夠保持現代的價值
[3217.56-3219.56] 為什麼
[3219.56-3221.56] 我們需要
[3221.56-3223.56] 營業資金
[3223.56-3225.56] 幫助
[3225.56-3227.56] 這支營業資金或銀行的利益
[3227.56-3229.56] 謝謝
[3251.56-3253.56] 我們需要
[3253.56-3255.56] 找到最好的
[3255.56-3257.56] 營業資金
[3257.56-3259.56] 來支撐我們的需求
[3259.56-3261.56] 營業資金
[3261.56-3263.56] 會在營業營業的進度
[3263.56-3265.56] 有什麼影響
[3265.56-3267.56] 有些營業營業
[3267.56-3269.56] 所以
[3269.56-3271.56] 他們會有兩倍影響
[3271.56-3273.56] 當你營業營業
[3273.56-3275.56] 會有Fx影響
[3275.56-3277.56] 但你也會保持你的命令
[3277.56-3279.56] 所以
[3279.56-3281.56] 我們要看下一支營業資金
[3281.56-3283.56] 有些營業營業
[3283.56-3285.56] 會有影響
[3285.56-3287.56] 所以我們需要
[3287.56-3289.56] 看營業資金
[3289.56-3291.56] 所以他們會有影響
[3291.56-3293.56] 這是你的提議
[3293.56-3295.56] 謝謝
[3295.56-3297.56] 我會回答
[3297.56-3299.56] 謝謝
[3299.56-3301.56] 最後一條問題
[3301.56-3303.56] 是凱華的
[3303.56-3305.56] 凱,請回答
[3309.56-3311.56] 謝謝你再次接受我的問題
[3311.56-3313.56] 最後一條問題是
[3313.56-3315.56] 筆記商
[3315.56-3317.56] 請你跟我們分享
[3317.56-3319.56] 筆記商的成本分數
[3319.56-3321.56] 在第二季
[3321.56-3323.56] 還有,這年來的
[3323.56-3325.56] 筆記商的進度
[3325.56-3327.56] 例如在這年來的
[3327.56-3329.56] 在這年來的
[3329.56-3331.56] 在這年來的
[3331.56-3333.56] 在這年來的
[3333.56-3335.56] 筆記商的成本分數
[3335.56-3337.56] 在這年來的
[3337.56-3339.56] 現在的成本分數是20%-25%
[3339.56-3341.56] 的成本分數
[3341.56-3343.56] 而筆記商
[3343.56-3345.56] 在第二季
[3345.56-3347.56] 回到筆記商的成本分數
[3347.56-3349.56] 在筆記商的成本分數
[3349.56-3351.56] 在筆記商的成本分數
[3351.56-3353.56] 我們還會有一個銀行
[3353.56-3355.56] 但成本分數會很高
[3355.56-3357.56] 一個遊戲銀行
[3357.56-3359.56] 所以我們回到
[3359.56-3361.56] 第二季的成本分數
[3361.56-3363.56] 是在筆記商的成本分數
[3363.56-3365.56] 和筆記商的成本分數
[3365.56-3367.56] 是的,明白了
[3367.56-3369.56] 我們會預計
[3369.56-3371.56] 在這年來
[3371.56-3373.56] 筆記商的成本分數
[3373.56-3375.56] 會有50%-50%的分數
[3375.56-3377.56] 還是
[3377.56-3379.56] 第二季的成本分數
[3379.56-3381.56] 會有更高的成本分數
[3381.56-3383.56] 我會說
[3383.56-3385.56] 第一季的成本分數
[3385.56-3387.56] 和第二季的成本分數分別
[3387.56-3389.56] 是為了
[3389.56-3391.56] 成本分數或是
[3391.56-3393.56] 銀行分數嗎?
[3393.56-3395.56] 是的,對,對
[3395.56-3397.56] 我們筆記商的成本分數
[3397.56-3399.56] 會有不同的客戶
[3399.56-3401.56] 不同的價值分數
[3401.56-3403.56] 但總之
[3403.56-3405.56] 我們會預計
[3405.56-3407.56] 成本分數會更高
[3407.56-3409.56] 否則我們會
[3409.56-3411.56] 遇到銀行分數的問題
[3411.56-3413.56] 好的,我會很感謝你
[3413.56-3415.56] 謝謝
[3415.56-3417.56] 謝謝,凱
[3417.56-3419.56] 在時間的面前
[3419.56-3421.56] 我們要到一小時的時間了
[3421.56-3423.56] 讓我把電話
[3423.56-3425.56] 交給Elton或CC
[3425.56-3427.56] 看看你們有什麼
[3427.56-3429.56] 關於結束的說明
[3433.56-3435.56] 好的,這是我
[3435.56-3437.56] 總結來說
[3437.56-3439.56] 我們在我們的生意中
[3439.56-3441.56] 我們在建立的一刻
[3441.56-3443.56] 我們在面對一些
[3443.56-3445.56] 虛擬、微軟、
[3445.56-3447.56] 管理、環境的影響
[3447.56-3449.56] 我們認為他們是
[3449.56-3451.36] 看到錄像 iş戰他們
[3451.36-3453.36] 比較意識的問題
[3453.36-3455.36] 也指到給領理
[3455.36-3457.36] 他們收到一些
[3457.36-3459.36] 相對應的帶 Guys
[3459.36-3461.36] 這個概念
[3461.36-3463.36] 這個和他們相似
[3463.36-3465.56] 引起了我們
[3465.56-3470.56] achieves這些
[3470.56-3472.88] 整體的成就
[3472.88-3474.88] 前作來的,私譜給領理
[3474.88-3476.88] 大工作 energy
[3476.88-3478.34] 就是 euro
[3478.34-3479.00] 謝謝
[3479.56-3496.04] master
