[0.00-4.64] 好的 現場各位貴賓 目前的時間是2點30分
[4.64-9.68] 那我們6288連家光電的法輪說明會正式開始
[1787.98-1789.98] 給我們很多獎項
[1789.98-1793.98] 不管是E就是節能環保
[1793.98-1795.98] S企業的責任
[1795.98-1797.98] 或者G公司的治理
[1797.98-1799.98] 其實都對一個企業的永續經營
[1799.98-1801.98] 扮演非常重要的角色
[1801.98-1804.98] 所以我們是全員有ESG的推動
[1804.98-1806.98] 而且各部門都有KPI
[1806.98-1809.98] 去驅動大家一定要減碳
[1809.98-1812.98] 一減碳其實會減少對環境的傷害
[1812.98-1814.98] 跟成本可以降低
[1815.98-1818.98] 所以我們對減碳的承諾
[1818.98-1820.98] 其實是關注的是車廠
[1820.98-1822.98] 或者是各個國家
[1822.98-1824.98] 各個國家對於汽車產業
[1824.98-1826.98] 都有一些減碳的承諾
[1826.98-1828.98] 不管是說哪些國家
[1828.98-1831.98] 百分之百要有電氣化車輛的銷售
[1831.98-1832.98] 或生產
[1832.98-1834.98] 或者是純量
[1834.98-1837.98] 或者是零排放的承諾的年限
[1837.98-1840.98] 那我們以這個當作我們的參考依據
[1840.98-1843.98] 我們提前做準備
[1843.98-1845.98] 所以我們公司呢
[1845.98-1847.98] 就會設我們自己的宣言
[1847.98-1849.98] 我們希望呢
[1849.98-1852.98] 短期間內我們可以減碳25%
[1852.98-1853.98] 那未來呢
[1853.98-1856.98] 還是要跟著時代的腳步
[1856.98-1858.98] 2025年
[1858.98-1859.98] 對不起
[1859.98-1861.98] 2050年的時候減碳百分之百
[1861.98-1864.98] 因為這個是客人的對我們的期望
[1864.98-1867.98] 當然川普總統有不同的想法
[1867.98-1871.98] 我們也是會配合客人的需求
[1871.98-1872.98] 好
[1872.98-1873.98] 除此之外我們覺得
[1873.98-1875.98] 取之社會就應該用之社會
[1875.98-1878.98] 我們常常說孝順不用等於有錢
[1878.98-1879.98] 做好事也一樣
[1879.98-1883.98] 不用等到自己公司是百億千億的公司
[1883.98-1885.98] 所以我們其實有月月有公益
[1885.98-1887.98] 捷徑雙公益的活動
[1887.98-1890.98] 來幫忙更多比我們不幸
[1890.98-1892.98] 或者是弱勢的團體
[1892.98-1895.98] 然後帶給他們更多的喜樂
[1895.98-1898.98] 所以這是我們長期做的事情
[1898.98-1902.98] 那我們對於臺灣廠
[1902.98-1904.98] 或者是東莞廠都一樣
[1904.98-1907.98] 我們覺得自己在推動ESG是不夠的
[1907.98-1910.98] 所以我們也對供應商
[1910.98-1912.98] 辦了ESG供應大會
[1912.98-1915.98] 除此之外我們連加萬烈士園區
[1915.98-1917.98] 新竹科學園區的議員
[1917.98-1919.98] 我們也幫忙新竹科學園區
[1919.98-1921.98] 辦了新竹科學園區
[1921.98-1927.98] 跨產業ESG的供應商的一個宣導會議
[1927.98-1931.98] 也獲得非常多的肯定跟掌聲
[1932.98-1934.98] 除此之外
[1934.98-1938.98] 我們對於公司距離非常非常重視
[1938.98-1941.98] 所以過去幾年逐步的提升
[1941.98-1945.98] 到了2023年分數降低的原因是因為
[1945.98-1949.98] 現在的評分有些叫做基本分
[1949.98-1950.98] 它要求越來越高
[1950.98-1952.98] 實際上我們整體的結果
[1952.98-1956.98] 是在上市公司裡面排名6%到20%
[1956.98-1961.98] 甚至在市值50億到100億的公司而言
[1961.98-1962.98] 我們有一個很大的分數
[1962.98-1965.98] 我們是在6%到10%之間
[1965.98-1967.98] 所以可見我們在公司距離上面
[1967.98-1969.98] 是受到肯定的
[1969.98-1971.98] 也非常感謝我們過去幾年
[1971.98-1974.98] 我們的董事們給我們很多的指導意見
[1974.98-1976.98] 讓我們在公司距離上面
[1976.98-1979.98] 年年做得越來越好
[1981.98-1987.98] 所以我們在2024年Q4到2025年第一季
[1987.98-1989.98] 我們有得到一些獎項
[1989.98-1991.98] 這給各位參考
[1992.98-1997.98] 然後2024年也得到11項
[1997.98-2001.98] 就是比較重要的一些獎項
[2008.98-2010.98] 除此之外其實
[2010.98-2013.98] 將來大家對於探足機都很重視
[2013.98-2017.98] 所以我們其實早從1998年到現在為止
[2017.98-2020.98] 沒有停止在做這個認證
[2020.98-2021.98] 這一件事情我們得到車燈
[2021.98-2024.98] 世界車燈領先廠商的肯定
[2024.98-2026.98] 他們覺得我們很有遠見
[2026.98-2028.98] 提前做好一些準備
[2028.98-2031.98] 所以對於訂單的提供也更加放心
[2031.98-2034.98] 所以我覺得其實很多事情在做
[2034.98-2036.98] 如果你洞悉未來的趨勢
[2036.98-2040.98] 提前做會讓客人對我們廣目相看
[2040.98-2042.98] 他們覺得我們公司雖然不大
[2042.98-2044.98] 是一個臺灣公司
[2044.98-2050.98] 但是居然比別人先拿到ISO14064 14067
[2050.98-2053.98] 這些認證我們正在進行中
[2053.98-2056.98] 這些都是得到客人非常多的肯定
[2056.98-2059.98] 跟很樂意未來給我們更多訂單
[2061.98-2062.98] 好
[2062.98-2065.98] 談到我們公司未來的展望
[2066.98-2069.98] 第一個我們公司接下去進行的
[2069.98-2071.98] 除了汽車業以外
[2071.98-2074.98] 會有多角化的策略
[2074.98-2076.98] 今天我們為各位準備的
[2076.98-2078.98] 就是有兩段的報告
[2078.98-2079.98] 我個人報告的都是
[2079.98-2084.98] 偏向於公司目前主要的收入來源跟本業
[2084.98-2088.98] 所以跟汽車業跟節能比較相關
[2088.98-2092.98] 待會我們董事長為各位特別準備的就是
[2092.98-2094.98] 我們多角化經營下面
[2094.98-2095.98] 我們有哪些策略
[2095.98-2097.98] 我們有哪些計畫
[2097.98-2099.98] 哪些是創新從來沒人做過的
[2099.98-2101.98] 我們要去做
[2101.98-2104.98] 因為那個會對社會貢獻很大
[2104.98-2107.98] 所以我在這邊先說明一下
[2107.98-2109.98] 嚴加成立的時候是一個很重要的事
[2109.98-2114.98] 我們是全世界少數做LED耗資燈的公司
[2114.98-2118.98] 所以我們是節能環保的先驅者
[2118.98-2122.98] 然後我們目前漸漸的增加一些營業項目
[2122.98-2124.98] 包括智慧燈感
[2124.98-2126.98] 儲能專案這些
[2126.98-2130.98] 來增加我們對節能環保企業的貢獻
[2130.98-2133.98] 那汽車光電本來就是我們的本業
[2133.98-2136.98] 我們以全球車業創新光源
[2136.98-2137.98] 領導廠商
[2137.98-2139.98] 作為我們的目標跟願望
[2139.98-2142.98] 我們希望持續的佈局全球
[2142.98-2144.98] 跟流臺灣
[2144.98-2147.98] 然後我們一直不斷的增加我們的創新產品
[2147.98-2149.98] 待會大家也可以看一下
[2149.98-2152.98] 我們外面為各位展示的樣品
[2152.98-2154.98] 然後持續擴大客源
[2154.98-2157.98] 其實當時要拿到第一個客人的訂單
[2157.98-2158.98] 花了五六年
[2158.98-2161.98] 但是現在因為我們有很多的時機
[2161.98-2163.98] 要有新客人進來
[2163.98-2164.98] 變得快很多
[2164.98-2167.98] 所以我們以擴大客源
[2167.98-2169.98] 來增加我們的營運
[2169.98-2170.98] 讓客人更多的時間去收
[2170.98-2173.98] 第三項是創意的餐飲產業
[2173.98-2175.98] 那大家可以看得到
[2175.98-2177.98] 今天這個場域
[2177.98-2181.98] 就是我們第一家極致餐廳的旗艦店
[2181.98-2186.98] 我們是首創LVD曾經是虛擬餐廳
[2186.98-2188.98] 為我們的訴求
[2188.98-2190.98] 那我們希望為消費市場
[2190.98-2192.98] 帶來完全不同的體驗
[2192.98-2195.98] 我們建立這個極致餐廳
[2195.98-2197.98] 是以臺灣這個
[2197.98-2199.98] 這個臺北市當中
[2199.98-2201.98] 我們旗艦店接下去希望能夠
[2201.98-2204.98] 在臺灣各地佈局
[2204.98-2206.98] 我們以顧客
[2206.98-2208.98] 就是各種感官
[2208.98-2211.98] 有極致的體驗跟享受
[2211.98-2213.98] 為我們的重要任務
[2213.98-2215.98] 所以希望今天大家可以嘗一嘗
[2215.98-2218.98] 我們為各位準備的一些點心
[2218.98-2220.98] 還有伴手禮
[2220.98-2222.98] 好
[2222.98-2224.98] 那我們公司知道AI產業
[2224.98-2226.98] 是一個未來趨勢
[2226.98-2228.98] 同時因為我們公司有很多高科技人才
[2228.98-2233.98] 只要再引進AI的一些團隊進來
[2233.98-2237.98] 我們就可以在我們既有的應用裡面
[2237.98-2239.98] 發揮AI的功能
[2239.98-2240.98] 像我們在汽車業
[2240.98-2242.98] 像我們在交通領域
[2242.98-2245.98] 我們都有一些著墨跟長期配合的夥伴
[2245.98-2248.98] 所以待會董事長也會跟各位說明
[2248.98-2250.98] 我們對於AI
[2250.98-2253.98] 就是有哪些的一些觸角
[2253.98-2256.98] 跟未來長期的一些企圖心
[2258.98-2259.98] 好
[2259.98-2261.98] 那我們新興業務的成長
[2261.98-2264.98] 首先是我們從工業性產品
[2264.98-2266.98] 轉到汽車業
[2266.98-2269.98] 慢慢再轉向我們也會做儲能
[2269.98-2273.98] 另外就是沉浸式的顯示屏
[2273.98-2277.98] 切入娛樂市場 餐飲市場
[2277.98-2282.98] 第三個就是我們的公共工程的實機
[2282.98-2284.98] 會協助我們將來在智慧城市
[2284.98-2286.98] AI的物聯網裡面
[2286.98-2288.98] 基礎設施
[2288.98-2290.98] 帶來貢獻
[2293.98-2296.98] 這一部分都是董事長待會會說明
[2296.98-2300.98] 那這個就是我們極致餐廳的特色
[2300.98-2303.98] 跟大家稍微分享一下
[2303.98-2305.98] 待會如果大家有時間
[2305.98-2306.98] 歡迎留下來
[2306.98-2307.98] 可以享受到說
[2307.98-2309.98] 你用一個餐一個半小時
[2309.98-2312.98] 好像你環遊全世界
[2312.98-2313.98] 一下子在室內
[2313.98-2314.98] 你在凡爾賽宮
[2314.98-2316.98] 你在宮廷裡面用餐
[2316.98-2318.98] 等一下你很可能是去
[2318.98-2319.98] 尼加拉瀑布
[2319.98-2321.98] 你去埃及看金字塔
[2321.98-2324.98] 很可能兒童節你帶小朋友來
[2324.98-2327.98] 他好像去迪士尼世界
[2327.98-2329.98] 或者是海洋世界
[2329.98-2330.98] 就是用一個餐
[2330.98-2334.98] 可以讓他們覺得到世界各國走一趟
[2334.98-2336.98] 有各種不同的體驗
[2336.98-2339.98] 甚至如果比較不能出國的
[2339.98-2341.98] 老先生老太太們
[2341.98-2343.98] 或者大家的父母
[2343.98-2345.98] 祖父母歡迎帶來
[2345.98-2347.98] 他可能就可以在這個環境裡面享受美食
[2347.98-2351.98] 同時環遊世界一周
[2351.98-2356.98] 因為時間的關係
[2356.98-2358.98] 我就展示到這邊
[2358.98-2360.98] 我先把它關掉
[2360.98-2362.98] 好
[2362.98-2365.98] 那我們集市餐廳的品牌的願景
[2365.98-2369.98] 第一個我們希望自己是餐飲業的特斯拉
[2369.98-2371.98] 因為特斯拉是我們長期的策略夥伴
[2371.98-2374.98] 所以我們用這個slogan來自我要求
[2374.98-2376.98] 因為我們可以看得到特斯拉
[2376.98-2377.98] 它不但是車子
[2377.98-2381.98] 給我們很多的領先的電動車的技術
[2381.98-2384.98] 甚至它也開始在做電動的
[2384.98-2386.98] 我不知道大家有沒有看到
[2386.98-2388.98] 它有電池的房子
[2388.98-2391.98] 一個房子才7800塊美金
[2391.98-2393.98] 你就可以擁有一個
[2393.98-2395.98] 好像大概4坪5坪左右的一個房間
[2395.98-2398.98] 它一直不斷的在幫人類
[2398.98-2403.98] 有一個創新的產品跟技術
[2403.98-2405.98] 那我們希望我們是餐飲業的
[2405.98-2409.98] 也是一樣帶來消費者嶄新的一些體驗
[2409.98-2414.98] 五官的各種感官的非常高滿意度
[2414.98-2416.98] 跟驚豔的體驗
[2416.98-2420.98] 所以我們是以科技為我們的器具
[2420.98-2422.98] 我們以美味當作我們的語言
[2422.98-2425.98] 希望大家能夠在我們這個環境裡面
[2425.98-2427.98] 讓大家有一個沉浸式
[2427.98-2428.98] 沉浸在這個環境裡面
[2428.98-2433.98] enjoy很棒的美食跟高科技
[2433.98-2435.98] 所以我們是打造全台灣
[2435.98-2440.98] 首創的沉浸式EY的dining這種體驗
[2440.98-2442.98] 希望大家待會留下來
[2442.98-2443.98] 也可以感受一下
[2443.98-2447.98] 我們為各位設計的一些軟體
[2447.98-2452.98] 好 那我們的產品飲食
[2452.98-2455.98] 主要是結合了當地的食材
[2455.98-2456.98] 因為追求永續
[2456.98-2458.98] 但是做出來的產品
[2458.98-2462.98] 是各國的很棒的口味的菜
[2462.98-2464.98] 那主要是以義式法式
[2465.98-2467.98] 跟日式為主
[2467.98-2470.98] 好 那我們有很頂尖的團隊
[2470.98-2471.98] 跟各位分享
[2471.98-2474.98] 這些都是來自各種餐飲公司
[2474.98-2475.98] 不管米其林餐廳
[2475.98-2479.98] 或其他很知名的餐廳的高手
[2479.98-2482.98] 群聚於我們公司
[2482.98-2485.98] 我們很榮幸很高興有他們的參與
[2485.98-2489.98] 那另外就是我們的Vidio的設計
[2489.98-2493.98] 還有我們的茶水的供應
[2493.98-2494.98] 也是一群很棒的
[2495.98-2499.98] 年輕有活力有創意的團隊
[2499.98-2504.98] 那我們董事長的下面沒在裡面
[2504.98-2507.98] 董事長其實是我們的領導者
[2507.98-2510.98] 這是我 然後這是我們副總
[2510.98-2513.98] 然後這是我們的餐廳總經理Friends
[2513.98-2515.98] 他到國外出國
[2515.98-2518.98] 也都有很多餐飲業的經驗
[2518.98-2519.98] 然後跟我們一起來
[2519.98-2523.98] 創造臺灣餐飲業的一個奇蹟
[2525.98-2528.98] 好 那我們未來的展望就是
[2528.98-2529.98] 我們的京師餐廳
[2529.98-2531.98] 不只是一個餐飲的一個品牌
[2531.98-2537.98] 更是曾經是科技餐飲業的一個前驅者
[2537.98-2540.98] 然後我們會結合數位的科技
[2540.98-2543.98] 永續的食材 頂級的美食
[2543.98-2548.98] 為消費者帶來五官極致的體驗跟享受
[2548.98-2550.98] 另外就是我們會提供一個
[2550.98-2552.98] 嶄新的餐飲的這個場域
[2552.98-2553.98] 然後立足臺灣
[2553.98-2554.98] 並且能夠希望
[2555.98-2559.98] 未來幾年可以佈局到世界各國去
[2559.98-2560.98] 一步一步來
[2560.98-2562.98] 我們先把這個旗艦店做好
[2562.98-2565.98] 獲得了經驗跟獲利以後
[2565.98-2567.98] 我們就知道怎麼做得更好
[2567.98-2569.98] 在臺灣其他地方先設據點
[2569.98-2571.98] 然後再到國外去
[2571.98-2574.98] 因為我們看到很多我們的前輩們都做得很好
[2574.98-2576.98] 包括鼎泰豐這幾家公司
[2576.98-2579.98] 都在國外揚眉吐氣
[2579.98-2584.98] 好 那廉價競爭力的一個匯總
[2584.98-2586.98] 第一項就是
[2586.98-2590.98] 我們公司是提供給客人一條龍的服務
[2590.98-2591.98] 回到本業
[2591.98-2592.98] 對不起 我要拉回來
[2592.98-2593.98] 不是講餐廳
[2593.98-2596.98] 我現在講的是汽車行業
[2596.98-2600.98] 我們是從材料 研發 工程
[2600.98-2602.98] 製造全方位提供給客人服務
[2602.98-2607.98] 所以客人可以對我們的依賴度更強
[2607.98-2608.98] 第二項就是
[2608.98-2610.98] 客人常常希望他的是客製化的需求
[2610.98-2612.98] 我們可以快速的回應
[2612.98-2613.98] 第三項就是
[2613.98-2616.98] 我們合作的對象都不是小公司
[2616.98-2623.98] 都是世界上帶領技術的趨勢的領先公司
[2623.98-2628.98] 所以我們合作對象都是世界級的車廠跟車燈廠
[2628.98-2630.98] 接著就是我們會跟著客人走
[2630.98-2632.98] 所以我們會建立
[2632.98-2637.98] 怎麼會沒有
[2637.98-2639.98] 可以幫我看一下嗎
[2639.98-2640.98] 這裡
[2640.98-2642.98] 好 謝謝
[2643.98-2645.98] 接下來就是我們提供的是
[2645.98-2649.98] 高競爭力的成本 品質 交期跟服務
[2649.98-2651.98] 然後另外一項就是
[2651.98-2654.98] 我們致力於ESG的推廣
[2654.98-2658.98] 然後希望能夠有追求全球多元平等
[2658.98-2660.98] 然後重視法律
[2660.98-2663.98] 然後對於內部關係人的權利都很重視
[2663.98-2665.98] 那這一點也是客人看到我們
[2665.98-2668.98] 除了有很好的研發實力
[2668.98-2670.98] 讓他們依賴我們
[2670.98-2672.98] 同時我們非常重視ESG
[2672.98-2677.98] 對他們而言是一個可信任的長期策略夥伴
[2677.98-2681.98] 所以這是我們自己做的競爭力分析
[2681.98-2684.98] 好 那結語的話就是
[2684.98-2687.98] 我們希望藉由我們多角化的經營
[2687.98-2688.98] 年輕人希望在未來
[2688.98-2691.98] 不管是節能環保的產業
[2691.98-2695.98] 汽車產業 AI產業跟創意餐飲料理產業
[2695.98-2699.98] 為社會帶來創新跟顯著的貢獻
[2699.98-2701.98] 我們做什麼就像什麼
[2701.98-2705.98] 然後都在那個產業能夠出類拔萃
[2705.98-2708.98] 為了更美好跟永續的地球
[2708.98-2711.98] 我們會持續的進行ESG的推廣
[2711.98-2715.98] 然後希望我們可以跟社會共存共榮共好
[2715.98-2719.98] 我們後世代ESG已經得到很多獎項
[2719.98-2723.98] 我們一定要專注於提升我們的營收
[2723.98-2725.98] 以及美股的盈餘
[2725.98-2727.98] 就是提升EPS
[2727.98-2730.98] 希望能夠回饋現任我們的股東
[2730.98-2732.98] 還有辛苦的員工
[2732.98-2735.98] 還有所有支持我們的內外關係人
[2735.98-2737.98] 跟社會大眾
[2737.98-2740.98] 好 所以請大家拭目以待
[2740.98-2744.98] 未來幾年會是我們光明璀璨的一個旅程
[2744.98-2748.98] 然後希望可以給我們繼續的支持跟鼓勵
[2748.98-2750.98] 好 我的報告到這邊
[2750.98-2752.98] 謝謝各位 謝謝
[2752.98-2756.98] 謝謝黃董給你精彩的講話
[2756.98-2759.98] 接下來是我們Q&A的時間
[2759.98-2763.98] 若您對會中提及未提前內有任何的想法
[2763.98-2764.98] 歡迎您舉手
[2764.98-2767.98] 工作人員會將麥克風递交給您發言
[2775.98-2776.98] 不好意思
[2776.98-2778.98] 董事長 黃經理
[2778.98-2782.98] 我想謝謝你們今天精彩的演講
[2782.98-2783.98] 我想請教一下
[2783.98-2788.98] 我們今年的營運轉動或者是營運成長動向
[2788.98-2789.98] 大概是整個的
[2789.98-2791.98] 然後還有剛提到的就是說
[2791.98-2794.98] 有一些毛利率的去年有一些因素今年可能會緩解
[2794.98-2796.98] 那我們今年怎麼看這個毛利率變化
[2796.98-2797.98] 以上
[2800.98-2802.98] 好 謝謝提問
[2802.98-2805.98] 基本上過去幾年剛剛有稍微說明一下
[2805.98-2810.98] 我們主要的獲利降低的原因是
[2810.98-2815.98] 一個是我們密西根廠的一個那麼大的廠房
[2815.98-2817.98] 其實經濟加工率只有30%
[2817.98-2818.98] 所以沒有辦法撐住它們
[2818.98-2820.98] 沒有辦法撐住那樣的廠
[2820.98-2823.98] 所以去年其實每個月都有虧損
[2823.98-2825.98] 那我們就幫他轉型以後
[2825.98-2830.98] 從去年6月把主要的員工讓他們去找其他工作
[2830.98-2832.98] 那就留下12個員工
[2832.98-2835.98] 那都是key person
[2835.98-2837.98] 所以他們有很多很好的技能
[2837.98-2839.98] 那我們現在暫時之間呢
[2839.98-2844.98] 密西根廠就會幫客人做case by case的生產
[2844.98-2847.98] 然後另外就是我們把自己在加州的
[2847.98-2850.98] 那個生產路燈的這一塊呢
[2850.98-2852.98] 全部轉到密西根去生產
[2852.98-2855.98] 然後加州的小小的生產線就關起來
[2855.98-2857.98] 降低我們加州的費用
[2857.98-2860.98] 同時增加密西根的營收
[2860.98-2863.98] 看起來這樣的一個動作
[2863.98-2868.98] 會在密西根看起來會有很好的獲利
[2868.98-2870.98] 就是說我們從第一季看起來
[2870.98-2873.98] 它已經快要接近break even
[2873.98-2875.98] 那這個是蠻大的突破
[2875.98-2876.98] 那其他就像
[2876.98-2878.98] 剛剛董事長說的
[2878.98-2880.98] 我們多角化經營的同時
[2880.98-2882.98] 初期都是要有一些費用
[2882.98-2884.98] 那包括這個餐廳
[2884.98-2887.98] 相信我們4月中開幕之後
[2887.98-2890.98] 會帶來蠻好的很大的機會
[2890.98-2893.98] 會獲得消費者的青睞
[2893.98-2898.98] 然後會有營收跟獲利的貢獻
[2898.98-2900.98] 對整個集團而言
[2900.98-2903.98] 那其他本來我們不管是總部
[2903.98-2906.98] 汽車是我們主要的收入來源嘛
[2906.98-2908.98] 大概佔了我們90%的收入來源
[2908.98-2910.98] 不管是臺灣總部 中國廠
[2910.98-2915.98] 然後每個地方密西根廠也開始沒有虧損
[2915.98-2918.98] 其實各個據點都會帶來
[2918.98-2921.98] 營收成長跟獲利成長
[2921.98-2925.98] 希望能夠回到我們在疫情之前的情況
[2925.98-2928.98] 而且我們今年2025年
[2928.98-2932.98] 全部的團隊都希望營收跟獲利是創新高
[2932.98-2935.98] 我們會把這個當成目標
[2935.98-2938.98] 我希望有回答您的問題
[2938.98-2940.98] 好 再次感謝各位 謝謝各位
[2940.98-2942.98] 謝謝 謝謝
